id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
16,8,32,1,2,inf,16,16,RS,16,False,64,17,512,1,6,True,False,1,inf,inf,False,False,inf
17,4,128,2,8,1.1535096578763089,256,1,RS,8,True,1,1,128,25,28,False,False,10,0.028903655547352476,1.171424,True,True,1.1893383421236912
18,32,64,1,2,inf,64,64,RS,128,False,64,26,512,1,26,True,False,1,inf,inf,False,False,inf
19,4,256,4,2,inf,32,1,RS,32,False,128,1,128,24,16,True,False,1,inf,inf,False,True,inf
20,8,1,8,1,inf,4,4,RS,512,False,256,24,2048,5,1,False,False,1,inf,inf,False,False,inf
21,1,4,8,4,4.16773695533769,128,2,RS,8,True,1024,13,32,20,1,True,False,10,4.363484845859668e-05,4.167764,True,False,4.16779104466231
22,4,64,8,1,1.4726605138162074,1024,1,RS,4,True,1024,15,4,1,1,False,False,10,0.00013469966592383605,1.472744,True,False,1.4728274861837927
23,2,1,4,4,1.3425542148025564,256,2048,RS,16,True,1024,1,128,5,8,True,False,10,0.3656624745034689,1.5691899999999999,True,True,1.7958257851974433
24,4,256,4,2,1.1663456938256598,1,128,RS,512,True,1024,26,2048,1,21,False,False,10,4.405678154384691e-05,1.1663729999999999,True,False,1.16640030617434
25,4,1,1,4,0.5082885383719083,1,256,RS,64,True,512,23,1024,1,6,False,False,10,0.002276174468269067,0.5096993,True,True,0.5111100616280916
26,4,64,8,2,1.1428541811379438,64,2,RS,2,True,1024,30,256,1,25,True,False,10,0.00368318354144892,1.1451369999999998,True,True,1.147419818862056
27,2,32,1,1,3.1376800152634923,4,1,RS,8,False,128,1,256,1,27,False,False,10,4.031128874150346e-05,3.137705,True,False,3.1377299847365077
28,16,64,2,4,2.881031685194694,16,8,RS,4,False,256,21,512,1,1,False,False,10,0.0040695950658512165,2.8835539999999997,True,True,2.8860763148053055
29,1,64,4,4,1.0596402878008113,128,32,RS,128,False,2048,4,2048,5,1,True,False,10,0.002261573788316428,1.061042,True,True,1.0624437121991888
30,8,64,4,4,2.5050234476354265,32,16,RS,32,True,1,13,64,20,1,True,False,10,3.638681079730014e-05,2.505046,True,False,2.5050685523645737
31,16,128,1,1,1.8129985375791056,8,1,RS,8,False,64,6,2048,4,1,False,False,10,0.0023660441669588546,1.8144649999999998,True,True,1.815931462420894
32,8,256,1,2,0.7899548320937343,32,8,RS,8,True,2048,5,512,1,27,False,False,10,6.948733697588621e-05,0.7899979,True,False,0.7900409679062658
33,1,256,4,1,0.8016240149507662,4,64,RS,16,True,1024,30,512,10,1,True,False,10,0.005311086532904552,0.8049158000000001,True,True,0.808207585049234
34,16,32,4,2,1.0780435112359035,1,8,RS,2,True,2048,1,256,19,11,True,False,10,0.0038052721321871156,1.080402,True,False,1.0827604887640967
35,2,128,8,4,1.1441221302382785,8,16,RS,16,True,512,1,1024,13,9,True,False,10,5.1419840528709944e-05,1.1441540000000001,True,False,1.1441858697617218
36,2,128,8,1,0.25838111976324374,8,4,RS,4,True,64,1,16,19,22,False,False,10,0.01751979230356342,0.26923980000000003,True,True,0.2800984802367563
37,4,1024,2,16,2.7258157221752857,4,2,RS,2048,False,128,22,1,1,22,False,False,10,0.003151489965079984,2.727769,True,True,2.729722277824714
38,2,64,8,1,1.078211332469171,2,8,RS,512,True,128,1,2048,24,14,True,False,10,3.979949748430683e-05,1.078236,True,False,1.078260667530829
39,1,32,8,2,5.348636424496735,64,16,RS,2,True,256,1,16,6,26,True,False,10,0.0001283900307656391,5.3487160000000005,True,False,5.348795575503266
40,1,512,2,1,inf,128,16,RS,8,False,256,29,512,17,1,False,False,1,inf,inf,False,False,inf
41,8,32,2,1,2.0901603233038855,2,8,RS,64,False,256,1,128,6,8,True,False,10,1.5132465215294564,3.0280630000000004,True,True,3.9659656766961153
42,1,1024,2,16,2.6877797588640653,2,4,RS,256,False,64,6,256,1,5,True,False,10,0.0025141233064430524,2.689338,True,True,2.6908962411359343
43,4,1024,4,1,inf,64,64,RS,1,False,1024,3,64,12,1,True,False,1,inf,inf,False,True,inf
44,1,512,8,1,2.158814924232173,2,128,RS,32,True,1,22,2048,1,10,True,False,10,0.00020986900676373083,2.1589449999999997,True,False,2.1590750757678263
45,4,1,8,8,1.0993531397522933,32,1,RS,512,True,2048,30,1024,1,18,True,False,10,2.720294101750217e-05,1.09937,True,False,1.0993868602477066
46,4,16,1,1,0.24133874423406787,64,2,RS,32,False,64,1,32,18,3,True,False,10,0.08254350728773283,0.29249880000000006,True,True,0.34365885576593225
47,4,128,1,4,inf,64,8,RS,2,False,256,24,1,1,13,False,False,1,inf,inf,False,False,inf
48,1,1,4,2,0.8394218107727217,8,1,RS,2,True,1024,25,8,2,1,False,False,10,0.044715249046494196,0.8671361000000001,True,True,0.8948503892272784
49,1,128,16,2,1.324293621275606,64,16,RS,2048,True,2048,16,2048,22,1,False,False,10,0.003446911661183105,1.32643,True,True,1.328566378724394
50,8,256,2,8,inf,8,256,RS,1,False,512,20,8,1,2,False,False,1,inf,inf,False,False,inf
51,1,128,8,4,2.456224163383318,16,64,RS,128,False,64,23,128,30,1,False,False,10,0.4579963081685266,2.740088,True,True,3.023951836616682
52,8,256,4,4,1.8423428231052645,1,8,RS,1,False,256,23,2048,12,1,False,False,10,0.1327280352487748,1.924607,True,True,2.006871176894735
53,4,8,8,2,1.3043565758695894,32,1,RS,1,True,512,6,2048,1,17,True,False,10,0.0036502779346235946,1.306619,True,True,1.3088814241304105
54,1,8,8,8,1.9081308180764354,512,8,RS,256,False,2048,1,512,19,23,True,False,10,0.005352062779900849,1.911448,True,True,1.9147651819235647
55,16,512,2,2,2.5406008518647707,32,512,RS,32,False,1,9,1,1,29,False,False,10,0.12912195800869813,2.62063,True,True,2.700659148135229
56,16,2048,2,4,1.1080700794543217,8,1024,RS,1,True,512,7,128,17,1,False,False,10,2.891366458957631e-05,1.108088,True,False,1.1081059205456782
57,2,16,16,4,2.254624530501478,2,16,RS,32,True,1024,1,64,6,20,True,False,10,0.00021373113951881088,2.2547570000000006,True,False,2.254889469498523
58,1,64,1,4,2.8514755313604407,4,64,RS,1024,True,512,8,1,1,5,False,False,10,0.004208598816708412,2.8540839999999994,True,True,2.856692468639558
59,4,32,8,2,inf,16,16,RS,32,False,1024,9,128,16,1,False,False,1,inf,inf,False,False,inf
60,2,1024,8,8,inf,1,64,RS,8,False,8,16,2048,15,1,False,False,1,inf,inf,False,False,inf
61,2,64,4,4,1.073876590055962,4,4,RS,64,True,64,14,1,1,2,False,False,10,2.647640458972215e-05,1.073893,True,False,1.073909409944038
