id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
81,256,2048,DLMT,32,1,True,1,128,False,128,512,1,True,0.09091726286037997,64,1,256,1,True,False,False,512,True,128,True,1024,False,8,8,1,True,12,1,1,12,16,16,1,2.550169486164445e-05,35,0.09093415999676287,4,0.09092571142857142,12,1,1,True,1,1024,1,1024,True,1,1,1,8
82,128,512,DLMT,1,1,False,8,256,False,32,128,1,True,0.11800840418966373,16,128,2048,1,False,False,True,32,True,16,False,2048,True,1,1,64,False,1,4,1,16,12,1,12,2.6032381718912874e-05,35,0.11802565295319346,8,0.1180170285714286,1,1,1,True,1,1,16,1,True,1,32,1,8
83,32,512,DLMT,8,1,False,1,16,True,1,1,8,False,0.0846874340636458,1,128,128,2048,True,True,True,32,False,32,False,1,False,16,4,2048,True,8,1,1,16,4,8,1,2.7546305948866665e-05,35,0.08470568593635418,12,0.08469655999999999,1,1,32,True,1024,256,12,2048,True,1,8,1,8
84,512,1024,DLMT,1,1,True,32,256,False,64,32,1,False,0.11850893081711672,512,1,1,1,True,True,True,64,False,64,False,64,False,4,8,1024,True,1,1,1,12,16,1,16,2.573640318653035e-05,35,0.11852598346859763,4,0.11851745714285718,4,1,8,True,64,1,8,256,False,1,32,1,8
85,16,1024,DLMT,8,1,True,1,16,False,16,256,1,False,0.15227807424249834,128,512,2048,1024,True,True,True,256,True,512,False,1,True,1,4,1024,False,16,1,16,1,12,16,1,2.4527302571391215e-05,35,0.15229432575750163,16,0.15228619999999998,12,1,32,True,1024,1,16,1,False,1,1,1,8
86,256,1,DLMT,1,1,False,8,512,False,16,64,32,False,0.10781579176965359,16,512,1024,2048,True,True,False,16,True,64,False,2048,True,16,1,1,True,1,16,12,1,4,16,1,7.738375086514647e-05,35,0.10786706537320356,1,0.10784142857142857,1,1,32,True,256,512,8,1,True,1,32,1,8
87,256,64,DLMT,1,1,True,1,64,False,128,32,1,False,0.08968225733088783,64,64,1024,1,False,True,True,32,True,256,False,1024,False,16,16,1024,False,16,1,1,4,16,8,1,2.6665401568631053e-05,35,0.08969992552625503,16,0.08969109142857143,1,1,1,True,256,128,1,2048,True,1,8,1,8
88,512,256,DLMT,32,1,False,32,32,True,512,32,1,False,0.13020172070946334,1,1,1024,512,False,True,False,64,True,16,True,2048,False,12,8,64,False,16,1,1,16,1,1,4,3.24075325081263e-05,35,0.13022319357625095,16,0.13021245714285715,16,1,8,True,1,64,12,256,False,1,32,1,8
89,128,2048,DLMT,1,1,False,1,64,False,1,256,32,False,0.1343423698711059,32,64,2048,1,True,True,False,32,False,1,False,2048,True,12,16,2048,False,16,1,1,12,1,1,16,0.00018223365579969825,35,0.1344631158431798,16,0.13440274285714285,16,1,32,True,1024,256,1,1024,True,1,32,1,8
90,1,256,DLMT,1,1,True,8,16,False,128,512,8,True,0.1266951998442344,256,128,1,1,False,True,True,32,False,16,False,1024,True,16,12,1024,True,4,1,16,1,1,1,16,2.1043472980999566e-05,35,0.12670914301290845,1,0.12670217142857143,1,1,32,True,1,512,12,2048,False,1,32,1,8
