id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
27,1,128,DLMT,8,8,True,2,8,0.0014804512825486774,True,16,1024,4,False,1.6591744236495074,2,16,1,1024,True,True,True,64,False,32,True,128,True,8,16,8,True,1,4,12,1,1,12,1,False,10,1.6610095763504924,4,1.660092,16,4,32,True,1024,16,16,1024,True,12,2,4,1
28,256,8,DLMT,8,8,True,16,32,0.0005110821851717866,True,8,1,8,False,2.107058233800531,128,4,256,1,True,True,True,2048,False,128,False,256,True,16,8,512,False,12,1,1,12,8,4,1,False,10,2.1076917661994687,16,2.1073749999999998,16,1,4,True,2048,32,8,2048,True,1,1,1,4
29,2,64,DLMT,8,32,False,4,128,0.0011615252902971176,False,2,32,2,False,2.037587092395178,2,8,1024,2048,False,False,True,128,False,2,False,1,True,4,8,32,False,4,1,1,4,1,8,1,False,10,2.039026907604822,4,2.038307,8,4,8,True,256,512,4,32,True,1,4,2,1
30,2,16,DLMT,2,8,False,1,32,0.0005230525786190109,True,4,8,4,True,1.788701814610138,2048,1,512,1024,False,True,True,4,True,1024,True,2048,True,16,4,1,True,4,1,12,1,12,1,8,False,10,1.7893501853898623,16,1.7890260000000002,1,2,4,True,16,256,16,1,True,12,1,32,1
31,16,64,DLMT,4,4,False,16,64,8.581375181171026e-05,True,2048,128,16,False,1.764000813062924,8,8,2048,2048,False,True,False,8,True,64,False,256,True,1,1,8,False,1,1,1,16,16,4,1,False,10,1.7641071869370766,8,1.7640540000000002,12,4,2,True,1024,1,4,2048,True,1,2,1,12
32,2,32,DLMT,2,16,True,8,16,0.0007406726672424126,False,16,2,1,False,3.0169689347602793,16,8,4,512,False,True,True,2048,False,1,True,512,True,16,1,2048,False,1,1,16,1,8,1,4,False,10,3.0178870652397203,1,3.0174279999999998,16,1,1,True,2048,512,12,4,False,1,8,4,16
33,1,1,DLMT,16,1,False,16,128,0.0005459157444148406,False,4,512,1,False,1.8230656441335549,32,256,4,512,True,True,False,32,False,1,True,1,True,16,16,32,False,8,1,1,4,16,12,1,False,10,1.8237423558664452,1,1.823404,16,8,2,True,512,256,1,1,True,1,8,1,1
34,128,128,DLMT,32,32,True,1,8,0.0001959489729496321,True,128,32,2,True,4.796876551799981,2,4,1,128,True,True,True,8,True,256,True,2048,False,1,4,128,False,1,8,4,1,1,1,8,False,10,4.79711944820002,8,4.796998,1,1,1,True,32,16,8,2048,False,1,4,32,1
35,4,2048,DLMT,8,2,False,1,2,0.00019081142523444313,True,4,2,16,False,4.694410736026533,1,1,256,128,False,True,True,256,True,64,True,1024,False,4,1,64,False,4,1,1,4,12,1,16,False,10,4.694647263973468,1,4.694529,1,1,16,True,1,64,12,512,False,1,16,2,1
36,64,2048,DLMT,1,8,True,4,2,0.000564330576878497,True,1,128,16,True,2.936771230711873,2,2048,128,128,True,True,False,1,True,4,True,8,False,4,16,2048,True,12,1,12,1,16,1,8,False,10,2.937470769288127,4,2.937121,4,2,8,True,8,4,8,2048,True,1,4,8,1
