id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
34,2048,64,256,0.16928399684426637,1,256,64,64,RS,False,True,True,False,False,5,1,35,0.1693150888700194,4.692507271150121e-05,0.16929954285714288,9,1,True,4,1
35,2048,1024,512,0.09380998933587804,1,512,128,64,RS,False,False,True,False,True,21,1,35,0.09404693637840765,0.0003576080017367096,0.09392846285714285,1,2,True,2,8
36,256,1024,512,0.20805365599904613,8,128,32,32,RS,True,False,False,True,True,16,8,35,0.2081097725723825,8.469291467365172e-05,0.20808171428571431,8,1,True,11,1
37,2048,512,1024,0.10301384923008752,1,1,1,128,RS,False,True,True,True,False,9,8,35,0.10304392219848388,4.538707898483265e-05,0.1030288857142857,30,1,True,3,8
38,1,1024,1,inf,32,1,64,1,RS,False,False,True,False,False,5,1,1,inf,inf,inf,1,9,False,18,1
39,256,64,2048,0.11704382916018838,1,512,64,1,RS,False,True,False,True,False,6,8,35,0.11707891369695447,5.295069712978725e-05,0.11706137142857143,29,1,True,20,8
40,1,1024,1,0.13464516486767256,1,16,128,16,RS,False,True,False,True,False,2,1,35,0.13467203513232742,4.055345678413797e-05,0.1346586,27,28,True,1,8
41,512,2048,512,0.13699135440769333,8,32,128,32,RS,True,True,False,True,False,15,1,35,0.13701984559230668,4.2999800663990016e-05,0.1370056,1,6,True,22,1
42,256,1024,256,0.10111636294287923,1,32,512,256,RS,False,False,True,False,False,14,8,35,0.10114946562854935,4.995962451452823e-05,0.10113291428571429,28,13,True,1,8
43,2048,512,128,0.20302316169813014,8,64,64,64,RS,True,True,False,False,True,18,1,35,0.20304043830186988,2.6074399047997836e-05,0.2030318,11,1,True,19,1
44,1,512,2048,0.12163701177383124,1,64,16,1,RS,True,False,False,False,False,11,8,35,0.12166933108331163,4.87773282899148e-05,0.12165317142857143,28,1,True,26,8
45,256,2048,1024,0.0964426908642128,1,16,256,128,RS,True,True,True,False,False,10,1,35,0.09646744056435864,3.735303348061625e-05,0.09645506571428572,24,22,True,1,8
46,1024,64,128,0.17549356416942083,8,128,1,128,RS,True,False,False,True,False,12,1,35,0.1756262072591506,0.0002001891636040519,0.1755598857142857,18,21,True,1,1
47,128,1024,1,0.11390422303452297,8,256,256,128,RS,True,False,False,False,False,10,1,35,0.11393503410833417,4.65010511182493e-05,0.11391962857142857,10,28,True,1,8
48,128,1,512,0.23634062273679457,32,32,512,16,RS,False,True,False,False,False,3,1,35,0.23752280583463398,0.0017841882759623846,0.23693171428571427,22,29,True,1,1
49,128,128,1024,0.13162901266365098,1,32,64,32,RS,False,False,False,False,True,19,1,35,0.1317471016220633,0.00017822360639811516,0.13168805714285714,1,23,True,19,8
50,1,512,2048,0.12361366062144823,1,1,1,16,RS,False,False,False,False,False,26,1,35,0.12364708223569464,5.044096165067409e-05,0.12363037142857143,7,27,True,1,8
51,512,2048,1024,0.20974573877764816,1,512,16,1,RS,True,False,False,False,True,21,1,35,0.20982048979378046,0.00011281660754860428,0.2097831142857143,2,21,True,1,32
52,2048,256,512,0.17380281063084466,8,1,64,128,RS,True,True,True,True,False,30,8,35,0.17382604651201253,3.506832980200166e-05,0.1738144285714286,11,1,True,15,1
53,64,256,2048,0.10152473251764155,8,32,256,16,RS,True,True,True,False,True,27,1,35,0.10155349605378702,4.341084224580011e-05,0.10153911428571429,1,28,True,24,8
54,1024,2048,2048,0.3246478990451193,1,256,512,16,RS,False,True,False,True,False,26,1,35,0.32536027238345216,0.0010751364663262463,0.32500408571428574,27,4,True,1,32
55,128,64,1024,0.14240028112476066,8,32,1,64,RS,True,True,True,True,False,5,8,35,0.142446004589525,6.900730514420484e-05,0.14242314285714283,22,23,True,1,1
