id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
11,32,1,256,False,1,512,32,64,512,8,0.1905807375181464,1,256,512,DLMT,1,True,True,False,256,1024,False,9,14,1,2048,1,35,1,1,27,0.19060408571428572,1,False,7.047567824781882e-05,True,0.19062743391042505
12,8,1,2048,False,8,64,512,128,2048,19,0.08793599254511059,16,256,1,DLMT,1,False,True,True,1,256,True,30,2,1,256,1,35,2048,1,1,0.09149106285714284,1,True,0.01073085003929154,True,0.0950461331691751
13,8,1,256,False,8,16,64,512,1,3,0.13333318242062212,128,32,512,DLMT,1,True,True,False,512,2048,False,14,23,1,128,8,35,1,12,1,0.13339368571428567,8,False,0.00018262698461674092,True,0.13345418900794923
14,8,1,2048,False,8,16,256,32,512,16,0.11866416378613862,16,1,16,DLMT,1,False,True,False,128,2048,False,1,8,8,64,8,35,256,1,30,0.11868085714285714,1,False,5.038828824078834e-05,True,0.11869755049957567
15,32,1,1024,False,1,512,128,1,1,2,inf,1,1,1,DLMT,8,True,False,False,1,512,False,30,19,1,512,8,1,64,8,1,inf,1,True,inf,False,inf
16,1,1,256,False,8,128,1,16,1,28,0.19644792542479803,512,128,32,DLMT,32,True,True,False,2048,512,True,29,23,1,1,1,35,1024,1,28,0.19732637142857143,1,True,0.0026515572145516344,True,0.19820481743234483
17,1,1,512,False,32,256,64,128,1024,11,0.36205996895025133,1,64,32,DLMT,1,False,True,False,2048,64,True,30,1,20,2048,32,35,512,1,20,0.3638785714285715,1,False,0.0054893852337851105,True,0.36569717390689166
18,1,32,1024,False,1,512,64,32,256,11,0.28053589344266927,128,512,32,DLMT,8,False,True,False,1,1,False,9,14,1,1024,8,35,128,30,1,0.28058420000000006,1,False,0.0001458115809627553,True,0.28063250655733085
19,8,1,1,False,8,512,512,16,512,1,0.14202964717319014,512,1,16,DLMT,1,False,True,True,1024,1,False,12,1,29,1,1,35,2048,12,13,0.14211168571428567,8,False,0.00024763034333210535,True,0.1421937242553812
20,1,1,1,False,1,64,32,16,128,3,0.2291761730198291,1,512,128,DLMT,32,False,False,False,256,1024,True,17,26,1,512,1,35,512,1,15,0.23137848571428574,1,False,0.006647600522514776,True,0.23358079840874238
