id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
60,256,4,2,16,7.409681494387122,128,4,4,RS,500,10,False,512,128,8,3,1,5,True,2,2,False,10,0.0032664114866318124,7.411706,True,True,7.413730505612877
61,32,2,1,32,3.8040313795587655,64,32,16,RS,500,10,True,1,32,512,1,1,1,False,7,5,False,10,0.0001930000000000214,3.804151,True,False,3.8042706204412347
62,1,512,128,4,8.73075025185299,1,2048,8,RS,500,10,True,2048,2048,256,1,1,28,False,1,2,False,10,0.0025907728576622306,8.732356,True,True,8.733961748147008
63,1,2048,256,256,3.528106500312914,32,64,32,RS,500,10,True,2048,1024,1024,1,4,12,False,3,1,False,10,0.009975071378190736,3.534289,True,True,3.5404714996870856
64,256,1,16,512,4.656643658457124,2048,1,256,RS,500,10,False,2048,1,256,1,8,3,True,3,1,False,10,0.0003780952261006425,4.656878,True,False,4.6571123415428755
65,64,16,4,2,9.744679580820222,16,16,128,RS,500,10,False,1024,256,1,1,11,1,False,1,5,False,10,0.0002459186857479473,9.744831999999999,True,False,9.744984419179776
66,512,256,1,512,2.3562335583769096,64,2,1,RS,500,10,True,1,512,8,2,8,1,True,3,2,False,10,0.000455701656788751,2.356516,True,False,2.3567984416230905
67,2048,64,2,16,6.890794011180357,512,4,32,RS,500,10,False,1,64,1,4,8,1,False,2,1,False,10,0.007053926849634827,6.895166000000001,True,True,6.899537988819644
68,1024,64,4,8,3.646974218761505,4,8,8,RS,500,10,True,2048,64,1024,10,4,2,False,1,1,False,10,0.0007434413224995648,3.647435,True,False,3.6478957812384953
69,16,1,8,2,7.44812038063248,64,4,1,RS,500,10,False,1024,1024,8,1,6,1,False,5,5,False,10,0.008442499689073313,7.453353,True,True,7.45858561936752
70,2,1,16,1,3.0822813289392554,16,2,1,RS,500,10,True,512,64,16,1,4,1,False,1,16,False,10,0.002792328060955507,3.0840120000000004,True,True,3.0857426710607454
71,64,8,4,4,3.195415150463698,128,4,32,RS,500,10,False,1,4,128,1,1,4,True,25,1,False,10,0.031647316473912904,3.2150299999999996,True,True,3.234644849536301
72,64,512,32,128,3.8328428474698084,2,8,32,RS,500,10,False,1,2048,128,3,2,1,False,1,4,False,10,0.0005714026601267545,3.8331970000000006,True,False,3.833551152530193
73,1,1024,1024,2,3.9781257693785426,32,8,16,RS,500,10,False,512,1024,64,1,3,1,True,11,6,False,10,0.01703987620260192,3.988687,True,True,3.9992482306214576
74,8,1,4,2,3.153143834020391,8,8,32,RS,500,10,True,8,256,512,1,13,1,True,4,4,False,10,8.416650165000064e-05,3.1531960000000003,True,False,3.1532481659796097
75,2048,1024,16,32,5.880034572912596,512,512,512,RS,500,10,False,2048,256,512,4,3,5,False,3,1,False,10,0.18777889628230326,5.996419000000001,True,True,6.112803427087407
76,128,512,8,4,6.595998853666462,32,4,1,RS,500,10,True,2048,1,32,1,22,2,True,3,1,False,10,0.00022611722623467893,6.596139000000001,True,False,6.59627914633354
77,256,1,128,4,7.818483769736547,16,128,16,RS,500,10,False,2048,16,16,3,2,1,False,12,2,False,10,0.02194794981313755,7.832087,True,True,7.845690230263452
78,2048,1,512,16,3.1746131209262844,32,256,4,RS,500,10,True,1,32,512,1,30,1,True,2,2,False,10,0.0004483402725608143,3.1748909999999997,True,False,3.175168879073715
79,1,256,64,8,4.485712685045665,2048,1024,4,RS,500,10,False,1,8,8,1,4,1,True,6,4,False,10,0.00023606990490120423,4.485859,True,False,4.486005314954334
80,4,32,16,512,3.4552456268976233,16,4,32,RS,500,10,True,2048,2048,64,3,3,2,True,1,5,False,10,0.0015640220586679349,3.4562150000000003,True,False,3.4571843731023773
