id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
65,64,64,2048,0.11572777623243669,1,64,32,16,RS,True,False,True,True,True,16,1,30,0.11575449043423,3.7327142343817116e-05,0.11574113333333334,1,24,True,7,8
66,1,512,1,0.24423550671305483,1,128,512,128,RS,True,True,True,False,False,27,1,30,0.24459889328694512,0.0005077517372364842,0.24441719999999997,1,11,True,20,32
67,1,64,2048,0.16398990632838467,8,1,64,64,RS,True,False,False,False,True,3,1,30,0.164064960338282,0.00010487124910522048,0.16402743333333333,9,23,True,1,1
68,128,1024,128,0.28502508519171105,8,1,512,32,RS,False,False,False,True,True,23,1,30,0.2852713148082889,0.0003440510039708245,0.28514819999999996,10,1,True,11,1
69,64,512,2048,inf,32,512,256,1,RS,False,True,False,True,True,27,1,1,inf,inf,inf,1,3,False,10,1
70,2048,1,1024,0.09407954565982705,1,128,512,512,RS,False,False,False,False,True,30,8,30,0.0941136210068396,4.761270197005016e-05,0.09409658333333333,3,28,True,1,8
71,2048,512,64,0.19582902501946933,8,1,256,16,RS,True,False,True,False,True,12,8,30,0.19589370831386396,9.038048584856316e-05,0.19586136666666665,1,8,True,14,1
72,1,1024,128,0.13042826261296483,1,64,32,512,RS,False,True,True,True,False,19,8,30,0.13046467072036846,5.0872214638465635e-05,0.13044646666666665,12,11,True,1,1
73,1024,256,1,0.11218085575184188,1,512,256,64,RS,False,True,True,True,False,15,1,30,0.11234027758149147,0.00022275647141117025,0.11226056666666667,1,5,True,28,8
74,1,256,256,0.14587839918381237,32,128,256,64,RS,True,True,False,False,False,27,1,30,0.14591266748285434,4.788230942170209e-05,0.14589553333333335,1,14,True,4,1
75,1024,256,128,0.32604402466373483,1,1,128,16,RS,False,True,True,False,True,18,1,30,0.3261139753362652,9.774047268147962e-05,0.326079,1,29,True,30,1
76,1,2048,1,0.1398226371056727,1,256,32,64,RS,False,False,True,True,True,1,8,30,0.14000962956099403,0.0002612802752260913,0.13991613333333336,17,12,True,1,1
