id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
51,1024,4,1,1024,5.684382932548702,16,256,1,DLMT,500,10,True,512,1024,128,1,1,7,False,1,8,False,10,0.0001195031380342322,5.684457,True,False,5.6845310674512985
52,2048,1,2048,16,3.006040719346493,512,64,2,DLMT,500,10,True,512,16,16,1,6,2,False,1,5,False,10,0.0006603483928958005,3.00645,True,False,3.006859280653507
53,2048,256,16,16,3.518313371687414,512,2048,256,DLMT,500,10,True,1024,128,1024,1,1,1,True,26,2,False,10,0.0013288720781174325,3.5191369999999997,True,False,3.5199606283125853
54,64,512,128,16,5.437973486322346,1,4,2,DLMT,500,10,True,1,128,128,3,20,1,False,2,1,False,10,0.0009559832634519589,5.438566,True,False,5.439158513677653
55,2048,128,1,16,2.7499994745189733,8,512,16,DLMT,500,10,True,128,1024,1024,2,1,1,True,1,23,False,10,0.0009479351243623962,2.7505870000000003,True,False,2.7511745254810274
56,128,1024,256,2,6.0234514448805845,4,1,4,DLMT,500,10,False,4,512,256,1,30,1,True,2,2,False,10,0.00035101139582643687,6.023669,True,False,6.023886555119415
57,128,8,8,16,7.3192646457557045,512,16,64,DLMT,500,10,False,1,1,256,1,1,1,False,4,21,False,10,0.00011351211389109311,7.319335000000001,True,False,7.319405354244297
58,32,256,8,256,3.764298245618207,1,1,1,DLMT,500,10,False,1024,512,16,4,1,1,False,4,3,False,10,0.003996086210281219,3.766775,True,True,3.769251754381793
59,1,2048,2048,1,5.955096758732026,32,2048,1,DLMT,500,10,False,2048,32,1024,3,1,3,True,3,1,False,10,0.0004521515232750353,5.955377,True,False,5.955657241267975
60,1,1,1,1,4.758641578805849,1,1,1,DLMT,500,10,False,1,1,1,1,1,1,False,1,1,True,10,0.0005298867803596237,4.75897,True,False,4.75929842119415
61,2048,1024,1024,128,0.2068775264401821,4,128,2048,DLMT,500,10,True,4,2048,1,2,1,1,True,23,2,False,10,0.02492739172556969,0.2223274,True,True,0.23777727355981793
62,2048,1024,2,128,1.8932938195678144,4,128,1,DLMT,500,10,True,256,2048,1024,2,2,1,False,23,1,False,10,0.013182068274743554,1.901464,True,True,1.9096341804321857
63,256,1024,2,128,0.27966584290316665,4,128,8,DLMT,500,10,True,1,2048,512,1,4,1,False,23,1,False,10,0.010427087601530943,0.2861285,True,True,0.29259115709683337
64,1,1024,8,128,3.2596898440669553,4,128,4,DLMT,500,10,True,2048,2048,2048,1,1,1,True,23,4,False,10,0.005944152084191682,3.263374,True,True,3.267058155933045
65,128,1024,8,128,0.41337758144542175,4,128,1,DLMT,500,10,True,64,2048,64,1,3,1,False,23,2,False,10,0.014833804847374798,0.4225715,True,True,0.43176541855457823
66,512,1024,256,128,0.23639325611748221,4,128,1,DLMT,500,10,True,1,2048,1,2,1,1,False,23,2,False,10,0.0257316419965769,0.2523416,True,True,0.2682899438825178
67,128,1024,1,128,0.381493346814524,4,128,16,DLMT,500,10,True,64,2048,16,2,1,1,False,23,2,False,10,0.021377475608686813,0.394743,True,True,0.407992653185476
68,512,1024,1024,128,0.2958675241990739,4,128,256,DLMT,500,10,True,32,2048,2048,1,1,1,False,23,4,False,10,0.041922691287654704,0.321851,True,True,0.3478344758009261
69,128,1024,256,128,1.2356978480344933,4,128,2048,DLMT,500,10,True,256,2048,1,1,4,1,True,23,1,False,10,0.010621498434778439,1.2422809999999997,True,True,1.2488641519655062
70,1,1024,16,128,0.3422903556032202,4,128,16,DLMT,500,10,True,32,2048,1,4,1,1,False,23,1,False,10,0.0935358326142447,0.40026340000000005,True,True,0.4582364443967799
71,1,1024,256,128,0.1754007328468744,4,128,1,DLMT,500,10,True,16,2048,16,1,1,1,False,23,1,False,10,0.03183627832536334,0.1951327,True,True,0.21486466715312558
72,512,1024,1,128,0.3699402543429813,4,128,1,DLMT,500,10,True,64,2048,64,1,2,1,True,23,2,False,10,0.014534394739375962,0.3789486,True,True,0.38795694565701877
73,1,1024,512,128,0.7516617222650616,4,128,16,DLMT,500,10,True,128,2048,512,3,1,1,True,23,1,False,10,0.010489883584196716,0.7581632999999999,True,True,0.7646648777349382
74,512,1024,1,128,0.17222125975076708,4,128,4,DLMT,500,10,True,16,2048,1,1,3,1,True,23,1,False,10,0.02198442959209995,0.18584710000000002,True,True,0.19947294024923296
75,256,1024,128,128,0.2518854724316982,4,128,2048,DLMT,500,10,True,16,2048,2048,3,2,1,False,23,1,False,10,0.036464034705583535,0.2744857,True,True,0.2970859275683018
76,128,1024,1,128,2.893666193967999,4,128,1,DLMT,500,10,True,2048,2048,2048,3,1,1,True,23,1,False,10,0.010288572349942429,2.9000429999999993,True,True,2.9064198060319995
77,2048,1024,1024,128,0.7831173345646739,4,128,4,DLMT,500,10,True,128,2048,2048,1,1,1,True,23,2,False,10,0.010822554369925786,0.7898251,True,True,0.796532865435326
78,1,1024,1,128,0.24861749962646076,4,128,1024,DLMT,500,10,True,16,2048,1024,2,3,1,True,23,1,False,10,0.021918053010247063,0.26220219999999994,True,True,0.2757869003735391
79,1,1024,512,128,2.7749233140330474,4,128,512,DLMT,500,10,True,512,2048,1024,1,2,1,False,23,3,False,10,0.02007548514980399,2.787366,True,True,2.7998086859669526
80,128,1024,1024,128,0.2391107543112913,4,128,1,DLMT,500,10,True,8,2048,8,3,2,1,True,23,1,False,10,0.04697156990829666,0.2682235,True,True,0.2973362456887087
81,1024,1024,2,128,3.645571677552202,4,128,128,DLMT,500,10,True,2048,2048,1,3,2,1,False,23,1,False,10,0.02261606130607192,3.6595890000000004,True,True,3.673606322447799
82,2048,1024,64,128,0.19143344038217358,4,128,32,DLMT,500,10,True,4,2048,32,1,1,1,True,23,4,False,10,0.03467752804973274,0.21292640000000002,True,True,0.23441935961782645
83,2048,1024,128,128,0.2256512551695216,4,128,4,DLMT,500,10,True,8,2048,2048,1,1,1,False,23,3,False,10,0.02050185007651748,0.23835820000000002,True,True,0.2510651448304784
84,512,1024,8,128,0.29891820303394256,4,128,512,DLMT,500,10,True,8,2048,1024,2,1,1,True,23,2,False,10,0.02751199360642554,0.31597,True,True,0.3330217969660574
85,128,1024,1024,128,2.723661826451387,4,128,128,DLMT,500,10,True,2048,2048,256,1,2,1,False,23,1,False,10,0.0035966302284220976,2.725891,True,True,2.7281201735486125
86,1024,1024,1024,128,3.107635592875698,4,128,2,DLMT,500,10,True,2048,2048,16,4,1,1,False,23,1,False,10,0.003998752805563293,3.1101140000000003,True,True,3.1125924071243025
87,1024,1024,128,128,2.774970720573033,4,128,16,DLMT,500,10,True,512,2048,1024,2,3,1,True,23,1,False,10,0.0035693726339512664,2.777183,True,True,2.779395279426967
88,1,1024,256,128,0.2444094756245138,4,128,8,DLMT,500,10,True,1,2048,8,1,2,1,True,23,2,False,10,0.0279294338825548,0.26171999999999995,True,True,0.27903052437548614
89,2048,1024,64,128,0.6361537945803867,4,128,256,DLMT,500,10,True,128,2048,2048,1,4,1,True,23,1,False,10,0.010905065493155008,0.6429127,True,True,0.6496716054196133
90,2048,1024,4,128,3.258510917365521,4,128,2048,DLMT,500,10,True,1024,2048,1,1,3,1,False,23,1,False,10,0.00306566289731927,3.260411,True,True,3.2623110826344788
91,512,1024,8,128,3.852770983565472,4,128,8,DLMT,500,10,True,2048,2048,16,1,1,1,True,23,3,False,10,0.003872274396268897,3.855171,True,True,3.8575710164345276
92,128,1024,16,128,0.318179469349337,4,128,256,DLMT,500,10,True,1,2048,2048,4,1,1,True,23,1,False,10,0.025460563296203793,0.3339598,True,True,0.34974013065066295
93,1024,1024,512,128,0.2415199528860592,4,128,512,DLMT,500,10,True,4,2048,1,3,1,1,False,23,1,False,10,0.036090717008117196,0.2638888,True,True,0.28625764711394075
94,128,1024,128,128,0.22256562528001034,4,128,128,DLMT,500,10,True,4,2048,256,1,4,1,True,23,1,False,10,0.028499864954241456,0.24022970000000005,True,True,0.25789377471998975
95,512,1024,512,128,0.18110981693156947,4,128,1,DLMT,500,10,True,4,2048,1,1,2,1,True,23,1,False,10,0.033891499566115396,0.2021156,True,True,0.22312138306843055
96,1024,1024,1024,128,0.24503064767238852,4,128,2048,DLMT,500,10,True,4,2048,2048,3,1,1,True,23,1,False,10,0.028745716565951176,0.2628471,True,True,0.2806635523276115
97,2048,1024,16,128,0.3154134861500017,4,128,32,DLMT,500,10,True,4,2048,1,4,1,1,True,23,1,False,10,0.026233695016142887,0.331673,True,True,0.3479325138499983
98,512,1024,1,128,0.21796055898155275,4,128,128,DLMT,500,10,True,4,2048,256,1,3,1,True,23,1,False,10,0.03163633136190099,0.2375686,True,True,0.2571766410184472
99,512,1024,64,128,0.24943901770066848,4,128,8,DLMT,500,10,True,4,2048,8,4,1,1,True,23,1,False,10,0.02313762058726005,0.2637796,True,True,0.27812018229933155
100,2048,1024,128,128,0.19334648063553697,4,128,64,DLMT,500,10,True,4,2048,512,1,1,1,True,23,1,False,10,0.01812376475928774,0.2045795,True,True,0.21581251936446302
101,512,1024,16,128,0.29801037703172334,4,128,128,DLMT,500,10,True,4,2048,128,2,2,1,False,23,1,False,10,0.02341923089364807,0.31252549999999996,True,True,0.3270406229682766
102,1,1024,64,128,0.17509999602388204,4,128,4,DLMT,500,10,True,4,2048,256,1,3,1,False,23,1,False,10,0.03258594038906964,0.1952966,True,True,0.21549320397611793
103,1,1024,1,128,0.23346046279420588,4,128,2,DLMT,500,10,True,4,2048,1024,2,1,1,True,23,1,False,10,0.02456898879807632,0.2486882,True,True,0.2639159372057941
104,2048,1024,1024,128,0.2320943078078348,4,128,4,DLMT,500,10,True,4,2048,8,1,2,1,False,23,1,False,10,0.022078254066162033,0.2457783,True,True,0.2594622921921652
105,512,1024,1024,128,0.2471138863706396,4,128,1,DLMT,500,10,True,4,2048,128,4,1,1,False,23,1,False,10,0.01688592693369244,0.25757969999999997,True,True,0.26804551362936035
106,1,1024,1,128,0.2472351974440764,4,128,2048,DLMT,500,10,True,4,2048,2048,4,1,1,False,23,1,False,10,0.013977205534726886,0.25589819999999996,True,True,0.2645612025559235
107,128,1024,8,128,0.349604158709927,4,128,512,DLMT,500,10,True,4,2048,2048,1,1,1,False,23,1,False,10,0.0252406690513544,0.36524819999999997,True,True,0.38089224129007293
108,2048,1024,1,128,0.2228320024845294,4,128,64,DLMT,500,10,True,4,2048,2048,1,4,1,False,23,1,False,10,0.029494101376546473,0.24111230000000003,True,True,0.25939259751547067
109,2048,1024,4,128,0.30176473320925873,4,128,1,DLMT,500,10,True,4,2048,128,3,2,1,True,23,1,False,10,0.031244953220640283,0.3211302,True,True,0.3404956667907412
110,1,1024,16,128,0.2870906386010772,4,128,1,DLMT,500,10,True,4,2048,4,1,2,1,True,23,1,False,10,0.02353481496081922,0.30167740000000004,True,True,0.3162641613989229
111,2048,1024,64,128,0.24626108347939926,4,128,1,DLMT,500,10,True,4,2048,4,2,3,1,False,23,1,False,10,0.003413413161338665,0.24837669999999998,True,True,0.25049231652060067
112,1024,1024,16,128,0.27175729176764335,4,128,8,DLMT,500,10,True,4,2048,1,1,4,1,False,23,1,False,10,0.011896365488669215,0.27913059999999995,True,True,0.28650390823235655
113,1,1024,1024,128,0.247084719103057,4,128,256,DLMT,500,10,True,4,2048,1,2,2,1,False,23,1,False,10,0.029755451295518934,0.26552699999999996,True,True,0.2839692808969429
114,128,1024,4,128,0.2736151997623653,4,128,8,DLMT,500,10,True,4,2048,1024,2,3,1,True,23,1,False,10,0.011742592080115872,0.2808932,True,True,0.2881712002376347
115,128,1024,64,128,0.25020821271709476,4,128,2048,DLMT,500,10,True,4,2048,1,2,2,1,False,23,1,False,10,0.009387760436334106,0.25602669999999994,True,True,0.2618451872829051
116,128,1024,1,128,0.24161994640297435,4,128,16,DLMT,500,10,True,4,2048,16,3,1,1,False,23,1,False,10,0.011720574090461618,0.2488843,True,True,0.25614865359702566
117,256,1024,256,128,0.24400948289747676,4,128,4,DLMT,500,10,True,4,2048,2048,3,2,1,False,23,1,False,10,0.027382467135011773,0.26098099999999996,True,True,0.27795251710252317
118,128,1024,1024,128,0.16950256643906828,4,128,4,DLMT,500,10,True,4,2048,16,1,3,1,False,23,1,False,10,0.04735377347540532,0.1988522,True,True,0.22820183356093174
119,2048,1024,1024,128,0.2506843286118882,4,128,512,DLMT,500,10,True,4,2048,1,2,3,1,False,23,1,False,10,0.011337411598773339,0.25771120000000003,True,True,0.26473807138811184
120,1,1024,1024,128,0.24957052144402442,4,128,2048,DLMT,500,10,True,4,2048,1,4,1,1,True,23,1,False,10,0.01767371144496821,0.2605246,True,True,0.27147867855597557
121,256,1024,1024,128,0.24768757365029123,4,128,128,DLMT,500,10,True,4,2048,2048,4,1,1,False,23,1,False,10,0.02814337876321889,0.2651307,True,True,0.28257382634970873
122,512,1024,1024,128,0.23501095137154435,4,128,16,DLMT,500,10,True,4,2048,1,3,1,1,False,23,1,False,10,0.02740058849021312,0.2519937,True,True,0.2689764486284556
123,1024,1024,1024,128,0.24686260269093724,4,128,1,DLMT,500,10,True,4,2048,1024,2,2,1,True,23,1,False,10,0.02833500817804717,0.2644245,True,True,0.2819863973090628
124,1,1024,1024,128,0.24524727857651835,4,128,1,DLMT,500,10,True,4,2048,1,2,1,1,False,23,1,False,10,0.03435268163462644,0.26653889999999997,True,True,0.2878305214234816
125,512,1024,1024,128,0.24829076455889904,4,128,8,DLMT,500,10,True,4,2048,64,2,3,1,True,23,1,False,10,0.022618986455851645,0.26230990000000004,True,True,0.27632903544110105
126,128,1024,1024,128,0.24872632785150217,4,128,2048,DLMT,500,10,True,4,2048,2048,2,1,1,False,23,1,False,10,0.020212927654350323,0.2612542,True,True,0.2737820721484978
127,128,1024,1024,128,0.22965482120005057,4,128,4,DLMT,500,10,True,4,2048,512,1,2,1,False,23,1,False,10,0.03421918165605367,0.2508637,True,True,0.27207257879994945
128,2048,1024,1024,128,0.24748228945623466,4,128,4,DLMT,500,10,True,4,2048,128,4,1,1,False,23,1,False,10,0.03585961388093854,0.26970790000000006,True,True,0.2919335105437655
129,128,1024,1024,128,0.24835597587129926,4,128,1,DLMT,500,10,True,4,2048,512,3,1,1,True,23,1,False,10,0.006122869547034302,0.2521509,True,True,0.25594582412870076
130,2048,1024,1024,128,0.18335534046952687,4,128,1,DLMT,500,10,True,4,2048,16,1,1,1,True,23,1,False,10,0.03215782394441514,0.20328660000000004,True,True,0.2232178595304732
131,128,1024,1024,128,0.22050387593771492,4,128,32,DLMT,500,10,True,4,2048,1,1,4,1,True,23,1,False,10,0.033790564574892795,0.24144709999999997,True,True,0.262390324062285
132,2048,1024,1024,128,0.25008643497832306,4,128,128,DLMT,500,10,True,4,2048,512,2,1,1,True,23,1,False,10,0.019056243445128428,0.2618974,True,True,0.27370836502167695
133,2048,1024,1024,128,0.19582276608626012,4,128,4,DLMT,500,10,True,4,2048,2048,1,4,1,False,23,1,False,10,0.035969687964173394,0.21811659999999997,True,True,0.2404104339137398
134,2048,1024,1024,128,0.2665302648386122,4,128,2048,DLMT,500,10,True,4,2048,1,3,2,1,True,23,1,False,10,0.006275841138843458,0.27042,True,True,0.2743097351613878
135,1,1024,1024,128,0.22376134818025747,4,128,32,DLMT,500,10,True,4,2048,2048,1,3,1,True,23,1,False,10,0.013379990783255422,0.23205420000000002,True,True,0.24034705181974256
136,128,1024,1024,128,0.24455596077434852,4,128,8,DLMT,500,10,True,4,2048,8,2,2,1,False,23,1,False,10,0.021960226391364916,0.25816680000000003,True,True,0.2717776392256515
137,1,1024,1024,128,0.2257737833157372,4,128,256,DLMT,500,10,True,4,2048,256,1,4,1,False,23,1,False,10,0.01116936458577658,0.2326965,True,True,0.2396192166842628
138,512,1024,1024,128,0.22022290474403405,4,128,2048,DLMT,500,10,True,4,2048,1,1,3,1,False,23,1,False,10,0.026614758744726578,0.23671859999999997,True,True,0.2532142952559659
139,512,1024,1024,128,0.20521683821353087,4,128,4,DLMT,500,10,True,4,2048,2048,1,4,1,False,23,1,False,10,0.01139789998025952,0.21228119999999998,True,True,0.21934556178646908
