id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
27,1,10,1,1,1,0.20302250000000002,1,1,DLMT,0.20299413227183838,True,False,False,4.5769531350013835e-05,False,0.20305086772816167,True
28,64,1,2,2,2,inf,22,1,DLMT,inf,False,True,False,inf,True,inf,False
29,64,10,2048,1,4,0.44989650000000003,4,1,DLMT,0.44979686392430823,True,False,False,0.00016075649287042906,False,0.44999613607569183,False
30,8,10,512,32,32,0.8003591,22,1,DLMT,0.8003160035606603,True,False,False,6.953337328220091e-05,False,0.8004021964393396,False
31,16,10,1,4,8,0.6653898,1,9,DLMT,0.665309786981837,True,False,True,0.00012909593332094098,False,0.6654698130181631,False
32,4,10,256,2,16,0.7568885000000001,1,20,DLMT,0.756762253594011,True,False,True,0.00020369057415599426,True,0.7570147464059892,False
33,2048,1,1,32,1,inf,1,1,DLMT,inf,False,True,False,inf,True,inf,False
34,256,1,8,4,16,inf,1,1,DLMT,inf,False,True,False,inf,False,inf,False
35,512,10,32,32,2,0.44225020000000004,1,10,DLMT,0.4421460789355626,True,False,True,0.0001679927379382802,True,0.44235432106443745,False
36,1,10,16,1,1,0.2039182,1,24,DLMT,0.2038695061946789,True,False,False,7.856436851397362e-05,True,0.2039668938053211,False
37,2048,10,2048,8,1,0.21744760000000002,16,1,DLMT,0.2174297520552655,True,False,True,2.8796527568439215e-05,True,0.21746544794473455,False
38,2048,1,256,8,2,inf,1,30,DLMT,inf,False,True,False,inf,True,inf,False
39,2048,10,32,8,32,0.9129915000000001,1,9,DLMT,0.91270560832983,True,False,False,0.0004612680890761913,True,0.9132773916701701,False
40,64,1,1,1,32,inf,9,1,DLMT,inf,False,True,True,inf,True,inf,False
41,1,1,1,16,8,inf,1,17,DLMT,inf,False,True,False,inf,True,inf,False
42,1,10,1,16,32,0.9438554000000001,1,1,DLMT,0.9438120770809335,True,False,True,6.989878396653176e-05,True,0.9438987229190667,False
43,512,10,1,4,32,0.7984427000000001,1,24,DLMT,0.7982556590339529,True,False,False,0.0003017787434528825,False,0.7986297409660472,False
44,1,1,2048,4,1,inf,1,8,DLMT,inf,False,True,False,inf,True,inf,False
45,2048,10,1,2,4,0.44733219999999996,30,1,DLMT,0.4472457827896773,True,False,False,0.00013942869145194586,True,0.4474186172103226,False
46,8,10,16,32,16,0.7643004999999999,12,1,DLMT,0.764209368945843,True,False,False,0.00014703417969981795,True,0.7643916310541569,False
47,16,1,2048,8,2,inf,1,25,DLMT,inf,False,True,True,inf,True,inf,False
48,16,1,4,1,32,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
49,256,10,256,2,16,0.7261097,1,30,DLMT,0.725640873579094,True,False,True,0.0007564217143895392,True,0.7265785264209059,False
50,2048,1,2048,32,16,inf,1,21,DLMT,inf,False,True,True,inf,False,inf,False
51,1,10,64,4,2,0.1923957,6,1,DLMT,0.1923621702344189,True,False,True,5.409815153958473e-05,False,0.1924292297655811,False
52,64,1,128,16,1,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
53,2048,1,128,1,16,inf,24,1,DLMT,inf,False,True,True,inf,False,inf,False
54,32,10,256,4,2,0.4120889,1,29,DLMT,0.4119989445068395,True,False,False,0.0001451374865429274,True,0.41217885549316047,False
55,32,1,128,1,2,inf,30,1,DLMT,inf,False,True,True,inf,True,inf,False
56,1,10,1,8,4,0.2137506,22,1,DLMT,0.2135369099525775,True,False,True,0.000344775347146511,False,0.2139642900474225,False
57,16,10,4,16,1,0.3645206,9,1,DLMT,0.36415089538559736,True,False,False,0.0005964949622586901,True,0.3648903046144026,False
58,2048,10,2048,1,1,0.23656290000000002,22,1,DLMT,0.2364836338368517,True,False,False,0.00012789093009279792,True,0.23664216616314834,False
59,32,10,1024,32,8,1.0403850000000001,1,19,DLMT,1.040138056204676,True,False,False,0.00039842816165524083,True,1.0406319437953242,False
60,256,10,1,2,1,0.7725069,1,20,DLMT,0.7724605764264076,True,False,True,7.474014985267394e-05,True,0.7725532235735924,False
61,1,10,8,32,2,0.2195007,6,1,DLMT,0.219480858716236,True,False,True,3.20126537481679e-05,True,0.219520541283764,False
62,1,1,128,8,16,inf,1,22,DLMT,inf,False,True,False,inf,False,inf,False
63,2,1,1,32,32,inf,1,29,DLMT,inf,False,True,False,inf,False,inf,False
64,256,10,2048,8,32,0.8858156999999999,1,9,DLMT,0.8855595650179223,True,False,True,0.00041325755891454463,False,0.8860718349820774,False
65,128,1,32,4,32,inf,23,1,DLMT,inf,False,True,False,inf,False,inf,False
66,8,1,2048,1,4,inf,1,1,DLMT,inf,False,True,False,inf,False,inf,False
67,2048,1,2,32,4,inf,1,11,DLMT,inf,False,True,True,inf,True,inf,False
68,512,1,32,1,16,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
69,8,1,1,4,1,inf,1,8,DLMT,inf,False,True,True,inf,False,inf,False
