id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
14,True,35,0.1426020644057109,8,16,128,1,1,12,6,RS,10,1024,128,1,0.1424733070228605,0.0001943247313763462,1,0.1425376857142857,8
15,True,35,0.21090053986845286,32,128,64,64,23,17,1,RS,6,1024,256,128,0.21069717441726138,0.0003069255975785976,1,0.21079885714285712,1
16,True,35,0.12371581703409538,1,16,512,32,15,1,24,RS,23,1024,2048,2048,0.12361264010876173,0.00015571789248771807,8,0.12366422857142856,8
17,True,35,0.12804592975633025,1,64,128,1,29,1,8,RS,20,512,512,128,0.12802475595795546,3.195616896146817e-05,1,0.12803534285714285,8
18,True,35,0.22031940947439904,32,128,64,64,23,8,1,RS,18,1,128,1,0.22029310481131525,3.9699832930302564e-05,1,0.22030625714285715,1
19,True,35,0.1655616118038873,8,32,256,32,30,1,20,RS,7,2048,1,512,0.16538587391039844,0.00026522921007602506,1,0.16547374285714286,8
20,True,35,0.2937138217409946,32,64,256,16,1,23,30,RS,21,256,1,512,0.29343286397329127,0.0004240303858961872,1,0.2935733428571429,1
21,True,35,0.14178336893910232,1,64,32,64,23,1,7,RS,3,512,256,128,0.14174485963232625,5.81194687954154e-05,1,0.14176411428571428,32
22,True,35,0.14036404291877755,1,256,512,256,10,1,21,RS,8,1,1,2048,0.14027972850979384,0.00012724998376167687,1,0.1403218857142857,1
23,True,35,0.12239036647762311,1,64,32,1,13,1,4,RS,21,64,1024,2048,0.12236637637951972,3.620661795409015e-05,1,0.12237837142857141,8
24,True,35,0.26201714160704104,32,256,128,16,6,29,1,RS,3,1,1024,1024,0.261994515535816,3.414798526939846e-05,1,0.2620058285714285,1
25,True,35,0.187288392099611,32,64,256,256,1,10,28,RS,19,2048,1024,512,0.18710823647181757,0.00027189659499035314,1,0.1871983142857143,1
26,True,35,0.11752257195498875,1,512,64,1,10,9,1,RS,24,128,128,512,0.11749879947358266,3.5878183923279185e-05,8,0.1175106857142857,1
27,True,35,0.18023051485501693,1,64,64,512,1,30,23,RS,20,1024,256,256,0.18016839943069732,9.374657109375557e-05,1,0.18019945714285712,32
28,True,35,0.14558996208676878,1,128,1,32,1,19,2,RS,21,1,2048,128,0.1454180379132312,0.0002594734228063789,1,0.145504,1
