id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
27,2048,1,64,0.207799947716923,8,False,128,16,DLMT,True,True,False,False,False,8,8,64,35,1,28,8,1,6.665025376193741e-05,True,0.20782202857142856,0.20784410942593412
28,64,2048,64,0.22094093916166038,1,False,512,16,DLMT,False,True,False,True,False,19,1,16,35,32,1,30,15,0.00015265916685377863,True,0.2209915142857143,0.22104208940976824
29,1024,256,1024,0.10997395205889873,1,False,256,512,DLMT,False,False,False,True,True,7,8,256,35,8,30,1,27,3.998842689721989e-05,True,0.10998720000000001,0.11000044794110128
30,1,256,512,0.10469418771390551,1,False,256,1,DLMT,False,True,False,False,False,28,8,1,35,1,14,1,13,4.220933255930677e-05,True,0.10470817142857143,0.10472215514323735
31,2048,2048,512,0.25409871805174467,1,False,1,1,DLMT,True,True,True,True,True,14,1,32,35,1,6,30,1,0.00019429144109207086,True,0.25416308571428575,0.25422745337682684
32,2048,1024,64,0.1498137026418982,1,False,64,256,DLMT,False,True,True,False,True,5,8,64,35,1,26,1,22,0.00014535260435175222,True,0.14986185714285716,0.14991001164381612
33,2048,64,64,0.09808882798454602,1,False,16,256,DLMT,True,False,True,True,False,21,1,16,35,8,1,19,6,4.9202726820072566e-05,True,0.09810512857142857,0.09812142915831112
34,2048,512,1,inf,1,False,32,128,DLMT,False,True,True,True,True,18,32,1,1,1,1,14,23,inf,False,inf,inf
35,128,256,2048,0.14788675617820854,32,False,16,1,DLMT,True,True,False,False,False,8,1,128,35,1,1,18,10,3.678504576368745e-05,True,0.14789894285714286,0.14791112953607718
36,1024,2048,2048,0.16281844606681278,1,False,1,512,DLMT,True,False,True,False,False,29,32,32,35,1,26,5,1,4.134326191923556e-05,True,0.16283214285714287,0.16284583964747296
37,1024,2048,64,inf,32,False,64,128,DLMT,False,False,True,True,True,30,1,16,1,1,4,1,7,inf,False,inf,inf
38,1,128,256,0.1859426909153405,1,False,1,1,DLMT,True,False,False,True,True,13,1,16,35,32,23,1,19,4.2329031866738585e-05,True,0.18595671428571428,0.18597073765608807
39,1,256,1024,inf,32,False,64,32,DLMT,True,False,True,False,True,15,1,512,1,1,1,25,30,inf,False,inf,inf
40,64,512,1,0.1943562659760733,1,False,64,64,DLMT,True,False,True,True,False,9,1,128,35,1,11,17,1,4.067947383923209e-05,True,0.19436974285714287,0.19438321973821243
41,256,256,1024,0.27962935032478614,1,False,256,256,DLMT,False,True,False,True,True,30,1,128,35,32,1,28,11,0.00010700355134293565,True,0.2796648,0.27970024967521384
42,2048,2048,512,0.27837585998051945,1,False,1,64,DLMT,False,False,False,False,False,9,1,1,35,32,1,22,1,0.00016462705904993138,True,0.27843039999999997,0.2784849400194805
43,512,2048,512,inf,1,False,64,256,DLMT,True,True,False,True,True,18,32,512,1,1,1,10,30,inf,False,inf,inf
44,2048,1024,2048,0.1781897531351948,1,False,512,64,DLMT,True,True,False,False,False,10,8,512,35,1,26,25,1,9.302389423131493e-05,True,0.17822057142857142,0.17825138972194804
45,128,128,256,0.21067456009324867,1,False,1,1,DLMT,False,False,True,False,True,22,1,128,35,32,1,2,1,9.524517878419242e-05,True,0.2107061142857143,0.21073766847817996
46,1,128,1,0.08835500530484097,1,False,64,1,DLMT,True,True,True,True,True,24,8,512,35,8,2,1,1,0.0001238962270183715,True,0.08839605142857143,0.08843709755230189
47,1,1,1024,0.10522654376349032,1,False,32,128,DLMT,True,False,False,True,False,10,8,32,35,8,1,15,28,5.269101305861224e-05,True,0.10524399999999998,0.10526145623650963
48,64,2048,1,0.123701498103222,1,False,1,32,DLMT,False,True,False,False,False,5,1,16,35,8,1,10,8,0.00024937393281445225,True,0.12378411428571427,0.12386673046820655
49,512,1024,128,0.1684298536608361,1,False,64,1,DLMT,True,True,True,False,False,1,32,64,35,1,19,30,1,2.5710571160280414e-05,True,0.16843837142857143,0.16844688919630676
50,512,128,64,0.2977981931937916,8,False,32,512,DLMT,False,True,True,True,True,29,8,1,35,1,1,6,30,0.005317000909596787,True,0.2995596857142857,0.30132117823477983
51,2048,2048,2048,0.1588919246073637,1,False,256,512,DLMT,True,False,False,False,True,29,1,1,35,1,1,29,24,9.086771726425325e-05,True,0.15892202857142856,0.15895213253549342
52,1024,512,512,0.10715323459632681,1,False,16,16,DLMT,True,True,False,False,True,28,1,32,35,8,16,15,1,0.00059392919250891,True,0.10735,0.1075467654036732
53,1,2048,1024,0.2127451987892299,8,False,128,32,DLMT,False,True,True,True,True,1,8,128,35,1,30,21,1,0.0003706709746238178,True,0.21286799999999997,0.21299080121077005
54,1024,2048,2048,0.25027347090486113,1,False,128,64,DLMT,True,True,False,False,False,25,1,64,35,32,18,1,30,0.00025859766244188466,True,0.25035914285714284,0.25044481480942454
55,2048,256,1024,0.2764167437137936,1,False,32,128,DLMT,False,False,True,False,False,30,1,512,35,32,9,12,1,0.00020499420798188937,True,0.27648465714285714,0.2765525705719207
56,1,1024,128,0.09149256372915929,1,False,32,1,DLMT,False,False,True,False,False,27,1,128,35,8,29,24,1,3.76505441866512e-05,True,0.09150503714285715,0.09151751055655502
57,128,1,64,inf,32,False,1,64,DLMT,True,True,False,False,True,13,1,1,1,1,20,1,2,inf,False,inf,inf
58,128,1,1024,inf,32,False,512,32,DLMT,False,False,False,False,True,1,1,1,1,1,1,30,29,inf,False,inf,inf
59,512,2048,1,0.24199149218552352,1,False,512,32,DLMT,True,False,False,False,True,3,32,32,35,1,11,20,1,3.188993827628715e-05,True,0.24200205714285714,0.24201262210019076
60,64,2048,512,0.14949356119762922,1,False,32,1,DLMT,True,False,False,True,False,5,1,512,35,1,28,1,13,6.962802625966512e-05,True,0.14951662857142856,0.1495396959452279
61,128,1,128,0.10123395883268108,8,False,512,16,DLMT,True,False,True,False,True,8,1,16,35,8,7,1,29,8.619359320856816e-05,True,0.10126251428571427,0.10129106973874746
62,2048,2048,512,0.09955007640599553,1,False,1,1,DLMT,True,True,False,False,True,2,8,128,35,8,11,1,11,8.808098963280277e-05,True,0.09957925714285715,0.09960843787971876
63,1,2048,2048,inf,1,False,512,512,DLMT,True,True,True,True,True,6,32,512,1,1,9,1,4,inf,False,inf,inf
64,256,1024,2048,0.19533079018591593,8,False,32,1,DLMT,False,False,True,False,True,9,8,16,35,1,26,16,1,5.841533206623245e-05,True,0.1953501428571429,0.19536949552836985
65,2048,1,128,0.2667276420485419,1,False,32,512,DLMT,True,True,True,True,False,30,1,1,35,32,1,17,25,0.00024600721741528035,True,0.2668091428571429,0.26689064366574394
66,2048,512,2048,0.1266642626969572,8,False,32,1,DLMT,False,True,False,True,False,26,1,512,35,8,10,1,22,0.00013891879877489963,True,0.12671028571428572,0.12675630873161423
67,1,64,512,0.2452771013622576,8,False,16,32,DLMT,False,True,True,True,False,14,1,512,35,1,18,23,1,4.9886777930076025e-05,True,0.2452936285714286,0.24531015578059961
68,2048,128,2048,0.33748977210521613,1,False,1,16,DLMT,False,False,True,False,True,22,1,128,35,1,1,9,30,0.00021430886732061498,True,0.33756077142857144,0.33763177075192674
69,1,1,1,0.17698714860804576,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,1,1,1,1,0.00023619897181341605,True,0.17706539999999998,0.1771436513919542
70,1024,1,256,0.0962263868540731,1,False,512,128,DLMT,True,False,False,False,True,24,8,1,35,8,19,10,1,6.684259023547482e-05,True,0.09624853142857143,0.09627067600306975
71,128,1,256,0.11853595558950548,1,False,512,1,DLMT,True,False,False,False,False,24,8,128,35,8,29,10,1,0.00017304889010723748,True,0.1185932857142857,0.11865061583906593
72,512,512,256,0.08896386271302639,1,False,512,256,DLMT,True,False,True,False,False,24,8,32,35,8,30,10,1,5.23837133125193e-05,True,0.08898121714285716,0.08899857157268792
73,2048,2048,256,0.09217338290244013,1,False,512,512,DLMT,True,False,True,False,True,24,8,128,35,8,9,10,1,3.241816145059264e-05,True,0.09218412285714285,0.09219486281184557
74,1,1,256,0.12934373458653475,1,False,512,16,DLMT,True,False,False,False,False,24,8,256,35,8,9,10,1,0.000121367197935413,True,0.12938394285714286,0.12942415112775096
75,128,512,256,0.09533661265622602,1,False,512,32,DLMT,True,False,False,False,True,24,8,64,35,8,1,10,1,8.32196456397651e-05,True,0.09536418285714286,0.0953917530580597
