id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
44,64,2048,512,0.2827273290940942,1,False,512,32,DLMT,False,True,False,True,False,20,1,128,35,0.28370329947733447,0.001472965498023405,0.28321531428571434,1,30,True,28,32
45,1024,2048,64,0.2221053975393548,8,False,512,1,DLMT,False,True,False,False,False,8,8,16,35,0.22234128817493096,0.0003560136388123481,0.22222334285714287,28,1,True,13,1
46,2048,2048,1024,0.2469700891962767,1,False,256,64,DLMT,False,False,False,False,True,30,32,512,35,0.2472029393751519,0.0003514248849980864,0.2470865142857143,1,1,True,2,1
47,512,128,1,0.1997559560210477,1,False,64,128,DLMT,False,False,True,False,False,1,32,16,35,0.19977958683609512,3.5664376555632524e-05,0.1997677714285714,22,30,True,1,1
48,1,1024,512,0.2981815634293854,1,False,1,16,DLMT,True,False,False,True,True,30,1,16,35,0.29822432228490026,6.453302271246934e-05,0.2982029428571428,30,20,True,1,32
49,1,2048,128,0.19157465198534715,1,False,64,512,DLMT,False,True,True,False,False,24,32,32,35,0.19163500515751006,9.10869241719257e-05,0.1916048285714286,30,1,True,23,1
50,2048,512,64,0.10725604926245834,1,False,1,16,DLMT,False,True,True,True,True,2,8,1,35,0.10740697930897024,0.00022778841955119775,0.10733151428571429,1,26,True,16,8
51,2048,512,2048,0.18462388077121608,8,False,256,1,DLMT,False,False,True,True,False,5,1,512,35,0.18466097637164106,5.598585827270001e-05,0.18464242857142857,30,1,True,30,1
52,256,512,2048,0.18173093882382566,1,False,32,256,DLMT,True,True,False,False,False,6,1,16,35,0.18175334689046005,3.3818965817712875e-05,0.18174214285714285,1,20,True,23,32
53,256,1,2048,inf,1,False,512,16,DLMT,True,True,True,True,True,21,32,512,1,inf,inf,inf,19,5,False,1,1
54,128,1,1024,0.09117729429188375,8,False,128,128,DLMT,True,True,True,False,True,28,1,256,35,0.09126344856525913,0.00013002676553349217,0.09122037142857144,24,23,True,1,8
55,2048,2048,1,0.13319836417694417,1,False,512,512,DLMT,True,False,True,False,False,21,1,1,35,0.1333662072516272,0.00025331409880435276,0.1332822857142857,19,22,True,1,1
56,512,2048,128,inf,1,False,32,256,DLMT,True,True,False,True,True,20,32,1,1,inf,inf,inf,1,30,False,11,1
57,1,512,512,0.089180254069198,1,False,512,128,DLMT,True,False,True,False,False,18,8,256,35,0.0892003573593734,3.0340523988857293e-05,0.0891903057142857,17,1,True,8,8
58,2048,128,1,0.21745872075321437,1,False,16,64,DLMT,False,False,True,True,True,26,1,512,35,0.2175731078182142,0.00017263659129240677,0.2175159142857143,8,1,True,18,1
59,1024,128,1,0.3362428416154993,1,False,1,16,DLMT,False,True,False,True,False,21,1,256,35,0.33642104409878654,0.0002689488472720779,0.3363319428571429,23,1,True,26,32
60,1,512,64,0.21229741909230782,1,False,16,512,DLMT,False,True,True,False,True,16,1,1,35,0.2124788666219779,0.00027384637433183897,0.21238814285714286,1,1,True,2,1
61,256,1024,2048,0.09408055695934359,1,False,256,1,DLMT,False,False,False,True,True,24,8,64,35,0.0941170373263707,5.505732848956702e-05,0.09409879714285714,4,2,True,1,8
62,512,1,1024,0.10062192476135041,1,False,256,64,DLMT,True,True,True,True,True,18,1,16,35,0.10073150381007816,0.00016538018043777883,0.10067671428571429,1,5,True,29,8
