id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
47,True,35,False,1,1,32,1,1,17,15,SIMA,23,2048,2048,64,0.12560678882322934,0.12567309689105638,0.00010007424182850812,8,0.12563994285714286,1
48,True,35,False,1,16,1,1,1,16,15,SIMA,22,1024,2048,64,0.13584395143200956,0.13587701999656193,4.9908127839959156e-05,1,0.13586048571428574,1
49,True,35,False,8,1,1,16,1,18,15,SIMA,24,512,1024,1,0.11734537170485165,0.11755068543800551,0.0003098660065912632,1,0.11744802857142858,8
50,True,35,False,8,16,1,16,1,17,16,SIMA,23,512,2048,64,0.11870351386602387,0.11888242899111898,0.00027002438892115906,1,0.11879297142857143,1
51,True,35,False,1,1,16,16,1,18,16,SIMA,23,2048,1024,1,0.13975181691272195,0.1398753259444209,0.00018640375313730615,1,0.13981357142857143,8
52,True,35,False,1,1,16,1,1,18,14,SIMA,23,512,1024,1,0.13470341459149154,0.13472464255136563,3.203791121627619e-05,1,0.13471402857142858,8
53,True,35,False,8,1,16,1,1,16,15,SIMA,24,512,2048,1,0.1157044462294752,0.11572852519909621,3.634074567091929e-05,1,0.11571648571428571,8
54,True,35,False,1,16,16,1,1,18,15,SIMA,23,1024,2048,1,0.1384242919528233,0.13845936519003382,5.2933643481672755e-05,1,0.13844182857142856,1
55,True,35,False,8,16,1,1,1,16,16,SIMA,24,1024,2048,64,0.11221565143516908,0.11239669142197377,0.0002732312976963227,1,0.11230617142857142,8
56,True,35,False,1,32,1,16,1,16,17,SIMA,25,2048,2048,1,0.12288901642490986,0.12293138357509008,6.394184858134783e-05,8,0.12291019999999997,8
57,True,35,False,1,1,16,1,1,16,15,SIMA,23,2048,2048,128,0.12390509086457797,0.12394970913542201,6.733931138007552e-05,8,0.1239274,1
58,True,35,False,32,32,1,16,1,15,16,SIMA,23,512,2048,1,0.141275531118852,0.14131966888114794,6.661411261887475e-05,1,0.14129759999999997,1
59,True,35,False,32,16,1,1,1,16,16,SIMA,24,2048,2048,64,0.13396114177651006,0.13423617250920425,0.00041508511642499317,1,0.13409865714285715,1
60,True,35,False,1,1,1,1,1,15,15,SIMA,23,512,1024,128,0.13641675585617116,0.13644312985811455,3.980448133934031e-05,1,0.13642994285714286,8
61,True,35,False,1,32,16,16,1,17,17,SIMA,24,512,1024,1,0.18405877864464346,0.1841976784982137,0.00020963207029926957,1,0.18412822857142858,1
62,True,35,False,1,1,1,1,1,17,15,SIMA,23,2048,1024,128,0.13482748071031034,0.13485783357540396,4.5809507969507706e-05,1,0.13484265714285715,1
63,True,35,False,1,16,16,16,1,16,16,SIMA,24,512,2048,64,0.14093154128906965,0.14096583013950176,5.1749822044452097e-05,1,0.1409486857142857,1
64,True,35,False,8,1,1,1,1,16,15,SIMA,24,512,1024,64,0.11988458227094374,0.12010701772905626,0.00033570665766409784,1,0.1199958,1
65,True,35,False,8,1,16,16,1,15,16,SIMA,24,2048,2048,1,0.12258744647743404,0.12261518209399457,4.185947336271829e-05,1,0.1226013142857143,8
66,True,35,False,1,1,16,1,1,17,15,SIMA,24,1024,2048,128,0.12005525143663588,0.120081091420507,3.899852430489147e-05,8,0.12006817142857144,1
67,True,35,False,8,32,16,1,1,17,16,SIMA,23,512,2048,128,0.12612801211533128,0.12615918788466876,4.705146118878805e-05,1,0.12614360000000002,8
