id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
13,1,1,2048,False,32,512,1,32,2048,4,0.36470554957433204,1,128,1,DLMT,8,True,False,False,2048,2048,True,30,1,5,512,8,35,128,11,1,0.3656098285714285,1,True,0.002729533162447009,True,0.3665141075685249
14,8,8,2048,False,1,16,16,512,1024,1,0.20137816946219,32,512,128,DLMT,1,True,True,True,2048,2048,False,24,29,1,1,32,35,1,7,28,0.20143311428571428,1,False,0.00016584894528775472,True,0.20148805910923856
15,1,32,2048,False,1,1,32,32,64,1,0.232767827762624,16,128,64,DLMT,1,False,False,True,1024,64,True,1,14,19,256,32,35,1,7,18,0.23377385714285717,1,False,0.003036662981844725,True,0.23477988652309034
16,1,8,128,False,8,64,64,32,128,10,0.182088745682473,16,16,256,DLMT,8,False,False,True,512,2048,False,22,1,28,64,1,35,256,20,1,0.1822049142857143,8,False,0.0003506506907718485,True,0.18232108288895563
17,32,1,128,False,1,32,1,32,128,1,0.15988739927687703,1,1,1,DLMT,1,True,False,True,128,256,True,1,9,16,1,32,35,2048,23,12,0.1612489142857143,1,False,0.004109683382809288,True,0.16261042929455158
18,1,1,1,False,32,1,256,64,2048,8,0.24554038746972062,1,1,16,DLMT,8,True,True,False,1,256,False,1,28,15,2048,8,35,512,1,2,0.24691874285714285,1,True,0.004160515451190131,True,0.24829709824456508
19,32,1,1,False,1,16,512,32,1024,19,0.11687492042848564,64,64,1,DLMT,1,False,False,True,2048,256,False,9,1,2,2048,8,35,256,1,30,0.11755831428571428,8,True,0.002062799426181097,True,0.11824170814294292
20,1,32,1024,False,1,1,1,128,256,17,0.13806324132913478,1,512,1,DLMT,1,True,True,True,512,1,False,26,1,13,128,8,35,1,24,1,0.13970837142857143,8,True,0.004965765186817863,True,0.14135350152800807
21,1,1,1,False,8,16,128,32,256,1,0.18726165821611965,16,64,1,DLMT,1,False,True,True,256,1024,False,23,1,2,1,1,35,128,15,5,0.1873482285714286,1,False,0.00026130945920381,True,0.18743479892673756
22,8,1,512,False,8,512,1,16,2048,1,0.15701222983205018,64,16,32,DLMT,32,False,True,True,512,1,False,6,30,1,512,1,35,1,17,10,0.15905237142857143,1,True,0.0061580929797913145,True,0.16109251302509267
23,1,1,1,False,1,128,16,256,512,24,0.2653524106590077,64,512,512,DLMT,8,False,True,False,2048,512,True,16,24,1,128,8,35,256,1,20,0.2660240857142857,1,False,0.0020274266500232524,True,0.2666957607695637
24,1,8,1024,False,1,128,32,16,64,9,0.09842639893341149,64,1,1,DLMT,8,True,False,False,1,1,False,1,1,11,512,1,35,64,1,1,0.09844278285714285,1,False,4.945427605787168e-05,True,0.09845916678087421
25,8,1,512,False,8,64,128,16,256,1,0.22193007712534765,1,128,64,DLMT,32,True,True,False,2048,1,True,21,1,22,512,1,35,2048,6,28,0.22409614285714285,1,True,0.006538190388098255,True,0.22626220858893806
26,32,1,2048,False,1,64,64,512,512,1,0.13658239699677513,64,1,256,DLMT,1,True,True,False,2048,1024,False,30,1,21,512,1,35,2048,18,15,0.1380484285714286,32,True,0.004425162823707905,True,0.13951446014608207
27,1,8,64,False,1,16,64,1,2048,1,0.17973585642211842,32,64,256,DLMT,8,True,True,True,64,1,True,4,7,1,1,8,35,1024,16,2,0.1805345142857143,1,False,0.002410719624290385,True,0.18133317214931016
28,1,1,512,False,32,64,32,32,1,9,0.23958665651949856,512,32,64,DLMT,1,False,False,True,1024,512,False,22,29,1,64,1,35,128,1,30,0.2409129714285714,1,True,0.004003433165855197,True,0.24223928633764424
29,1,8,128,False,8,1,512,16,1024,1,0.18908607681956346,64,1,512,DLMT,1,True,True,False,256,2048,False,17,9,1,128,1,35,2048,14,30,0.19038342857142856,8,True,0.003916008932469852,True,0.19168078032329366
30,1,8,512,False,8,64,64,32,1,15,0.1934715414336992,128,1,32,DLMT,1,True,True,False,2048,128,True,13,1,20,2048,32,35,2048,10,1,0.1972936,1,True,0.011536744344422794,True,0.20111565856630081
31,1,1,64,False,32,1,512,512,1,1,0.2181575043333194,32,1,128,DLMT,1,False,False,True,1,1,True,21,1,5,2048,32,35,512,22,13,0.22014442857142857,1,False,0.005997458324922624,True,0.22213135280953775
32,8,1,2048,False,8,32,1,128,256,26,0.1432676375066588,64,1,512,DLMT,1,False,False,False,1,512,True,27,1,13,1,1,35,2048,30,1,0.14990708571428568,1,True,0.02004093219156581,True,0.15654653392191256
33,1,1,64,False,32,128,512,16,1,1,0.31493873544173373,512,32,512,DLMT,1,False,True,False,2048,1,False,29,11,1,2048,8,35,64,3,12,0.3221202000000001,1,True,0.021676988771901485,True,0.3293016645582664
34,1,8,2048,False,8,32,64,256,64,30,0.24266339185620286,512,512,16,DLMT,8,False,True,True,1024,256,True,1,2,24,512,8,35,1024,26,1,0.24462654285714283,1,True,0.005925699675832656,True,0.2465896938580828
35,1,8,1,False,1,512,256,512,2048,18,0.22245857411504197,256,32,1,DLMT,1,False,True,True,1,1024,True,1,23,21,1024,1,35,512,24,1,0.22364734285714286,8,False,0.0035882550788677793,True,0.22483611159924374
36,8,1,512,False,8,128,16,1,512,1,0.0937677530290048,32,512,1,DLMT,1,False,True,False,64,1024,True,1,2,30,2048,8,35,1,29,29,0.10049420285714286,8,True,0.02030354340904894,True,0.10722065268528093
37,1,32,2048,False,1,16,512,512,1,3,0.21382496052245573,32,32,16,DLMT,32,False,True,True,512,128,False,1,22,27,2048,1,35,1,1,28,0.21385442857142856,1,False,8.894823075869412e-05,True,0.2138838966204014
38,1,32,1,False,1,128,128,128,1,4,0.19194599561840292,1,512,512,DLMT,1,False,True,True,1024,512,False,1,11,29,128,8,35,1024,2,1,0.19324171428571427,8,True,0.0039110795263232,True,0.1945374329530256
39,8,1,1,False,1,1,16,1,128,17,0.09041348785140058,32,32,128,DLMT,1,True,True,False,256,2048,True,17,1,24,256,1,35,128,4,1,0.09147084857142858,1,False,0.003191604758323797,True,0.09252820929145658
40,8,1,2048,False,8,512,512,32,1,5,0.19085697925175937,256,128,512,DLMT,1,True,False,True,1,2048,True,10,1,4,1,32,35,256,1,10,0.19150257142857144,1,True,0.0019486964329405172,True,0.1921481636053835
41,8,1,1,False,1,64,256,16,256,1,0.14819593981481186,128,128,64,DLMT,8,True,False,True,256,64,False,29,1,30,512,8,35,1,14,19,0.1482428,1,False,0.0001414457594173225,True,0.14828966018518816
42,1,1,1,False,8,512,16,64,1024,30,0.10846203308687788,256,16,16,DLMT,1,False,True,True,1024,1,False,1,7,19,1,1,35,1,1,29,0.10948102857142857,32,True,0.003075800694692258,True,0.11050002405597925
43,8,1,2048,False,1,64,1,1,2048,1,0.24037624012073427,1,1,256,DLMT,1,False,True,True,512,256,True,15,25,1,2048,1,35,512,18,13,0.2410227714285714,32,False,0.0019515311656779228,True,0.24166930273640852
44,1,8,1,False,1,16,256,1,1,22,0.11500984062705859,1,16,32,DLMT,1,True,False,True,256,1024,True,1,1,16,256,8,35,256,1,18,0.11686374285714286,8,True,0.0055959362466646,True,0.11871764508722714
45,1,1,128,False,32,256,512,64,512,29,0.18129365218555135,64,128,1,DLMT,1,False,False,False,512,512,True,1,12,8,256,1,35,1,16,1,0.18382368571428573,32,True,0.0076368139047321435,True,0.1863537192430201
46,32,1,1,False,1,256,16,512,64,21,0.15232184139991128,1,128,64,DLMT,1,False,False,False,1,1,False,1,29,26,1024,1,35,1024,3,1,0.15300242857142857,1,True,0.0020543275477560505,True,0.15368301574294585
47,8,8,128,False,1,512,32,1,64,1,0.21526556524835502,256,64,32,DLMT,32,True,True,False,512,256,False,28,29,1,1,1,35,2048,30,14,0.21531502857142856,1,False,0.00014930323615558398,True,0.2153644918945021
48,1,32,64,False,1,128,32,256,512,28,0.20315974618734964,1,16,128,DLMT,32,True,False,True,2048,128,True,1,27,11,1024,1,35,1,25,1,0.20387388571428572,1,False,0.002155604108516467,True,0.2045880252412218
49,1,1,512,False,32,256,1,512,256,1,0.1767855017935145,32,32,64,DLMT,1,False,False,False,64,1024,True,8,6,1,2048,8,35,1,3,2,0.1783265142857143,8,False,0.004651489987836024,True,0.17986752677791412
50,8,1,2048,False,8,32,128,512,2048,1,0.19112745893717603,512,256,1,DLMT,1,True,False,False,1,1,False,19,30,1,1,8,35,2048,1,11,0.19179468571428573,8,False,0.0020139996846563583,True,0.19246191249139544
51,1,32,2048,False,1,512,512,32,512,30,0.31101935294992056,1,1,32,DLMT,8,False,False,False,2048,64,True,11,27,1,2048,8,35,256,1,1,0.3118834571428571,1,False,0.002608266981764569,True,0.3127475613357936
52,1,1,2048,False,1,64,256,512,256,17,0.0688928240158328,64,512,512,DLMT,32,False,True,True,256,2048,False,1,5,10,128,1,35,1024,1,26,0.06890428285714285,1,False,3.4588094448104395e-05,True,0.06891574169845291
53,1,1,256,False,1,1,32,64,1,27,0.15901723416521904,1,256,32,DLMT,8,False,False,False,1,64,False,22,5,1,1024,1,35,512,5,1,0.15910994285714286,8,False,0.00027983780433439326,True,0.15920265154906668
54,1,32,256,False,1,128,1,1,1,27,0.16073162339514646,64,128,512,DLMT,8,True,False,False,2048,1,False,11,1,24,1,1,35,64,26,1,0.16427682857142858,1,True,0.01070107248693383,True,0.1678220337477107
55,32,1,64,False,1,1,64,128,512,1,0.13002182348977873,64,16,128,DLMT,8,False,False,True,512,2048,True,27,1,18,1024,8,35,1,9,2,0.13310185714285713,1,True,0.009296969214727552,True,0.13618189079593554
