id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
45,1,64,128,0.24575085537309604,1,False,64,128,RS,False,True,False,True,True,4,1,1,35,1,28,11,1,6.460046123548229e-05,True,0.24577225714285714,0.24579365891261823
46,1024,1024,1024,0.16465642505183756,32,False,64,64,RS,False,False,True,False,False,22,1,32,35,1,28,1,27,6.658930477339551e-05,True,0.16467848571428573,0.1647005463767339
47,256,64,1,0.19929349151769896,8,False,64,256,RS,True,False,False,False,False,9,8,256,35,1,15,30,1,8.915651909960801e-05,True,0.19932302857142858,0.1993525656251582
48,512,256,512,0.11352072280748197,8,False,32,256,RS,False,False,False,False,False,23,1,256,35,8,1,2,29,5.1891849857492995e-05,True,0.1135379142857143,0.11355510576394663
49,2048,512,1024,0.18626119530856483,1,False,32,32,RS,True,False,False,True,False,5,1,512,35,1,1,28,27,0.0004276873204592714,True,0.18640288571428573,0.18654457612000663
50,64,512,128,inf,32,False,1,64,RS,True,True,True,False,True,14,1,16,1,1,23,1,11,inf,False,inf,inf
51,64,1,1,0.09349243417842494,8,False,256,32,RS,False,True,True,False,False,10,1,64,35,8,25,1,11,3.4781647752919924e-05,True,0.09350395714285714,0.09351548010728934
52,512,256,1024,0.09269963736393674,8,False,256,32,RS,True,False,True,False,True,7,1,128,35,8,1,23,23,7.993687080619204e-05,True,0.09272612,0.09275260263606325
53,128,2048,1024,0.19974805684908362,32,False,512,32,RS,False,True,True,True,False,13,1,1,35,1,24,8,1,3.6049965325919325e-05,True,0.19975999999999997,0.19977194315091631
54,2048,2048,512,0.10766610749423985,1,False,32,32,RS,True,True,True,True,False,19,1,32,35,8,26,13,1,0.00022692271452489515,True,0.10774128571428573,0.10781646393433161
55,1024,1,1024,inf,32,False,512,32,RS,True,False,False,False,True,17,1,128,1,1,1,7,16,inf,False,inf,inf
56,2048,512,1,0.10908144685946086,8,False,512,1,RS,False,True,True,False,True,25,1,256,35,8,26,22,1,5.237982163281765e-05,True,0.10909880000000001,0.10911615314053916
57,64,2048,256,0.08809704299614785,8,False,128,32,RS,True,False,True,False,False,10,1,256,35,1,1,7,12,2.3595340944468296e-05,True,0.08810486,0.08811267700385214
58,2048,256,128,0.10354229140208096,1,False,16,128,RS,False,False,True,True,False,16,8,128,35,8,5,3,1,2.231946162762281e-05,True,0.10354968571428572,0.10355708002649047
59,512,64,1024,inf,32,False,64,16,RS,True,False,False,True,True,14,1,32,1,1,8,1,8,inf,False,inf,inf
60,1024,512,1024,0.2132458799350244,1,False,1,1,RS,True,False,True,True,True,26,1,16,35,1,9,26,1,3.477289584884177e-05,True,0.21325739999999996,0.21326892006497553
61,1,1024,2048,0.1413166104562119,1,False,1,64,RS,True,False,True,False,True,13,8,16,35,1,5,1,16,5.421453980742297e-05,True,0.14133457142857142,0.14135253240093093
62,128,1,1024,0.1732591468931135,1,False,1,32,RS,False,False,True,False,False,19,1,16,35,1,1,4,2,4.5609737592596074e-05,True,0.17327425714285713,0.17328936739260076
63,1024,512,64,0.12208920803733833,1,False,16,128,RS,False,True,False,False,False,13,8,1,35,8,12,25,1,4.266543790747658e-05,True,0.12210334285714285,0.12211747767694736
64,512,1,2048,0.09892979519319986,8,False,128,64,RS,True,True,True,False,False,21,8,32,35,1,1,7,9,3.238106224070901e-05,True,0.09894052285714283,0.0989512505210858
65,256,1,256,0.09529636014954847,8,False,16,128,RS,False,False,True,True,True,19,1,64,35,8,1,29,21,5.7936799767909785e-05,True,0.09531555428571428,0.0953347484218801
66,256,1,256,0.320939890804961,1,False,64,128,RS,False,True,False,True,True,25,1,1,35,32,1,26,16,0.0006757754946605257,True,0.32116377142857144,0.3213876520521819
67,128,1024,1024,0.09006139365235909,8,False,512,64,RS,True,False,True,False,False,18,1,256,35,8,1,5,23,3.3291252267691196e-05,True,0.09007242285714286,0.09008345206192662
68,256,128,256,0.2045808748507522,1,False,64,64,RS,False,False,True,True,False,21,1,1,35,1,21,3,1,9.834846003795294e-05,True,0.20461345714285717,0.20464603943496215
69,1,256,2048,0.10401678850683775,8,False,64,32,RS,True,False,True,True,False,13,8,1,35,1,1,4,7,3.5738803013200845e-05,True,0.10402862857142858,0.10404046863601941
70,128,128,2048,0.10240527235068426,1,False,1,1,RS,False,False,True,False,True,3,1,128,35,8,1,30,2,3.928036327193848e-05,True,0.10241828571428571,0.10243129907788716
71,1,64,512,0.0932306858695899,8,False,1,256,RS,False,False,True,False,False,26,1,512,35,1,14,1,6,3.597099216800951e-05,True,0.09324260285714285,0.09325451984469581
72,256,256,1024,inf,1,False,1,256,RS,False,False,True,True,False,15,32,512,1,1,17,19,1,inf,False,inf,inf
73,1024,1,512,0.1899070654108862,8,False,128,64,RS,True,False,False,True,False,8,1,16,35,1,1,6,10,6.86235278270397e-05,True,0.18992979999999998,0.18995253458911376
