id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
20,2048,2048,4,16,4.67460105369206,8,512,64,DLMT,500,10,False,8,128,256,1,2,9,True,2,3,False,10,0.0001064001879697851,4.6746669999999995,True,False,4.674732946307939
21,1,16,4,64,1.094845576127352,2,1024,2,DLMT,500,10,False,128,1,512,3,1,1,False,24,1,False,10,0.1276590158821538,1.173968,True,True,1.253090423872648
22,1,16,4,4,3.8830306386061877,512,128,1,DLMT,500,10,True,2048,4,1,1,27,1,False,1,1,False,10,0.0036066139244449744,3.885265999999999,True,True,3.8875013613938108
23,1024,64,1,2048,0.22450517651274646,16,256,256,DLMT,500,10,True,1,1,1024,1,17,4,True,1,1,False,10,0.019222683090817472,0.23641930000000003,True,True,0.2483334234872536
24,1,256,1,4,9.391437029858926,2048,4,512,DLMT,500,10,True,1,32,512,1,5,1,False,18,1,False,10,0.004110988323992248,9.393984999999999,True,True,9.396532970141072
25,2048,128,16,16,4.655693123478049,8,512,1,DLMT,500,10,False,1024,1,512,1,30,1,True,2,2,False,10,0.0037736290225724453,4.658032,True,True,4.660370876521951
26,128,512,512,2,4.218568817228295,8,8,2048,DLMT,500,10,False,256,2048,1,3,1,2,False,1,2,False,10,0.07474113272489266,4.264893,True,True,4.3112171827717045
27,512,2,2,1,6.16681897784321,256,64,4,DLMT,500,10,False,2048,2,256,1,2,1,True,1,21,False,10,0.0006776791276113556,6.167239,True,False,6.167659022156791
28,256,256,2,1,0.8793516147609802,2,256,4,DLMT,500,10,True,128,1,8,2,1,6,True,1,3,False,10,0.010265305314504772,0.8857139999999999,True,True,0.8920763852390196
29,128,1024,2,2,6.708712917232727,2,4,8,DLMT,500,10,False,1024,1024,128,1,2,1,True,30,1,False,10,0.007483252568235232,6.713351,True,True,6.717989082767273
30,16,1,32,16,3.4030535870863527,32,8,2,DLMT,500,10,True,128,256,2048,2,30,1,True,1,1,False,10,0.0004185462937357886,3.403313,True,False,3.403572412913647
31,16,1024,64,32,0.2016966398399862,2,16,1024,DLMT,500,10,True,4,64,1024,1,2,11,True,4,1,False,10,0.026805087640408867,0.2183103,True,True,0.23492396016001382
32,1024,256,2,1,0.45921616455920256,32,32,16,DLMT,500,10,True,1,2,16,1,1,1,True,3,29,False,10,0.08907176173311045,0.5144224,True,True,0.5696286354407973
33,512,2048,1,2,6.276923514407879,128,1,4,DLMT,500,10,False,2048,64,2048,6,1,1,False,4,2,False,10,0.008795626470013333,6.282375,True,True,6.287826485592121
34,512,128,4,64,10.29947260420774,2048,2,1,DLMT,500,10,True,2048,512,64,1,3,23,False,1,1,False,10,0.11822843355132484,10.37275,True,True,10.44602739579226
35,2048,2048,1,1,2.9319597404935505,1,8,2,DLMT,500,10,True,256,16,128,8,1,1,False,2,5,False,10,8.754427451296455e-05,2.932014,True,False,2.93206825950645
36,64,2048,1024,256,2.0256626858514006,128,1,8,DLMT,500,10,False,256,256,1,15,3,1,False,1,2,False,10,0.0032128591628018837,2.0276539999999996,True,True,2.0296453141485986
37,1,256,4,4,0.40150917176397843,16,256,1024,DLMT,500,10,True,1,128,1,1,2,25,True,1,1,False,10,0.028219374671314027,0.4189994,True,True,0.4364896282360216
38,512,2048,4,64,3.2511494526100986,1024,512,2048,DLMT,500,10,True,1024,64,2048,2,17,2,False,1,1,False,10,0.0004945947836360124,3.251456,True,False,3.2517625473899017
39,1,8,1,1,2.5898195051593627,32,512,1,DLMT,500,10,True,128,64,64,1,3,1,False,10,2,False,10,0.0001992510978639485,2.589943,True,False,2.590066494840637
40,1,256,16,16,10.029920096157605,1,128,512,DLMT,500,10,False,512,32,2048,1,4,21,True,1,1,False,10,0.010358107935332546,10.03634,True,True,10.042759903842393
41,512,1024,16,128,5.001208858571275,4,4,128,DLMT,500,10,False,1024,1,1,3,1,1,False,1,17,False,10,0.0004729651149927795,5.001502,True,False,5.001795141428726
42,1,2048,2048,8,5.1408035554536395,1,1,1,DLMT,500,10,False,16,1024,512,3,8,1,False,3,1,False,10,0.00036212704952812987,5.141028,True,False,5.141252444546361
43,32,1,16,16,2.568915971621569,2,32,1024,DLMT,500,10,True,2048,1024,1024,1,8,1,True,4,8,False,10,0.03454211031480269,2.590325,True,True,2.611734028378431
44,32,64,2,1024,3.7461315465108322,256,8,512,DLMT,500,10,False,256,2048,1024,1,1,2,True,1,5,False,10,0.07514492866454796,3.792706,True,True,3.8392804534891676
45,32,128,8,8,7.27738709846829,2048,8,2,DLMT,500,10,False,1,32,2048,9,2,1,True,10,1,False,10,0.01697964808233671,7.287911000000001,True,True,7.298434901531713
