id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
57,True,True,16,1024,2,1,4.994738562036065,False,DLMT,False,1,7,256,False,10,512,9,1,1,1,0.00026369679558159047,4.994902000000001,True,16,4,512,4.9950654379639365,4
58,True,True,1,128,8,4,5.835383901214376,False,DLMT,True,1,14,64,True,10,2,1,13,2,32,0.0012166905933720567,5.836138,True,2,1,1,5.836892098785624,8
59,False,True,8,512,16,2,4.40100267501511,False,DLMT,True,1,5,256,True,10,2048,5,1,2,16,0.00015218738449689352,4.401097,True,2,64,512,4.40119132498489,1
60,True,True,1,1024,4,16,6.443780189580056,False,DLMT,True,8,1,256,False,10,8,1,3,1,8,0.004275301158982722,6.446429999999999,True,4,1,1024,6.449079810419943,4
61,True,False,256,1,2,32,6.42485704170602,False,DLMT,True,1,23,256,False,10,1024,6,1,2,8,0.0010809352432036958,6.425527000000001,True,64,1024,1024,6.426196958293981,2048
62,False,False,1,2,1,4,5.838223687782296,False,DLMT,False,1,16,1,True,10,1,1,17,8,4,7.794870107968886e-05,5.838272,True,8,4,1,5.838320312217704,64
63,False,True,2,256,2,16,4.566388355323462,False,DLMT,True,4,1,4,False,10,512,1,11,4,1,0.00017367786272281402,4.566495999999999,True,1,8,16,4.566603644676536,16
64,False,False,512,16,32,4,5.998715588947838,False,DLMT,False,29,1,2048,False,10,1,1,11,4,16,0.00011844407963250643,5.998789,True,8,16,16,5.998862411052163,64
65,True,True,128,256,16,1,7.063817624682815,False,DLMT,True,1,12,64,True,10,128,1,17,4,4,0.0026821372075267755,7.065479999999999,True,1,64,32,7.067142375317183,1
66,False,True,2,256,1,4,6.517704029827523,False,DLMT,False,1,11,2048,False,10,128,1,8,1,32,0.00011773274820545337,6.517777,True,2048,16,1,6.517849970172477,256
67,True,False,1,1,8,4,5.830270833756111,False,DLMT,True,1,30,256,True,10,16,1,22,4,32,0.002836689796223674,5.8320289999999995,True,256,32,8,5.833787166243888,32
68,True,False,256,2048,8,1,5.851465131161024,False,DLMT,True,9,1,64,True,10,2048,7,1,4,2,0.0028571846282660265,5.853236000000001,True,4,8,32,5.855006868838977,32
69,False,False,16,512,4,16,5.829118832677974,False,DLMT,False,1,11,1,False,10,16,1,9,4,8,0.0001180508365069595,5.829192,True,16,2,8,5.829265167322026,16
70,True,True,1,1,16,4,5.998753755617722,False,DLMT,True,1,9,2048,True,10,1,1,12,32,2,0.02265949814095629,6.012798000000001,True,4,16,2048,6.02684224438228,2048
71,False,True,1,1,32,2,8.898112225201723,False,DLMT,False,1,7,4,True,10,8,17,1,8,16,0.00016420718620077827,8.898214,True,4,2,2,8.898315774798276,1
72,False,False,4,32,2,8,5.8383547491077135,False,DLMT,False,1,1,2,True,10,4,1,21,32,2,0.00012947972814306686,5.8384350000000005,True,1,2048,8,5.8385152508922875,1
73,True,True,1024,1,2,8,9.241715206122338,False,DLMT,False,1,21,2,True,10,2048,6,1,4,32,0.002773164978864419,9.243433999999999,True,2,1,128,9.24515279387766,2048
74,True,True,16,128,4,4,5.095906203308151,False,DLMT,True,12,1,2048,True,10,1024,2,1,1,16,0.000169082819943479,5.096011,True,1024,2,2,5.096115796691849,2
75,False,False,1024,1024,8,16,4.56192216401986,False,DLMT,False,1,1,1,False,10,1024,1,22,4,1,6.588626564006219e-05,4.561963,True,1024,4,16,4.562003835980141,2048
76,True,True,128,128,16,1,4.374717758040792,False,DLMT,True,1,9,2048,False,10,2048,30,1,1,2,0.00024079244174188895,4.374867,True,1,8,4,4.375016241959208,1
77,False,False,2,2048,32,1,5.937036944189344,False,DLMT,True,17,1,256,True,10,512,1,24,1,32,0.00015175308893050792,5.937131,True,128,2048,1,5.937225055810656,1
78,False,True,4,2048,32,1,4.470108273747531,False,DLMT,False,1,10,256,True,10,1,15,1,1,8,0.0001124988888832799,4.470178000000001,True,1,32,32,4.47024772625247,32
79,True,False,4,512,16,1,5.8993094435923235,False,DLMT,False,4,1,128,True,10,512,6,1,2,1,0.0016272418382035567,5.900318,True,32,1,2,5.901326556407677,256
80,False,True,1,2048,8,2,5.93410782498458,False,DLMT,False,30,1,32,True,10,1024,1,24,16,4,0.00013419761547796754,5.934191,True,4,512,256,5.93427417501542,2048
81,False,True,8,16,1,1,4.48248082503337,False,DLMT,True,1,23,2,True,10,8,1,30,4,16,0.0004117086348378662,4.482736,True,2,2,8,4.48299117496663,512
82,True,True,512,2048,16,8,8.484876609533995,False,DLMT,True,29,1,2048,False,10,1024,8,1,8,16,0.09070480971260549,8.541094999999999,True,1024,128,8,8.597313390466002,1
83,True,True,1024,256,8,16,6.370203230182103,False,DLMT,False,1,19,1,True,10,1024,1,22,8,16,0.0036960119047428357,6.3724940000000005,True,64,8,16,6.374784769817898,64
84,False,True,32,128,4,4,5.839293392691309,False,DLMT,True,1,12,8,True,10,512,1,22,2,8,0.00013328165665234528,5.839376,True,2,2048,32,5.83945860730869,1
85,False,False,32,2048,4,32,4.465303043970643,False,DLMT,True,1,15,32,False,10,1,1,30,1,32,0.00013223085872822554,4.4653849999999995,True,2,2,2048,4.465466956029356,4
86,True,False,512,1,16,1,6.643202700546866,False,DLMT,False,14,1,1,True,10,1,30,1,32,4,0.02239498338914311,6.657083,True,2,1024,256,6.670963299453134,2048
87,True,True,2,64,2,16,6.8092913483051865,False,DLMT,False,1,19,2048,False,10,512,21,1,4,2,0.0028406999137536248,6.811051999999999,True,32,32,8,6.812812651694812,64
88,True,False,256,2048,1,1,7.7425835347718746,False,DLMT,False,29,1,1024,True,10,512,23,1,8,16,0.005352519873853807,7.745901000000001,True,128,2,8,7.749218465228127,4
89,False,True,512,16,8,2,6.453569406817527,False,DLMT,False,4,1,32,True,10,2048,1,6,16,4,0.0003994759066576912,6.453816999999999,True,32,512,8,6.454064593182471,512
90,False,True,64,512,16,1,4.5899762994380575,False,DLMT,False,25,1,256,False,10,2048,1,13,16,1,5.1146847410186294e-05,4.590008,True,16,1,64,4.590039700561943,4
91,False,True,2,8,8,1,4.556522758681907,False,DLMT,True,5,1,1024,True,10,256,11,1,1,32,0.00012946428078821484,4.556603,True,32,64,4,4.556683241318093,1
92,False,False,2,16,2,2,7.0558275629679414,False,DLMT,True,23,1,1024,False,10,1024,1,9,32,1,0.0002830565314560746,7.056003,True,4,512,16,7.056178437032058,2048
93,False,False,64,16,1,4,4.515957077076215,False,DLMT,True,5,1,2048,False,10,128,10,1,2,16,0.00013379088160270293,4.51604,True,2048,2,8,4.516122922923786,8
94,True,False,16,32,8,4,6.5945794304355285,False,DLMT,False,14,1,2048,True,10,256,21,1,16,8,0.011583780427822448,6.6017589999999995,True,1,8,16,6.6089385695644705,32
95,False,False,2,1,2,1,4.711686967457339,False,DLMT,True,1,29,1024,False,10,1,19,1,2,32,0.0003888907301544332,4.711927999999999,True,16,32,64,4.712169032542658,512
96,True,True,4,128,2,4,6.959250085076253,False,DLMT,False,1,30,512,True,10,4,24,1,32,4,0.022310464271278523,6.973077999999999,True,2,8,1,6.986905914923746,2048
97,False,False,32,2048,1,8,6.121421719593338,False,DLMT,False,6,1,256,True,10,128,5,1,16,1,0.00010693923508249294,6.121488,True,8,2048,2048,6.121554280406663,2048
