id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
119,2048,1024,512,0.13436543484061714,8,256,128,256,RS,False,True,False,True,False,28,8,35,0.13439787944509718,4.896642748259192e-05,1,8,4,True,0.13438165714285716,1
120,1,512,1,0.12085174300855445,8,128,512,32,RS,False,True,False,False,True,8,1,35,0.12088877127715983,5.5884238952188706e-05,14,28,1,True,0.12087025714285714,8
121,1,64,512,0.09465334792491836,1,16,1,64,RS,True,False,True,False,True,14,8,35,0.09468114921793877,4.1958594361778457e-05,24,27,1,True,0.09466724857142857,8
122,256,512,512,inf,32,32,128,256,RS,True,False,True,True,True,11,1,1,inf,inf,16,24,1,False,inf,1
123,2048,512,2048,0.09680331549974662,1,16,512,64,RS,False,False,True,True,True,10,1,35,0.09682539307168193,3.332017272170247e-05,1,16,28,True,0.09681435428571428,8
124,128,256,1024,0.1475494427160294,8,512,1,1,RS,False,True,False,False,True,30,8,35,0.14783381442682772,0.0004291828172378813,1,15,19,True,0.14769162857142856,1
125,64,2048,1,0.23198467662783573,1,256,32,64,RS,False,True,True,False,True,1,1,35,0.23201869480073578,5.134130691673751e-05,27,21,1,True,0.23200168571428575,1
126,64,256,512,0.302505849003863,1,128,32,16,RS,False,True,False,True,True,5,1,35,0.30256409385327976,8.790497652556228e-05,4,30,1,True,0.3025349714285714,1
127,1,128,1024,0.20956083021196223,1,128,1,64,RS,False,True,False,False,False,6,32,35,0.20959202693089488,4.708307898311965e-05,29,5,1,True,0.20957642857142855,1
128,128,512,64,0.21231215855958144,1,64,1,64,RS,False,True,True,True,True,14,1,35,0.21259852715470426,0.0004321965784790292,14,1,27,True,0.21245534285714285,32
129,64,512,1,0.11561789155750377,1,16,128,32,RS,False,True,True,False,True,30,1,35,0.11565010844249626,4.8622745999906844e-05,7,1,28,True,0.11563400000000001,8
130,1024,1,2048,0.24754792294928826,1,256,512,1,RS,True,True,True,True,True,8,1,35,0.24796539133642606,0.0006300565481586155,1,25,13,True,0.24775665714285716,32
131,512,128,2048,0.16078958604690424,1,64,64,256,RS,True,True,False,True,False,1,8,35,0.1608446425245243,8.309298455123829e-05,1,12,22,True,0.16081711428571427,1
132,512,256,1024,0.10156376168889018,8,32,64,16,RS,False,True,True,False,True,22,1,35,0.10162635259682411,9.44641860652997e-05,15,14,1,True,0.10159505714285715,8
133,2048,1024,2048,0.09523633282898868,8,64,32,64,RS,True,True,True,True,True,14,1,35,0.09525838145672559,3.327648921827362e-05,26,8,1,True,0.09524735714285713,8
134,2048,1024,512,0.2574821839877002,1,16,16,16,RS,False,False,True,True,False,18,1,35,0.257503873155157,3.273398034745349e-05,18,1,24,True,0.2574930285714286,32
135,1,2048,1024,0.13798353211253245,1,512,32,128,RS,False,False,False,False,False,21,1,35,0.13810623931603905,0.0001851936085642844,1,22,16,True,0.13804488571428575,1
136,64,128,1024,0.20485191221795992,1,32,16,1,RS,False,False,True,True,False,12,1,35,0.20498123063918297,0.00019517146830624627,16,1,30,True,0.20491657142857145,1
137,1,64,128,0.16098942096364205,1,16,32,64,RS,True,True,False,False,True,20,8,35,0.16123463617921507,0.0003700865910810034,1,10,9,True,0.16111202857142856,1
138,128,512,2048,0.19165321370210406,8,16,128,128,RS,True,True,False,False,True,21,1,35,0.19170867201218159,8.369944285772647e-05,2,26,1,True,0.19168094285714282,1
139,256,1024,64,0.18253571729688897,1,16,256,32,RS,True,True,True,False,False,21,8,35,0.18269079698882532,0.000234051196213519,24,1,19,True,0.18261325714285714,1
140,256,64,1,0.10477418487623139,1,256,64,256,RS,False,True,True,False,False,12,8,35,0.10479650083805434,3.367995831109058e-05,26,5,1,True,0.10478534285714286,8
141,2048,1024,256,0.09335641434622936,1,256,32,32,RS,False,False,False,False,True,3,8,35,0.09338721993948491,4.64927796895964e-05,1,5,27,True,0.09337181714285714,8
142,2048,64,1,0.2642416728880258,8,128,64,128,RS,True,True,True,False,False,11,1,35,0.2645455842548313,0.00045867268663981876,1,23,30,True,0.26439362857142856,1
143,1,64,1,0.17760409345868416,32,16,1,32,RS,True,True,False,True,False,16,1,35,0.17765104939845877,7.086739557160376e-05,13,1,10,True,0.17762757142857147,1
144,1,1024,128,0.12492943309448387,1,64,16,64,RS,False,True,True,False,False,20,8,35,0.12495908119123042,4.4745849197531256e-05,24,1,14,True,0.12494425714285715,1
145,2048,2048,256,0.25139503311451616,8,1,32,128,RS,False,True,False,False,True,7,8,35,0.2514689097426266,0.00011149695337651272,17,28,1,True,0.2514319714285714,1
146,256,1,2048,0.13972496539203652,8,512,64,128,RS,True,False,False,True,False,10,1,35,0.13982869175082066,0.0001565471149005094,10,1,21,True,0.1397768285714286,1
147,1024,256,512,0.12974089628591703,1,128,128,64,RS,False,False,True,False,True,10,8,35,0.12984281799979727,0.0001538234874982452,1,24,5,True,0.12979185714285715,1
148,2048,256,256,0.27074691215849334,8,256,128,16,RS,False,False,True,False,True,5,1,35,0.2707930306986496,6.960356547283363e-05,24,21,1,True,0.27076997142857145,1
149,1,256,64,0.10377501508505364,1,1,32,512,RS,False,False,True,False,False,9,1,35,0.10380161348637491,4.014315200705123e-05,5,28,1,True,0.10378831428571428,8
150,1024,64,256,0.2065722995386429,1,128,16,32,RS,True,False,False,True,True,29,1,35,0.20671581474707137,0.00021659771042941588,8,21,1,True,0.20664405714285713,32
151,2048,1024,1024,0.13412398811911616,8,16,16,256,RS,False,False,False,False,True,17,8,35,0.13414761188088384,3.565373152179972e-05,16,1,4,True,0.1341358,1
152,128,512,1024,inf,1,16,256,128,RS,True,False,False,True,True,25,32,1,inf,inf,10,1,27,False,inf,1
153,1,1024,64,0.2021543212415524,8,16,1,32,RS,False,True,True,True,False,18,1,35,0.20223030732987615,0.00011468061772432149,16,27,1,True,0.20219231428571427,1
154,2048,128,2048,0.2893885242074265,1,16,1,16,RS,True,True,True,True,True,15,1,35,0.2894319329354306,6.551383091238427e-05,1,24,6,True,0.28941022857142856,1
155,2048,512,1024,0.10307869497004894,1,64,32,1,RS,False,False,True,False,False,29,1,35,0.10310410502995106,3.834966939697338e-05,1,1,21,True,0.1030914,8
156,2048,2048,1,0.20504353011386667,8,16,1,128,RS,False,True,True,True,False,20,8,35,0.2050734984575619,4.5229176063100605e-05,25,17,1,True,0.20505851428571428,1
157,64,2048,1,0.20327374602860085,8,128,128,64,RS,True,True,False,True,True,23,8,35,0.20331996825711338,6.976005523307989e-05,16,1,1,True,0.2032968571428571,1
158,2048,1,1024,0.21822102234332752,8,1,128,16,RS,True,True,False,False,True,29,1,35,0.218413206228101,0.00029005002242751793,1,2,11,True,0.21831711428571426,1
159,256,1,1024,0.11423231278539366,8,64,1,256,RS,False,False,False,False,False,2,1,35,0.11429683007174919,9.737153755862463e-05,4,1,6,True,0.11426457142857142,8
160,1024,1024,256,0.25193428555389624,1,256,1,256,RS,False,True,False,True,False,2,8,35,0.2519690287318181,5.243550752095145e-05,4,4,1,True,0.25195165714285717,1
161,2048,64,512,inf,32,64,32,32,RS,False,False,True,True,True,27,1,1,inf,inf,26,1,24,False,inf,1
162,64,1,1024,0.17768461230436905,1,512,32,32,RS,True,True,True,False,False,17,32,35,0.17771081626705948,3.9547852698489406e-05,8,29,1,True,0.17769771428571426,1
163,256,2048,1,0.1190197914479575,8,256,512,128,RS,True,False,False,False,False,18,8,35,0.11907300855204249,8.031694359580413e-05,13,1,18,True,0.1190464,1
164,128,64,512,0.12384497969527127,8,64,32,64,RS,True,False,False,True,False,22,1,35,0.12389524887615729,7.586784428147615e-05,20,24,1,True,0.12387011428571428,8
165,1,256,128,0.0976563914654226,1,16,16,256,RS,False,False,False,False,True,19,8,35,0.09769771139172026,6.236134503923e-05,1,28,2,True,0.09767705142857143,8
166,2048,1,256,0.15458437275630735,1,32,16,64,RS,False,True,True,False,False,11,32,35,0.15485185581512126,0.0004036939272998494,1,21,11,True,0.1547181142857143,1
167,64,512,2048,inf,32,256,64,32,RS,False,True,True,True,True,12,1,1,inf,inf,1,12,26,False,inf,1
168,256,128,1024,0.27057415536945273,8,128,128,16,RS,False,True,True,False,True,6,1,35,0.27059167320197586,2.643846918906218e-05,1,23,1,True,0.2705829142857143,1
169,128,512,512,0.14138146982713234,1,64,64,16,RS,False,False,False,False,False,4,32,35,0.14159721588715335,0.0003256108056172167,16,1,12,True,0.14148934285714285,1
170,64,2048,1,0.10764689566011058,1,512,16,64,RS,True,True,True,True,True,6,1,35,0.10766624719703229,2.9205954103607205e-05,1,28,2,True,0.10765657142857143,8
