id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
17,1,32,1,1,128,16,1,512,1,0.10063438723149644,32,16,1,RS,1,True,True,False,1,2048,False,1,15,18,2048,32,35,1024,5,2,0.10066362857142856,1,False,8.826391779019068e-05,True,0.10069286991136069
18,1,1,128,1,16,32,1,1,5,0.13263273625265243,1,128,64,RS,1,False,True,True,128,2048,True,29,1,25,256,1,35,64,12,1,0.13316499999999998,1,False,0.0016066187030975535,True,0.13369726374734753
19,32,1,2048,1,16,32,64,256,24,0.10551718961865968,16,16,512,RS,8,True,False,True,2048,2048,True,1,10,3,2048,1,35,1,1,22,0.10707960000000001,1,False,0.004716078735559871,True,0.10864201038134035
20,1,32,512,1,1,256,1,1024,17,0.19704588508235987,32,256,1,RS,1,True,False,False,64,256,True,25,21,1,128,1,35,1,1,30,0.1978556,32,True,0.0024440949385348006,True,0.1986653149176401
21,1,1,512,8,64,32,64,512,1,0.2082644709449672,64,1,512,RS,1,True,False,False,512,2048,True,9,26,1,2048,1,35,1,21,18,0.2094526857142857,1,False,0.003586582932234515,True,0.21064090048360423
22,1,8,1,8,32,1,1,1,1,0.2013773382785612,256,64,1,RS,8,True,False,False,256,64,False,21,1,28,1,8,35,64,14,10,0.20145120000000002,1,False,0.00022294891150857185,True,0.20152506172143886
23,1,1,64,8,512,64,1,128,28,0.1725646128894893,128,1,256,RS,1,False,False,True,1,512,False,4,26,1,512,8,35,128,1,10,0.17371502857142856,8,True,0.0034724877659824773,True,0.17486544425336784
24,1,1,512,1,64,512,16,2048,1,0.1677925424043044,32,16,64,RS,1,False,True,False,512,512,True,5,21,1,1,1,35,128,26,27,0.17060208571428573,1,True,0.008480503982232015,True,0.17341162902426704
25,1,32,128,1,256,128,128,128,1,0.09444132256067098,1,16,128,RS,1,True,True,False,128,512,True,1,1,9,1024,1,35,1,23,8,0.09816165428571429,32,False,0.011229685585328683,True,0.1018819860107576
26,1,8,1,8,16,1,64,2048,3,0.2141949823162015,512,16,256,RS,1,False,True,False,2048,1024,False,7,12,1,1,8,35,256,1,30,0.21655125714285714,8,True,0.007112329601645933,True,0.2189075319695128
27,8,8,512,1,128,128,512,256,22,0.14954376594895588,64,16,128,RS,8,False,True,True,1024,1,False,1,7,10,1,1,35,1,12,1,0.1496348857142857,1,False,0.00027504168737832886,True,0.14972600547961554
28,1,8,128,1,64,1,64,1,1,inf,512,16,16,RS,1,True,False,True,512,64,True,15,1,20,128,1,1,1,19,30,inf,32,False,inf,False,inf
29,32,1,2048,1,256,256,256,2048,4,0.13673888189419928,1,256,16,RS,8,False,True,False,2048,64,True,14,1,5,512,1,35,512,27,1,0.1383378285714286,8,False,0.004826362211768164,True,0.1399367752486579
30,8,1,256,8,64,64,512,128,3,0.15927681059810622,64,128,1,RS,32,False,True,True,512,1024,False,2,24,1,1,1,35,2048,18,1,0.16107477142857143,1,True,0.005427079172792223,True,0.16287273225903665
31,1,1,256,1,256,32,64,128,15,0.27526621484576697,512,32,16,RS,1,False,False,False,2048,64,True,28,30,1,2048,1,35,512,1,19,0.2775540571428571,1,True,0.006905768507736772,True,0.2798418994399472
32,32,1,256,1,64,64,1,2048,1,0.16566315556014508,32,1,1,RS,1,True,True,True,256,64,False,20,1,24,1024,8,35,512,5,29,0.1661446285714286,1,True,0.0014533087192573316,True,0.1666261015827121
33,1,8,128,8,1,64,64,256,1,0.15213051721400583,128,128,16,RS,8,False,False,False,128,256,False,1,1,25,128,1,35,64,30,11,0.1522276285714286,8,False,0.0002931270895230353,True,0.15232473992885137
34,1,1,2048,8,16,64,128,2048,5,0.08974239781230456,32,16,512,RS,1,False,False,False,64,1,True,19,17,1,64,8,35,2048,14,1,0.09346706285714286,8,True,0.011242765553039893,True,0.09719172790198116
35,1,8,1024,1,256,32,1,256,27,0.13947546905683536,16,512,32,RS,8,True,False,False,256,1,True,25,1,23,2048,8,35,256,1,2,0.14055402857142857,1,True,0.0032555925463354763,True,0.14163258808602178
36,1,1,512,1,16,16,32,2048,1,0.1467684377874025,512,128,256,RS,8,False,False,True,1,1,False,29,1,6,128,1,35,64,30,26,0.14680568571428573,1,False,0.00011243150840237236,True,0.14684293364116896
37,8,1,1,1,16,64,512,1,19,0.08237962690083156,16,1,64,RS,8,True,False,True,1,1024,True,11,1,13,1,1,35,512,1,6,0.08506649428571429,8,False,0.008110211177836876,True,0.08775336167059702
38,32,1,1024,1,256,1,32,256,9,0.07229630712481075,16,64,64,RS,1,True,True,False,1,64,True,1,23,14,1,1,35,512,1,13,0.07346742857142859,1,False,0.0035349873612682877,True,0.07463855001804642
39,1,1,512,8,16,512,64,2048,2,0.1318011548358296,128,16,256,RS,8,True,True,False,512,2048,False,7,30,1,256,1,35,256,1,10,0.13185091428571427,8,False,0.0001501970841315907,True,0.13190067373559894
40,8,8,1024,1,128,1,16,128,1,0.13692130872291186,64,16,32,RS,1,False,True,True,512,1,True,30,1,20,2048,8,35,64,21,24,0.13807005714285714,1,False,0.0034674551964793787,True,0.13921880556280242
41,8,1,256,1,64,128,32,512,11,0.15774277040865875,16,32,16,RS,1,False,True,False,256,1,False,20,15,1,1,8,35,1024,1,1,0.15778440000000002,8,False,0.00012565740271524827,True,0.1578260295913413
42,1,32,1,1,128,64,16,128,6,0.10495822891792299,16,512,512,RS,1,False,False,True,64,2048,True,1,28,30,1024,8,35,1,5,1,0.10641820000000002,1,False,0.004406869447967406,True,0.10787817108207705
43,1,1,1,1,256,512,64,1024,12,0.17031199443446673,128,512,128,RS,1,False,False,True,512,1,True,1,28,13,2048,1,35,1,1,12,0.17297854285714284,8,False,0.008048879131701178,True,0.17564509127981895
