id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
65,True,35,0.12106688034569657,1,1,256,64,26,6,1,RS,29,512,1024,128,0.12101580536858914,7.708397752994339e-05,8,0.12104134285714285,1
66,True,35,0.1268933794466678,8,32,512,32,8,1,2,RS,15,1024,2048,64,0.12683084912476078,9.437274770930481e-05,8,0.12686211428571428,1
67,True,35,0.22509611336407453,1,16,128,256,10,5,1,RS,14,512,128,512,0.22507280092163978,3.5183878497438686e-05,1,0.22508445714285716,8
68,True,35,0.24530121498065913,8,512,1,16,1,16,29,RS,22,512,2048,512,0.24481861359076948,0.000728357344457025,1,0.2450599142857143,1
69,True,35,0.23461682461185085,1,64,64,64,28,2,1,RS,7,256,128,64,0.23441563253100622,0.00030364547802747216,1,0.23451622857142854,8
70,True,35,0.11754145886473255,1,1,32,32,4,14,1,RS,18,2048,512,512,0.11734842684955313,0.00029133004777175657,8,0.11744494285714284,8
71,True,35,0.11989053033552204,1,16,128,1,13,22,1,RS,13,256,256,1,0.11973232680733507,0.00023876578909219065,8,0.11981142857142855,1
72,True,35,0.2225003960997162,32,256,16,32,30,1,29,RS,30,64,2048,512,0.22229520390028376,0.00030968258403911376,1,0.22239779999999998,1
73,True,35,0.1202570575770949,1,16,32,64,27,5,1,RS,12,64,64,1024,0.1202303138514765,4.03624800516312e-05,8,0.1202436857142857,1
74,True,35,0.1570513739471994,8,256,256,64,9,1,22,RS,10,512,256,2048,0.15690348319565775,0.0002232014190577379,1,0.15697742857142857,1
75,True,35,0.15928981770432732,1,32,16,1,24,1,5,RS,29,2048,2048,1024,0.1592617251528155,4.239817092704574e-05,1,0.1592757714285714,1
76,True,35,0.11357087677703058,8,256,512,256,1,8,9,RS,13,1,2048,1024,0.11338935179439798,0.00027396326880270124,8,0.11348011428571428,1
77,True,35,0.27587794795875054,1,256,16,256,28,1,19,RS,3,1,2048,512,0.27564993775553515,0.0003441202400206048,32,0.27576394285714284,1
78,True,35,0.20054831463519393,1,256,16,16,1,16,28,RS,25,1,1024,2048,0.2002336853648061,0.00047484848711382144,1,0.200391,8
79,True,35,0.3184344103521744,1,64,64,64,14,26,1,RS,3,2048,256,512,0.31804204679068276,0.0005921675479946183,32,0.3182382285714286,1
