id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
58,10,0.09934182643056802,0.08300787356943198,8,1,0.09117485,False,RS,2,64,True,4,32,True,False,0.013176898821213588,1024,False,16
59,10,0.09147355330656143,0.05921506669343857,27,1,0.07534431,False,RS,8,2048,True,1,8,True,True,0.026023511751277918,64,False,8
60,10,0.20190073084375848,0.20183826915624148,1,13,0.20186949999999998,False,RS,8,32,True,8,1,False,True,5.038898689197433e-05,512,False,1
61,10,0.19733764604002976,0.19728735395997019,1,11,0.19731249999999997,False,RS,16,32,True,16,4,False,True,4.057154175033972e-05,32,False,4
62,10,0.1483670203092057,0.14810197969079428,22,1,0.1482345,False,RS,32,512,True,2,512,False,True,0.0002138131193355568,16,True,2
63,10,0.09504860898130506,0.07463119101869493,24,1,0.0848399,False,RS,1,1,True,32,4,True,False,0.016471104880183354,1,True,4
64,10,0.1055419598767204,0.10548664012327959,1,15,0.10551429999999999,False,RS,8,2048,True,256,256,False,True,4.4627457915502166e-05,2048,False,1
65,10,0.09774877137160981,0.052661808628390205,25,1,0.07520529000000001,False,RS,2,2048,True,8,2,True,True,0.03637247831397937,64,True,32
66,10,0.101085076370234,0.05887392362976601,28,1,0.07997950000000001,False,RS,2,2048,True,32,16,True,False,0.03405250973335151,2048,True,2
67,10,0.2332815905527632,0.23299600944723686,1,1,0.23313880000000003,False,RS,4,1,True,2,128,False,True,0.00023038350635408233,128,True,16
68,10,0.20686252525476065,0.2053466747452394,28,1,0.20610460000000003,False,RS,1,1,True,512,256,False,False,0.0012228643587904602,2048,False,16
69,10,0.0933973229380704,0.0829501570619296,1,8,0.08817374,False,RS,1,32,True,4,16,True,False,0.008427919982913935,512,True,16
70,10,0.4131744833076597,0.41305851669234017,30,1,0.41311649999999994,False,RS,2,256,True,4,32,False,True,9.355239173853468e-05,512,True,32
71,10,0.09633957828664413,0.08285474171335588,1,17,0.08959716000000001,False,RS,16,128,True,1,1,True,False,0.010878464549117213,64,False,8
72,10,0.07389299598912674,0.046052744010873246,1,17,0.05997286999999999,False,RS,8,1,True,2,1024,True,True,0.022459240980632005,16,True,2
73,10,0.1134541193324941,0.11342628066750594,14,1,0.11344020000000002,False,RS,2,8,True,128,1,False,True,2.245796072665755e-05,2048,True,32
74,10,0.09232630370939629,0.06492545629060373,1,10,0.07862588000000001,False,RS,2,512,True,4,256,True,True,0.02210476527773141,4,False,16
75,10,0.09817041962613676,0.07581356037386322,1,13,0.08699198999999999,False,RS,32,16,True,16,16,True,True,0.018035687676573358,64,True,1
76,10,0.11792289861753967,0.0829756813824603,1,19,0.10044928999999998,False,RS,1,512,True,2,32,True,True,0.028192559970298896,128,True,16
77,10,0.10047964930146197,0.07607851069853802,1,26,0.08827908,False,RS,8,256,True,2,2,True,True,0.019684845256176132,256,False,1
78,10,0.34978292259306254,0.34955827740693746,1,21,0.3496706,False,RS,2,256,True,64,128,False,False,0.00018122538453538357,1,True,32
79,10,0.08185353243806485,0.05413236756193514,26,1,0.06799295,False,RS,16,1024,True,32,256,True,False,0.02236317123505743,1024,False,8
80,10,0.10197188722933295,0.07889373277066705,25,1,0.09043281,False,RS,4,32,True,2,2,True,False,0.018617569725313234,1,True,16
81,10,0.1498930004153665,0.14988019958463347,25,1,0.14988659999999998,False,RS,1,2048,True,256,1024,False,True,1.0326664514733649e-05,2048,True,8
82,10,0.09419496287965703,0.06798961712034296,3,1,0.08109229,False,RS,8,512,True,4,8,True,False,0.02114033220133733,32,True,8
83,10,0.14860311672500978,0.14682008327499022,23,1,0.1477116,False,RS,1,256,True,64,1,False,False,0.001438405728575915,64,True,8
84,10,0.4669306481536001,0.46683355184639985,1,25,0.46688209999999997,False,RS,8,128,True,2,8,False,False,7.832936869399385e-05,8,True,16
85,10,0.08694655590176299,0.07063274409823704,1,26,0.07878965000000002,False,RS,1,64,True,4,4,True,False,0.013160650661289509,4,False,16
86,10,0.4854165621677414,0.4853176378322587,1,14,0.48536710000000005,False,RS,2,2048,True,4,256,False,False,7.980407257778207e-05,256,True,4
87,10,0.11804407248805442,0.06653956751194558,1,15,0.09229182,False,RS,2,1024,True,32,4,True,True,0.04154962712802126,1,True,32
88,10,0.12154620724968791,0.12151479275031206,1,3,0.12153049999999999,False,RS,4,2048,True,128,512,False,False,2.5342651794945462e-05,512,True,4
89,10,0.18351699774293695,0.18338580225706302,1,12,0.1834514,False,RS,8,1,True,8,32,False,True,0.00010583780043065948,8,False,1
90,10,0.20104548769033667,0.2009755123096633,18,1,0.20101049999999998,False,RS,1,128,True,4,32,False,True,5.6450420724737184e-05,8,False,2
