id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
22,2048,2048,64,0.09011853336920203,8,False,512,1,DLMT,False,True,True,False,False,28,1,1,35,8,10,1,29,3.312824751889875e-05,True,0.09012950857142858,0.09014048377365513
23,1,2048,2048,0.3022025257292963,1,False,1,32,DLMT,False,False,True,False,True,3,1,16,35,1,11,1,22,0.000191077319535353,True,0.3022658285714286,0.3023291314135609
24,1024,512,2048,0.2453457142179295,1,False,512,512,DLMT,True,True,False,False,True,27,8,32,35,1,19,1,29,0.0005030487102636853,True,0.24551237142857138,0.24567902863921326
25,1,1,256,0.556050770376848,1,False,512,16,DLMT,False,True,False,True,True,5,1,16,35,32,29,1,27,9.021211285699817e-05,True,0.5560806571428571,0.5561105439088663
26,2048,64,2048,0.29581798696160405,1,False,32,512,DLMT,False,False,False,True,False,19,1,1,35,32,1,15,30,0.00023720434658921542,True,0.2958965714285714,0.29597515589553874
27,256,2048,256,inf,32,False,32,32,DLMT,True,True,True,False,True,30,1,1,1,1,18,27,1,inf,False,inf,inf
28,2048,1,512,0.1097296545860556,1,False,32,128,DLMT,False,False,False,False,True,14,8,512,35,8,30,1,14,3.096852912100197e-05,True,0.10973991428571428,0.10975017398537296
29,1,1,512,0.16473615278521384,1,False,64,512,DLMT,True,False,True,False,False,19,32,256,35,1,11,13,1,0.00017504091649948387,True,0.16479414285714286,0.1648521329290719
30,512,1,1,inf,32,False,128,16,DLMT,False,False,True,True,True,11,1,256,1,1,18,1,29,inf,False,inf,inf
31,1,512,2048,0.1999278943179582,32,False,512,512,DLMT,False,False,True,True,False,26,1,512,35,1,1,2,10,4.171506848580733e-05,True,0.19994171428571428,0.19995553425347035
32,1,1,128,0.2473889005141537,1,False,1,1,DLMT,True,True,True,False,True,27,1,32,35,32,1,9,4,0.0002573871442803947,True,0.24747417142857142,0.24755944234298916
33,256,1,1,0.19502469189202326,8,False,512,256,DLMT,True,True,False,False,True,2,1,16,35,1,4,2,1,4.922542896859904e-05,True,0.19504100000000002,0.19505730810797678
34,1,128,2048,0.11535624201236146,1,False,128,32,DLMT,False,True,True,False,True,16,1,512,35,8,29,29,1,3.152393324677206e-05,True,0.1153666857142857,0.11537712941620994
35,1024,1024,1,0.22564494893272496,1,False,256,16,DLMT,False,True,True,True,False,13,1,64,35,1,1,11,1,5.8022402429348764e-05,True,0.22566417142857143,0.22568339392441789
36,2048,256,1,0.10808473656571553,8,False,64,256,DLMT,False,True,True,True,False,1,8,64,35,1,17,1,15,5.0642935724298326e-05,True,0.10810151428571427,0.108118292005713
37,64,1024,1,inf,1,False,64,1,DLMT,True,True,False,True,True,17,32,512,1,1,13,14,1,inf,False,inf,inf
38,1,2048,1,0.10116932763308124,1,False,128,256,DLMT,False,True,True,True,False,2,8,512,35,8,1,2,8,8.292433728577969e-05,True,0.1011968,0.10122427236691876
39,1,512,512,0.17837035281159236,8,False,1,32,DLMT,True,False,False,True,True,13,8,512,35,1,1,11,2,4.852409458302134e-05,True,0.17838642857142858,0.1784025043312648
40,512,64,1024,0.1425643936243961,32,False,64,1,DLMT,True,True,False,False,False,2,1,256,35,1,13,1,13,0.0001689669596974146,True,0.14262037142857145,0.1426763492327468
