id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
58,True,True,8,128,4,8,7.557737241752999,False,RS,True,20,1,2048,False,10,8,1,25,2,16,0.0013920057471146132,7.5586,True,512,8,8,7.559462758247001,2048
59,False,True,4,2048,2,4,6.029945636949763,False,RS,False,6,1,512,True,10,64,21,1,1,8,0.00013934130758689217,6.030032,True,4,1,1,6.030118363050238,1024
60,False,False,2,128,16,8,7.5317130449012675,False,RS,False,29,1,64,False,10,8,1,7,8,16,0.00032422831461805527,7.531914,True,32,4,8,7.532114955098733,1024
61,False,False,2,2,32,2,6.288350762719856,False,RS,False,4,1,1024,False,10,512,25,1,8,4,0.004722911813701446,6.291278,True,64,1024,1,6.294205237280145,2048
62,True,True,1,256,16,2,7.050693974057029,False,RS,True,26,1,256,False,10,256,1,17,16,8,0.011347341582943501,7.057727,True,256,2,32,7.064760025942971,128
63,False,True,4,1024,1,16,7.512185872463511,False,RS,True,9,1,512,True,10,4,29,1,2,16,0.0004019514896104043,7.512434999999999,True,512,32,1,7.512684127536487,32
64,True,True,1024,128,16,8,5.352300758523742,False,RS,True,1,24,512,True,10,1,12,1,32,1,0.0003827740848070761,5.352538,True,1,1,8,5.352775241476258,4
65,False,True,8,1024,2,32,7.019722390714836,False,RS,False,18,1,1024,True,10,16,5,1,4,1,0.000154259521586099,7.019818000000001,True,1,64,1024,7.019913609285165,256
66,True,False,16,256,16,8,6.154331655388391,False,RS,True,11,1,1,False,10,1,1,3,1,2,0.00434554081789606,6.157024999999999,True,1024,1,32,6.1597183446116075,32
67,False,False,4,2048,4,1,5.84797167021267,False,RS,True,15,1,2048,True,10,16,1,20,8,4,0.00015542200616393072,5.8480680000000005,True,128,16,4,5.848164329787331,32
68,False,False,64,32,8,16,6.381993845333111,False,RS,False,1,9,2048,False,10,256,1,18,8,1,0.00019708881246799888,6.382116000000001,True,4,256,1,6.382238154666891,1024
69,False,True,1,1024,8,1,4.384797350679982,False,RS,True,1,27,128,False,10,32,1,1,1,2,0.0002366093827387606,4.384944,True,32,1,256,4.385090649320018,256
70,True,True,8,128,8,2,6.165207761008576,False,RS,True,24,1,1024,False,10,8,10,1,8,1,0.004150144575794824,6.16778,True,512,1,8,6.170352238991423,1
71,False,True,16,2048,1,2,4.430436279504585,False,RS,True,1,30,64,True,10,64,1,24,8,1,5.44058820349717e-05,4.430469999999999,True,2,32,32,4.4305037204954125,32
72,True,True,64,512,4,1,4.997604981362827,False,RS,False,1,14,1024,False,10,256,10,1,1,1,9.038252043397187e-05,4.997661,True,1024,256,4,4.997717018637172,256
73,True,True,8,512,2,8,5.104350941668791,False,RS,True,1,17,4,False,10,128,30,1,16,8,0.007991445676471776,5.109304,True,4,4,256,5.114257058331209,8
74,True,False,256,1,4,8,6.917652155700464,False,RS,True,1,22,2,True,10,256,2,1,16,8,0.011066310541458685,6.924511,True,1,64,16,6.931369844299535,256
75,False,True,1024,1,2,32,5.541742256468083,False,RS,False,1,10,256,False,10,1024,1,6,1,16,9.96192752433998e-05,5.541804000000001,True,32,8,1,5.541865743531918,32
76,False,True,16,1024,2,32,6.964162083288138,False,RS,True,30,1,512,True,10,16,1,8,4,4,7.892401408945637e-05,6.964211000000001,True,32,512,1,6.964259916711863,1024
77,True,True,4,32,1,32,4.699652813243674,False,RS,True,15,1,256,False,10,1,1,17,8,16,0.004156514044244189,4.702229,True,64,4,32,4.704805186756326,8
78,False,False,512,1,1,2,4.609064995611583,False,RS,True,30,1,1024,True,10,2048,1,20,2,16,0.00012424169992389202,4.609142,True,256,8,1,4.609219004388418,2048
79,False,False,2,1,2,4,5.852327189971561,False,RS,True,7,1,8,True,10,1024,19,1,2,1,8.520563361660017e-05,5.852380000000001,True,1,2048,256,5.852432810028441,1
80,True,True,4,64,2,2,5.472751679937085,False,RS,False,1,18,16,False,10,64,1,13,4,8,0.0023771085376986384,5.474225,True,8,4,8,5.475698320062914,512
81,False,False,512,512,1,8,7.439403084573139,False,RS,True,1,12,512,False,10,1,9,1,16,4,0.00031771056010149315,7.4396,True,512,256,4,7.439796915426862,2048
82,False,False,64,1,4,2,6.0167312083736295,False,RS,True,5,1,2048,True,10,256,15,1,16,1,9.162968951167666e-05,6.016788,True,2048,16,4,6.0168447916263705,512
