id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
123,1024,2048,1,6.021420665645692,1,False,8,4,DLMT,False,False,False,False,False,6,64,1,10,1,24,9,1,0.0026675501869692173,True,6.023073999999999,6.024727334354306
124,128,1024,1,inf,16,False,1024,8,DLMT,True,False,False,False,True,25,1,512,1,4,10,30,1,inf,False,inf,inf
125,128,2048,64,4.005863735965057,1,False,256,1,DLMT,False,True,True,False,True,27,2,2,10,16,1,20,19,0.0006474140869644382,True,4.006265000000001,4.006666264034945
126,1,512,1,2.2624958163267475,1,False,2,128,DLMT,True,True,False,False,False,30,1,1,10,4,1,29,12,0.0001842281194606529,True,2.26261,2.2627241836732526
127,256,1024,256,3.7850953267129452,2,False,512,32,DLMT,True,False,True,True,True,11,2,1,10,1,3,4,1,0.0036409993133754088,True,3.787352,3.7896086732870544
128,256,512,16,3.3395561139292935,32,False,64,128,DLMT,True,True,False,False,True,5,2,4,10,1,6,1,1,0.00026926009730369224,True,3.339723,3.339889886070707
129,512,2,1,4.686254879172175,2,False,2,128,DLMT,True,False,True,False,False,30,4,32,10,1,11,9,1,0.0070380054703020065,True,4.6906170000000005,4.694979120827826
130,128,8,1,inf,1,False,8,32,DLMT,True,True,True,True,False,13,64,16,1,1,30,1,29,inf,False,inf,inf
131,1024,2048,2048,2.6156210437583405,1,False,2048,1024,DLMT,False,True,False,False,True,6,8,128,10,2,1,18,23,0.00016127306036653322,True,2.615721,2.61582095624166
132,8,32,2048,3.364085320848521,4,False,16,8,DLMT,True,True,False,True,True,16,2,1,10,2,11,1,30,0.00016082599292407805,True,3.3641850000000004,3.36428467915148
133,512,1,2,3.919865447360363,16,False,2048,1,DLMT,True,True,True,True,True,16,1,1,10,1,1,19,16,0.00026065494432296225,True,3.920027,3.920188552639637
134,1,256,512,inf,1,False,4,2,DLMT,False,False,True,True,False,1,32,256,1,1,7,29,1,inf,False,inf,inf
135,2048,1,512,3.706028569450461,64,False,2,2048,DLMT,True,True,True,False,True,26,1,1,10,1,1,28,29,0.0019126170552413455,True,3.7072140000000005,3.70839943054954
136,1024,2048,1024,5.097731795907381,1,False,1,32,DLMT,True,True,False,True,True,1,1,512,10,32,27,17,1,0.0017186392873434408,True,5.098797,5.099862204092619
137,1,1,4,5.114176116839917,1,False,32,8,DLMT,True,False,True,True,True,3,1,1,10,8,2,1,21,0.000825891033974742,True,5.114687999999999,5.115199883160082
138,2048,256,512,2.5649539947490734,8,False,64,8,DLMT,False,True,True,True,False,21,1,32,10,2,13,1,23,0.0007066937101743696,True,2.565392,2.565830005250927
139,128,1,512,inf,4,False,4,64,DLMT,False,True,False,True,False,22,16,512,1,4,2,23,1,inf,False,inf,inf
140,1024,2048,8,5.154690907845767,8,False,512,4,DLMT,False,False,False,False,False,20,4,8,10,1,1,8,30,0.0009472359790464816,True,5.155278,5.155865092154233
141,256,16,2048,3.646986949363832,8,False,1,8,DLMT,False,True,True,False,True,27,8,2048,10,1,23,1,24,0.00332537456536853,True,3.6490479999999996,3.651109050636167
142,2048,1024,2048,3.2414404114349504,4,False,2,2048,DLMT,True,True,True,False,False,19,4,8,10,16,14,1,16,0.0035714848452709086,True,3.2436540000000003,3.24586758856505
143,128,2048,4,2.3094831045507735,8,False,512,128,DLMT,False,False,False,False,True,26,1,1,10,4,30,1,19,0.00011438531374261652,True,2.309554,2.3096248954492262
144,2,1,8,7.959988197421288,4,False,1024,1,DLMT,False,True,True,True,False,1,2,1,10,16,23,1,27,0.0005111408807756109,True,7.960305000000001,7.960621802578713
145,32,2048,2048,2.914440942939976,1,False,4,1,DLMT,False,True,True,False,True,22,2,256,10,1,6,1,19,0.002129828396843205,True,2.9157610000000003,2.9170810570600247
146,2048,64,64,4.085090643233292,1,False,8,2048,DLMT,True,False,True,True,False,29,2,1,10,32,6,27,1,0.0009283016751034424,True,4.085666000000001,4.08624135676671
147,2048,512,1,3.2956436156035305,1,False,512,1024,DLMT,True,False,False,False,False,20,64,512,10,1,1,23,25,0.0003281478325389132,True,3.2958469999999997,3.296050384396469
148,1024,64,16,3.856775278917018,64,False,16,512,DLMT,True,False,False,True,False,30,1,8,10,1,17,1,12,0.0004400181814425347,True,3.857048,3.8573207210829814
149,1,4,2048,3.091859062734818,1,False,2,128,DLMT,False,False,True,False,False,23,1,8,10,64,2,1,28,0.008686641525929345,True,3.0972429999999997,3.1026269372651814
150,1024,4,2,inf,2,False,1,1,DLMT,False,False,False,True,True,6,8,2,1,2,1,30,24,inf,False,inf,inf
151,256,512,1,5.979990447497663,1,False,2,1,DLMT,False,False,False,True,True,10,1,512,10,64,11,1,6,0.001791806072096014,True,5.981101000000001,5.9822115525023385
152,256,256,1,9.550312033583964,64,False,8,2,DLMT,True,False,True,True,False,3,1,2048,10,1,28,13,1,0.0008631344043657189,True,9.550847000000001,9.551381966416038
153,512,512,2048,1.9857346865308685,2,False,256,8,DLMT,False,True,True,True,True,30,1,16,10,16,9,2,1,0.0003651424379608329,True,1.985961,1.9861873134691317
154,1,4,64,2.5812657775763834,2,False,2,2048,DLMT,False,False,False,False,False,2,1,4,10,4,9,4,1,0.00010684568311354468,True,2.581332,2.581398222423617
155,16,1,512,2.2266208027727186,1,False,2048,16,DLMT,True,False,False,False,False,19,4,16,10,2,30,1,15,0.000863506803679143,True,2.227156,2.2276911972272813
156,512,256,1024,4.656311500644811,2,False,16,512,DLMT,True,False,False,True,True,2,1,8,10,1,18,29,1,0.0002283002409110038,True,4.656453000000001,4.656594499355191
157,512,1,256,2.036027344075365,16,False,64,1,DLMT,False,True,False,False,False,6,2,256,10,4,1,3,22,0.00013658696863161544,True,2.036112,2.0361966559246354
158,1024,256,1,1.640401614922914,4,False,1,256,DLMT,False,True,True,True,True,21,4,2048,10,4,1,6,30,0.0001248559169602896,True,1.6404789999999998,1.6405563850770857
159,1,1,32,3.268857270148256,2,False,32,1,DLMT,True,True,False,True,True,25,32,16,10,1,1,9,15,0.0012031878490078023,True,3.269603,3.270348729851744
160,8,64,32,3.583681809268373,1,False,1,8,DLMT,True,True,True,False,True,7,32,16,10,2,22,7,1,0.000800572295298792,True,3.584178,3.584674190731627
161,1024,128,2048,5.825909300955954,1,False,128,1024,DLMT,True,True,True,False,False,21,1,512,10,64,1,30,3,0.0007449221435828569,True,5.826371,5.826832699044046
162,16,2048,512,7.175340496023813,16,False,512,1,DLMT,False,False,False,False,False,10,1,256,10,1,2,1,1,0.0002396017529152201,True,7.175489000000002,7.17563750397619
163,32,2048,1,3.067978767711819,4,False,32,8,DLMT,True,True,False,True,True,2,4,2048,10,2,1,22,12,0.00035371740132487115,True,3.0681979999999998,3.0684172322881804
164,256,1,1024,2.4000898075076553,2,False,8,256,DLMT,True,True,False,False,True,14,1,32,10,2,29,1,14,0.00012615863030334532,True,2.400168,2.4002461924923444
