id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
80,32,1,128,False,1,16,1,16,256,5,0.1777471713500593,1,128,128,DLMT,1,False,False,False,128,128,False,13,26,1,1,1,35,1,20,1,0.18420454285714286,32,True,0.019491340313574947,True,0.19066191436422641
81,1,8,256,False,8,32,64,128,1024,2,0.2148333232950029,128,128,64,DLMT,1,True,False,False,2048,2048,False,1,29,22,1,32,35,256,1,28,0.21563162857142862,1,True,0.0024096553527804924,True,0.21642993384785433
82,8,1,2048,False,1,256,64,256,1024,8,0.15766413637423538,1,256,256,DLMT,1,False,False,True,2048,1,True,1,8,1,1024,32,35,256,1,15,0.16023991428571427,1,True,0.007774891655180536,True,0.16281569219719316
83,8,1,2048,False,8,512,1,128,64,30,0.15990054646673496,16,32,256,DLMT,8,True,False,False,128,1024,True,6,1,10,1,1,35,1,30,1,0.16138157142857143,1,True,0.004470419815924701,True,0.1628625963904079
84,32,1,2048,False,1,256,64,128,512,1,inf,1,1,512,DLMT,1,True,True,True,1024,2048,False,13,29,1,256,8,1,512,4,15,inf,8,True,inf,False,inf
85,8,1,256,False,1,16,256,128,1,1,0.14345541345109297,64,64,16,DLMT,8,False,True,True,256,512,False,29,1,30,1024,1,35,1,27,30,0.1434948285714286,1,False,0.00011897310277400174,True,0.1435342436917642
86,1,32,64,False,1,1,512,32,1,29,0.09642246228933579,512,16,1,DLMT,1,False,False,True,1,2048,True,3,29,1,64,1,35,1024,1,12,0.10080849428571428,8,True,0.013239077567995285,True,0.10519452628209278
87,1,1,1,True,1,1,1,1,1,1,0.05220761137616666,1,1,1,DLMT,1,False,False,False,1,1,False,1,1,1,1,1,35,1,1,1,0.05221747714285714,1,False,2.9779456828148312e-05,True,0.05222734290954762
88,32,1,1,False,1,32,128,16,512,18,0.13530970752376467,1,128,1,DLMT,1,False,False,True,256,512,True,29,1,2,256,1,35,256,1,30,0.13736968571428573,1,False,0.006217969015092713,True,0.1394296639048068
89,8,8,1,False,1,32,64,256,2048,18,0.09931945966380645,1,16,1,DLMT,1,False,True,True,128,512,False,29,1,10,128,1,35,2048,1,30,0.09933247428571429,32,False,3.928416142385584e-05,True,0.09934548890762213
90,1,32,1,False,1,32,32,32,1,18,0.14526571538318453,1,1,1,DLMT,1,False,False,False,1024,512,False,29,1,24,2048,1,35,1,12,1,0.1471062571428571,1,True,0.005555608154149193,True,0.14894679890252968
91,32,1,1,False,1,32,128,1,1,18,0.11095463882639378,1,64,1,DLMT,1,True,False,False,1,512,False,29,1,15,512,1,35,1024,15,1,0.11163294285714286,32,True,0.002047435970641708,True,0.11231124688789193
92,1,1,1,False,1,32,64,16,1024,18,0.13058197558325604,1,256,1,DLMT,1,False,False,True,256,512,False,29,1,27,1,1,35,128,15,1,0.13260128571428573,32,True,0.00609521396118734,True,0.1346205958453154
93,1,32,1,False,1,32,512,512,512,18,0.11337845123526351,1,32,1,DLMT,1,False,True,False,2048,512,False,29,1,16,1,1,35,1,1,11,0.11340042857142858,32,False,6.63377874278038e-05,True,0.11342240590759366
94,1,1,1,False,1,32,1,512,2048,18,0.06155267365663972,1,16,1,DLMT,1,False,True,True,1,512,False,29,1,1,1,1,35,2048,26,1,0.061572497142857126,1,False,5.9836469938440756e-05,True,0.061592320629074535
95,8,8,1,False,1,32,128,1,1,18,0.05836543600884443,1,128,1,DLMT,1,True,True,False,1,512,True,29,1,20,2048,1,35,1,12,1,0.059943677142857144,1,False,0.004763863284957207,True,0.061521918276869855
96,1,1,1,False,1,32,64,512,1,18,0.14373652754980204,1,256,1,DLMT,1,True,True,False,1024,512,True,29,1,24,256,1,35,2048,1,20,0.14443219999999998,1,False,0.00209986191110613,True,0.14512787245019793
97,1,1,1,False,1,32,512,1,2048,18,0.16270293564696856,1,128,1,DLMT,1,True,True,False,512,512,True,29,1,11,1,1,35,128,30,1,0.16392797142857143,8,False,0.003697725814495128,True,0.1651530072101743
98,8,8,1,False,1,32,512,64,512,18,0.11972377972479618,1,64,1,DLMT,1,True,False,True,256,512,True,29,1,28,64,1,35,2048,1,29,0.12057405714285714,1,True,0.0025665313662368403,True,0.1214243345609181
99,32,1,1,False,1,32,64,64,2048,18,0.06270092904003492,1,1,1,DLMT,1,False,False,False,1,512,True,29,1,1,1,1,35,1,1,17,0.06756819714285715,1,True,0.014691671198636628,True,0.07243546524567938
100,1,32,1,False,1,32,512,1,1024,18,0.09586396299402723,1,512,1,DLMT,1,False,True,False,1,512,True,29,1,21,256,1,35,128,1,12,0.09711409714285715,1,True,0.0037734843203206933,True,0.09836423129168707
101,8,8,1,False,1,32,32,512,1024,18,0.11777326716236994,1,512,1,DLMT,1,False,False,False,512,512,True,29,1,8,512,1,35,2048,30,1,0.12022565714285714,32,True,0.007402449686972771,True,0.12267804712334435
102,32,1,1,False,1,32,1,16,256,18,0.1037131281805491,1,128,1,DLMT,1,False,False,False,256,512,False,29,1,5,2048,1,35,256,1,22,0.10373460000000001,1,False,6.481190366856119e-05,True,0.10375607181945092
103,1,1,1,False,1,32,512,512,2048,18,0.14785414258447843,1,128,1,DLMT,1,True,True,False,64,512,False,29,1,2,512,1,35,1,1,29,0.14855022857142858,1,True,0.0021011101567057927,True,0.14924631455837872
104,1,8,1,False,1,32,512,64,2048,18,0.12004602258749258,1,1,1,DLMT,1,True,False,True,2048,512,True,29,1,23,512,1,35,128,26,1,0.12067311428571428,32,False,0.0018928534132577795,True,0.12130020598393598
105,8,1,1,False,1,32,512,1,1,18,0.09149288726245507,1,1,1,DLMT,1,True,False,False,256,512,False,29,1,27,64,1,35,1,2,1,0.09150494285714286,8,False,3.638937274781634e-05,True,0.09151699845183066
106,1,32,1,False,1,32,256,512,1,18,0.16383406255179062,1,256,1,DLMT,1,True,True,True,1024,512,True,29,1,1,2048,1,35,2048,21,1,0.16685317142857142,32,True,0.009113070000156646,True,0.16987228030535223
107,8,8,1,False,1,32,256,256,512,18,0.11069031977984169,1,512,1,DLMT,1,True,True,False,256,512,True,29,1,30,1024,1,35,2048,1,13,0.11129874285714286,8,False,0.0018365028620857026,True,0.11190716593444404
108,1,1,1,False,1,32,16,1,1,18,0.06243935430081918,1,64,1,DLMT,1,False,False,False,1,512,True,29,1,30,1024,1,35,256,1,2,0.06540303142857143,32,True,0.008945751287998484,True,0.06836670855632368
109,8,1,1,False,1,32,64,128,128,18,0.09673885848378116,1,256,1,DLMT,1,True,True,True,128,512,False,29,1,1,256,1,35,1,12,1,0.09675848285714285,8,False,5.923545504757959e-05,True,0.09677810723050453
110,8,8,1,False,1,32,1,1,512,18,0.11971446478320066,1,16,1,DLMT,1,True,True,True,256,512,True,29,1,20,1,1,35,128,1,6,0.12376405714285715,8,True,0.012223546798682934,True,0.12781364950251364
111,1,1,1,False,1,32,256,128,256,18,0.1168574261946944,1,1,1,DLMT,1,True,True,False,64,512,False,29,1,16,2048,1,35,512,2,1,0.11686817142857142,1,False,3.2434096445636865e-05,True,0.11687891666244844
112,8,1,1,False,1,32,16,1,512,18,0.09835454890546301,1,1,1,DLMT,1,False,True,False,1024,512,False,29,1,18,256,1,35,256,18,1,0.09838742285714287,1,False,9.922882382428428e-05,True,0.09842029680882274
113,32,1,1,False,1,32,1,64,2048,18,0.1472309160374908,1,64,1,DLMT,1,False,True,False,2048,512,False,29,1,30,1024,1,35,2048,29,1,0.148054,8,True,0.002484448912736989,True,0.14887708396250918
114,1,8,1,False,1,32,16,64,512,18,0.08485687893147997,1,32,1,DLMT,1,True,True,True,1,512,False,29,1,15,256,1,35,1,1,3,0.08487644000000001,32,False,5.9044371692579594e-05,True,0.08489600106852005
115,1,8,1,False,1,32,64,32,512,18,0.10484411316573344,1,512,1,DLMT,1,False,True,True,1,512,False,29,1,27,2048,1,35,64,1,30,0.10576791428571429,8,True,0.0027884599781592555,True,0.10669171540569514
116,1,32,1,False,1,32,128,1,512,18,0.11846472027745429,1,32,1,DLMT,1,True,False,False,2048,512,False,29,1,2,64,1,35,2048,1,15,0.11847745714285714,32,False,3.844576354676593e-05,True,0.11849019400825998
117,1,8,1,False,1,32,32,512,1,18,0.12164151847977091,1,64,1,DLMT,1,False,False,False,1,512,False,29,1,19,1,1,35,1024,19,1,0.12168417142857145,8,False,0.00012874636987154998,True,0.12172682437737199
118,1,8,1,False,1,32,1,1,1,18,0.12096900639294848,1,1,1,DLMT,1,True,True,True,256,512,False,29,1,9,1024,1,35,2048,29,1,0.12194174285714288,1,True,0.0029361695293879295,True,0.12291447932133727
119,1,32,1,False,1,32,1,512,64,18,0.07465534054979824,1,16,1,DLMT,1,True,False,True,128,512,True,29,1,17,1024,1,35,1,1,28,0.0790966257142857,32,False,0.013405857240162767,True,0.08353791087877317
120,1,32,1,False,1,32,128,1,1024,18,0.13699181331398572,1,1,1,DLMT,1,False,False,True,128,512,True,29,1,9,2048,1,35,2048,1,1,0.13960217142857143,8,False,0.007879270736688824,True,0.14221252954315713
121,1,8,1,False,1,32,1,128,64,18,0.08182110531102284,1,512,1,DLMT,1,False,False,False,64,512,True,29,1,3,1,1,35,1,6,1,0.08451002857142857,32,False,0.008116416763099741,True,0.0871989518318343
122,1,32,1,False,1,32,1,32,128,18,0.13763904992938295,1,256,1,DLMT,1,False,False,True,256,512,True,29,1,20,64,1,35,2048,15,1,0.13841548571428572,1,True,0.00234364309047052,True,0.1391919214991885
123,32,1,1,False,1,32,32,1,1,18,0.10310832331999037,1,512,1,DLMT,1,True,True,True,2048,512,False,29,1,3,1,1,35,256,1,1,0.10312208571428572,1,False,4.154128509503364e-05,True,0.10313584810858106
124,1,32,1,False,1,32,1,256,2048,18,0.07116469830160461,1,16,1,DLMT,1,True,False,True,256,512,False,29,1,4,1024,1,35,256,12,1,0.07276276,8,True,0.004823690935444116,True,0.07436082169839538
125,8,8,1,False,1,32,512,128,512,18,0.09864645142141722,1,1,1,DLMT,1,True,True,False,2048,512,False,29,1,2,64,1,35,256,7,1,0.09958464571428571,1,True,0.002831905245422781,True,0.10052284000715421
126,8,1,1,False,1,32,512,256,1,18,0.08680016390132489,1,16,1,DLMT,1,False,False,True,128,512,False,29,1,10,2048,1,35,512,1,18,0.08986989714285715,32,True,0.009265877798259457,True,0.0929396303843894
127,8,1,1,False,1,32,1,512,2048,18,0.10329656283646187,1,512,1,DLMT,1,True,False,False,1,512,False,29,1,16,64,1,35,1,1,1,0.10589965714285715,1,True,0.007857345196667372,True,0.10850275144925244
128,8,1,1,False,1,32,1,16,64,18,0.05543198622943404,1,1,1,DLMT,1,True,True,False,1,512,True,29,1,30,2048,1,35,256,17,1,0.05718076285714287,32,False,0.005278618451130978,True,0.058929539484851697
129,8,1,1,False,1,32,512,128,1,18,0.11052469874218825,1,1,1,DLMT,1,False,False,True,1,512,True,29,1,22,128,1,35,2048,12,1,0.11840823142857142,1,False,0.02379615580347586,True,0.12629176411495457
130,1,1,1,False,1,32,64,32,128,18,0.14124509425167886,1,64,1,DLMT,1,True,False,False,2048,512,True,29,1,17,512,1,35,2048,1,7,0.14498357142857143,8,True,0.011284456969745633,True,0.148722048605464
131,8,1,1,False,1,32,64,64,1,18,0.11488111030486399,1,128,1,DLMT,1,False,True,False,1024,512,True,29,1,8,2048,1,35,128,29,1,0.1157234,1,False,0.0025424207159993905,True,0.11656568969513602
132,1,32,1,False,1,32,32,16,2048,18,0.1293324119311887,1,1,1,DLMT,1,False,False,False,256,512,False,29,1,28,1,1,35,128,1,18,0.12934597142857146,1,False,4.092884816660298e-05,True,0.12935953092595423
133,8,8,1,False,1,32,1,512,2048,18,0.09869992803246279,1,64,1,DLMT,1,False,False,False,2048,512,True,29,1,9,256,1,35,2048,1,1,0.1021061,1,False,0.010281405818605606,True,0.10551227196753722
134,1,32,1,False,1,32,512,64,1,18,0.12908309130484946,1,64,1,DLMT,1,False,True,False,256,512,False,29,1,30,128,1,35,256,29,1,0.12910594285714283,32,False,6.897657691756842e-05,True,0.1291287944094362
135,1,32,1,False,1,32,16,64,1024,18,0.05926849606363013,1,1,1,DLMT,1,True,False,False,1,512,True,29,1,2,64,1,35,128,1,1,0.06631231714285714,8,True,0.021261516951988777,True,0.07335613822208414
136,32,1,1,False,1,32,128,512,256,18,0.14472688366556527,1,1,1,DLMT,1,False,True,False,256,512,True,29,1,28,512,1,35,1,29,1,0.1504849142857143,8,True,0.017380405360012962,True,0.15624294490586335
137,1,1,1,False,1,32,1,1,1,18,0.1348359038788199,1,1,1,DLMT,1,False,False,True,2048,512,True,29,1,4,512,1,35,1,1,20,0.13607271428571427,8,False,0.003733267091370534,True,0.13730952469260863
138,8,1,1,False,1,32,1,64,1,18,0.10802651583104715,1,256,1,DLMT,1,True,True,False,512,512,True,29,1,15,1,1,35,512,1,30,0.10980522857142856,32,True,0.005368979515091242,True,0.11158394131180997
139,8,8,1,False,1,32,1,256,128,18,0.1226883557256622,1,512,1,DLMT,1,False,False,False,1,512,False,29,1,2,1,1,35,512,29,1,0.12274537142857143,8,False,0.00017209981916057425,True,0.12280238713148067
140,8,8,1,False,1,32,64,1,128,18,0.09802350336499871,1,32,1,DLMT,1,True,False,True,2048,512,False,29,1,29,1,1,35,256,29,1,0.09805680571428572,1,False,0.00010052192637247123,True,0.09809010806357274
