id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
51,1024,2048,1,0.0942033036726602,8,256,64,256,RS,False,False,True,False,False,1,1,35,0.0942263248987684,3.474436556875745e-05,0.0942148142857143,30,8,True,1,8
52,64,512,2048,0.1146275677719543,1,128,32,16,RS,True,False,True,True,False,17,1,35,0.11477117508518857,0.00021673671792744208,0.11469937142857144,15,1,True,1,8
53,64,1,512,0.09871022966584334,1,1,256,64,RS,False,True,True,True,True,2,8,35,0.09878221033415666,0.00010863551063730705,0.09874622,23,26,True,1,8
54,256,1,1,inf,32,512,16,256,RS,True,True,False,False,True,1,1,1,inf,inf,inf,16,1,False,10,1
55,256,512,2048,inf,1,1,128,32,RS,False,True,False,True,True,1,32,1,inf,inf,inf,1,5,False,10,1
56,64,256,2048,0.13026404932087288,1,16,32,1,RS,False,False,True,False,False,29,1,35,0.13032492210769853,9.187114312326346e-05,0.1302944857142857,22,13,True,1,32
57,1,64,1024,0.10143217793994816,1,16,64,512,RS,True,False,True,False,True,4,8,35,0.10146993634576612,5.698618522170558e-05,0.10145105714285714,19,16,True,1,8
58,512,2048,1,0.29092856430790953,1,256,1,256,RS,False,True,True,False,False,25,1,35,0.29103377854923335,0.00015879267448275908,0.29098117142857144,29,2,True,1,32
59,1,512,512,0.17570176836783324,1,64,128,1,RS,False,True,False,False,False,10,32,35,0.1757366887750239,5.2702987561988415e-05,0.17571922857142858,19,1,True,19,1
60,2048,1024,512,0.1049954428895731,1,128,256,512,RS,False,True,True,False,False,4,1,35,0.10501815711042686,3.4281023488638605e-05,0.10500679999999998,8,1,True,13,8
61,512,128,2048,inf,32,1,1,1,RS,False,True,True,True,True,16,1,1,inf,inf,inf,9,1,False,16,1
62,1024,512,2048,0.0967119391737891,1,1,32,1,RS,True,False,False,True,True,19,8,35,0.09673946082621092,4.15365518893555e-05,0.09672570000000001,25,1,True,2,8
63,512,128,2048,0.3086557271449612,8,256,128,512,RS,False,True,False,True,True,23,1,35,0.30870695856932456,7.732009269713627e-05,0.3086813428571429,3,1,True,14,1
64,1024,2048,1,0.09696588311885732,8,256,512,512,RS,True,False,True,True,True,28,1,35,0.09698650545257126,3.112388098144147e-05,0.09697619428571429,1,25,True,3,8
65,1,256,1024,0.09610031414245213,8,256,16,16,RS,True,False,True,False,False,30,1,35,0.09618738871469074,0.00013141570980546269,0.09614385142857143,6,1,True,30,8
66,512,1,512,0.09667779950209787,32,32,512,64,RS,True,True,True,False,False,20,1,35,0.09669761764075926,2.9910164267864095e-05,0.09668770857142857,10,4,True,1,1
67,128,256,512,0.21618427156894937,8,16,1,64,RS,True,True,True,True,True,6,8,35,0.2162018427167649,2.6518934321557225e-05,0.21619305714285714,12,1,True,16,1
68,512,128,256,0.10544015634413785,1,64,128,32,RS,False,False,True,True,False,1,1,35,0.1054912722272907,7.714571423280743e-05,0.10546571428571427,20,13,True,1,8
69,1,128,1024,0.09718085057494326,8,64,64,512,RS,True,False,True,False,True,26,1,35,0.0972038579964853,3.472353127908774e-05,0.09719235428571428,24,1,True,28,8
