id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
322,4,1,DLMT,1,1,True,2,64,0.00011534296684239806,True,2048,4,4,True,1.63431251100214,8,2048,256,1,False,True,True,2048,True,4,True,256,False,4,1,8,False,1,1,1,4,16,4,1,False,10,1.6344554889978602,8,1.634384,4,1,16,True,1,256,4,128,True,1,16,4,1
323,4,1,DLMT,8,1,True,2,64,0.0001491609868564578,False,2048,4,4,True,2.128406550761333,8,2048,1,1,False,False,False,2048,False,512,True,1,False,12,12,256,False,1,16,1,4,1,1,12,False,10,2.1285914492386673,12,2.128499,1,1,1,True,1,256,12,64,True,1,1,2,1
324,4,1,DLMT,2,1,False,2,64,0.0007161319710779457,False,2048,256,4,True,2.0464211449618515,8,2048,1,2048,False,False,False,2048,False,2048,True,2048,False,12,4,1024,False,12,1,1,4,8,1,16,False,10,2.0473088550381484,1,2.046865,16,1,16,True,2048,256,8,1,True,1,2,16,1
325,4,1,DLMT,16,1,False,2,64,0.000641728914729561,True,2048,256,4,True,2.0080642596065648,8,2048,512,1,True,True,True,2048,True,8,True,512,False,8,4,1024,False,4,1,1,4,4,1,8,False,10,2.0088597403934356,4,2.008462,16,1,16,True,1,256,1,2048,True,1,16,1,1
326,4,1,DLMT,8,1,True,2,64,8.39106667831981e-05,True,2048,8,4,True,1.9282309925855703,8,2048,4,1,True,False,True,2048,True,1,True,8,False,16,4,1024,True,1,12,1,4,4,1,4,False,10,1.9283350074144296,1,1.928283,1,1,32,True,1,256,12,64,True,1,1,2,1
327,4,1,DLMT,16,1,True,2,64,0.00019174201417530184,True,2048,4,4,True,2.04248615925213,8,2048,1,2048,False,True,True,2048,True,8,True,1,True,1,4,8,True,8,1,1,4,8,1,16,False,10,2.04272384074787,12,2.042605,12,1,1,True,2048,256,16,4,True,1,32,1,1
328,4,1,DLMT,16,1,True,2,64,0.000517470772121461,True,2048,16,4,True,1.9131572741860765,8,2048,128,1,False,False,False,2048,False,1,True,8,True,4,4,32,True,1,4,1,4,12,1,4,False,10,1.913798725813924,16,1.9134780000000002,12,1,32,True,2048,256,4,512,True,1,2,8,1
329,4,1,DLMT,32,1,False,2,64,0.00018192306066027223,False,2048,64,4,True,2.021065244990741,8,2048,4,2048,True,False,True,2048,True,1,True,128,True,12,16,2048,False,1,16,1,4,8,1,12,False,10,2.0212907550092587,8,2.021178,8,1,32,True,1,256,16,64,True,1,2,32,1
330,4,1,DLMT,16,1,False,2,64,0.0003300439364690651,True,2048,1024,4,True,1.9637264404077344,8,2048,2048,1,False,True,False,2048,True,1,True,32,True,12,12,1,False,1,8,1,4,12,1,16,False,10,1.9641355595922658,1,1.963931,12,1,32,True,1,256,4,2048,True,1,16,2,1
331,4,1,DLMT,16,1,True,2,64,0.00018989734068703136,True,2048,1,4,True,2.0596853025715944,8,2048,512,2048,False,False,False,2048,True,256,True,1024,False,1,8,128,False,16,1,1,4,4,1,8,False,10,2.0599206974284057,1,2.059803,16,1,4,True,2048,256,8,16,True,1,2,1,1
332,4,1,DLMT,4,1,True,2,64,0.00011001818031580602,True,2048,16,4,True,1.9559158112783772,8,2048,64,2048,False,True,True,2048,True,64,True,1,True,12,8,2048,True,1,16,1,4,12,1,16,False,10,1.9560521887216231,12,1.9559840000000002,1,1,2,True,1,256,4,2048,True,1,2,2,1
333,4,1,DLMT,4,1,True,2,64,0.0006038178533299866,False,2048,16,4,False,1.9147137566940895,8,2048,16,2048,False,False,False,2048,True,1,True,128,False,1,16,512,False,1,8,1,4,16,1,16,False,10,1.9154622433059108,12,1.9150880000000001,8,1,8,True,2048,256,8,2048,True,1,32,4,1
334,4,1,DLMT,32,1,False,2,64,0.0005727442710319735,True,2048,4,4,False,2.005303015946033,8,2048,32,2048,True,False,False,2048,True,4,True,8,False,1,12,2048,False,1,1,1,4,8,1,8,False,10,2.006012984053966,12,2.0056579999999995,4,1,1,True,1,256,1,4,True,1,4,16,1
335,4,1,DLMT,1,1,False,2,64,0.0001401998573465908,False,2048,2048,4,False,1.9585311048248868,8,2048,8,1,True,True,False,2048,True,32,True,2048,False,4,16,16,False,4,1,1,4,1,1,1,False,10,1.9587048951751131,16,1.958618,8,1,1,True,1,256,1,2048,True,1,2,4,1
336,4,1,DLMT,32,1,False,2,64,0.00020693960471602064,True,2048,1024,4,False,2.0620657398610094,8,2048,512,1,False,False,False,2048,False,1,True,1,True,12,1,256,True,4,1,1,4,1,1,16,False,10,2.0623222601389894,4,2.0621939999999994,4,1,4,True,2048,256,8,1,True,1,2,1,1
337,4,1,DLMT,32,1,False,2,64,0.00012800000000000867,True,2048,128,4,False,2.0445866662358654,8,2048,512,2048,False,False,False,2048,True,128,True,2048,True,16,1,2048,False,1,1,1,4,16,1,4,False,10,2.0447453337641353,1,2.0446660000000003,16,1,2,True,1,256,1,128,True,1,32,1,1
338,4,1,DLMT,1,1,False,2,64,0.00013872274507084248,True,2048,4,4,True,2.0498580203317376,8,2048,128,1,False,True,False,2048,True,128,True,256,False,8,4,256,True,12,1,1,4,16,1,16,False,10,2.0500299796682624,4,2.049944,4,1,32,True,2048,256,1,512,True,1,2,32,1
339,4,1,DLMT,32,1,True,2,64,8.616263691414959e-05,True,2048,128,4,True,1.9175805968256707,8,2048,1,1,False,False,True,2048,True,8,True,1,False,4,16,64,False,12,1,1,4,8,1,12,False,10,1.9176874031743298,12,1.9176340000000003,16,1,4,True,1,256,1,512,True,1,8,4,1
340,4,1,DLMT,32,1,True,2,64,0.000840442740464779,True,2048,8,4,False,1.6132930977645237,8,2048,128,2048,True,False,False,2048,False,512,True,2048,True,12,12,8,True,1,12,1,4,16,4,1,False,10,1.6143349022354765,1,1.613814,1,1,16,True,1,256,16,1,True,1,1,4,1
341,4,1,DLMT,16,1,True,2,64,0.0010384681025433604,True,2048,8,4,False,1.609624362628837,8,2048,1024,1,True,True,True,2048,True,16,True,2048,True,16,1,128,False,12,1,1,4,8,8,1,False,10,1.6109116373711632,16,1.610268,12,1,32,True,2048,256,1,32,True,1,32,4,1
342,4,1,DLMT,16,1,True,2,64,0.0039305093817468715,False,2048,8,4,False,1.630329889810767,8,2048,1024,2048,True,True,True,2048,False,512,True,2048,False,16,1,128,True,1,16,1,4,4,8,1,False,10,1.6352021101892333,16,1.6327660000000002,12,1,32,True,2048,256,1,32,True,1,32,4,1
343,4,1,DLMT,16,1,True,2,64,0.000152345003199985,False,2048,8,4,False,1.6332745773238202,8,2048,1024,1,True,True,False,2048,False,1024,True,2048,False,16,1,128,False,1,4,1,4,12,8,1,False,10,1.63346342267618,16,1.633369,16,1,32,True,2048,256,1,32,True,1,32,4,1
344,4,1,DLMT,16,1,True,2,64,7.717512552626133e-05,True,2048,8,4,False,1.6271701672405812,8,2048,1024,2048,True,True,False,2048,False,2048,True,2048,False,16,1,128,False,16,1,1,4,16,8,1,False,10,1.6272658327594185,16,1.6272179999999998,4,1,32,True,2048,256,1,32,True,1,32,4,1
345,4,1,DLMT,16,1,True,2,64,0.00011061645447218062,False,2048,8,4,True,1.892233440471027,8,2048,1024,1,True,True,True,2048,True,4,True,2048,True,16,1,128,True,16,1,1,4,12,8,1,False,10,1.8923705595289733,16,1.8923020000000002,12,1,32,True,2048,256,1,32,True,1,32,4,1
346,4,1,DLMT,16,1,True,2,64,0.00014717676447046735,True,2048,8,4,True,1.6429357805725107,8,2048,1024,1,True,True,True,2048,True,128,True,2048,True,16,1,128,True,16,1,1,4,1,8,1,False,10,1.6431182194274894,16,1.643027,16,1,32,True,2048,256,1,32,True,1,32,4,1
347,4,1,DLMT,16,1,True,2,64,0.0002224499943807834,True,2048,8,4,False,1.6254761265985465,8,2048,1024,1,True,True,True,2048,False,2048,True,2048,True,16,1,128,True,1,4,1,4,16,8,1,False,10,1.6257518734014533,16,1.625614,1,1,32,True,2048,256,1,32,True,1,32,4,1
348,4,1,DLMT,16,1,True,2,64,0.00019173158320946116,True,2048,8,4,True,1.6336681657171912,8,2048,1024,2048,True,True,True,2048,False,512,True,2048,True,16,1,128,True,1,1,1,4,12,8,1,False,10,1.6339058342828094,16,1.6337870000000003,4,1,32,True,2048,256,1,32,True,1,32,4,1
349,4,1,DLMT,16,1,True,2,64,0.0001397712416772622,True,2048,8,4,True,1.6158813704787491,8,2048,1024,2048,True,True,False,2048,True,1,True,2048,False,16,1,128,True,4,1,1,4,16,8,1,False,10,1.6160546295212506,16,1.6159679999999998,4,1,32,True,2048,256,1,32,True,1,32,4,1
350,4,1,DLMT,16,1,True,2,64,0.00014119490075779835,False,2048,8,4,True,1.6242204881019235,8,2048,1024,2048,True,True,False,2048,True,2048,True,2048,False,16,1,128,False,1,8,1,4,1,8,1,False,10,1.6243955118980762,16,1.6243079999999999,4,1,32,True,2048,256,1,32,True,1,32,4,1
351,4,1,DLMT,16,1,True,2,64,8.342661445848703e-05,False,2048,8,4,False,1.6388582925987965,8,2048,1024,1,True,True,True,2048,False,1,True,2048,True,16,1,128,False,1,16,1,4,12,8,1,False,10,1.6389617074012033,16,1.6389099999999999,1,1,32,True,2048,256,1,32,True,1,32,4,1
352,4,1,DLMT,16,1,True,2,64,0.00018372805991464345,False,2048,8,4,False,1.8934041262611698,8,2048,1024,2048,True,True,True,2048,False,2,True,2048,True,16,1,128,False,4,1,1,4,1,8,1,False,10,1.8936318737388298,16,1.8935179999999998,16,1,32,True,2048,256,1,32,True,1,32,4,1
353,4,1,DLMT,16,1,True,2,64,0.0002103829841027973,True,2048,8,4,False,1.6343166056715719,8,2048,1024,2048,True,True,True,2048,True,8,True,2048,False,16,1,128,True,1,1,1,4,16,8,1,False,10,1.6345773943284285,16,1.6344470000000002,16,1,32,True,2048,256,1,32,True,1,32,4,1
354,4,1,DLMT,16,1,True,2,64,0.0001293986089569752,True,2048,8,4,True,1.631173799384981,8,2048,1024,2048,True,True,True,2048,False,8,True,2048,True,16,1,128,False,1,4,1,4,8,8,1,False,10,1.6313342006150184,16,1.6312539999999998,4,1,32,True,2048,256,1,32,True,1,32,4,1
355,4,1,DLMT,16,1,True,2,64,0.00011038115781238686,False,2048,8,4,False,1.629425586306728,8,2048,1024,1,True,True,False,2048,True,1,True,2048,False,16,1,128,True,1,1,1,4,4,8,1,False,10,1.629562413693272,16,1.629494,4,1,32,True,2048,256,1,32,True,1,32,4,1
