id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
53,2048,128,64,0.2943261914788054,1,False,16,64,DLMT,False,True,False,False,False,1,1,1,35,0.2949963799497661,0.0010114697247479193,0.29466128571428574,1,16,True,14,32
54,2048,2048,256,0.2973415606485064,1,False,512,1,DLMT,False,False,True,False,False,12,1,1,35,0.29747318220863656,0.00019864743868965482,0.2974073714285715,30,1,True,6,32
55,2048,1,512,0.2537746430355615,1,False,512,32,DLMT,False,True,True,False,True,25,1,256,35,0.2539382712501528,0.0002469528980950662,0.25385645714285715,1,5,True,21,32
56,128,1,1,0.2991734624468173,1,False,32,64,DLMT,True,False,True,False,False,30,1,64,35,0.29940088041032553,0.000343226413045736,0.2992871714285714,30,1,True,28,32
57,256,1024,2048,0.21177872812988252,1,False,1,16,DLMT,True,True,True,True,False,18,1,512,35,0.21193390044154609,0.0002341909808472644,0.2118563142857143,4,1,True,1,32
58,1,1024,2048,0.23171015301356485,1,False,512,16,DLMT,True,True,False,False,True,3,1,128,35,0.2318632184150065,0.00023101116502746472,0.23178668571428568,1,30,True,29,32
59,128,2048,1,0.20586086100930642,1,False,512,1,DLMT,True,True,True,True,False,24,1,16,35,0.20594022470497927,0.00011977821000431017,0.20590054285714285,1,29,True,17,32
60,256,64,128,0.26233251457152257,1,False,1,1,DLMT,False,False,False,False,False,21,1,1,35,0.26268337114276313,0.0005295238800959174,0.26250794285714285,1,21,True,30,32
61,2048,256,1,0.1768405137308905,1,False,64,32,DLMT,True,False,False,True,True,15,1,16,35,0.17687645769768096,5.424777621700085e-05,0.17685848571428572,1,13,True,18,32
62,128,2048,1,0.23842009234520126,1,False,64,32,DLMT,False,True,False,False,True,10,1,128,35,0.23886122194051304,0.0006657667949861434,0.23864065714285715,4,5,True,1,32
63,1,1,256,0.24012522599914304,1,False,512,512,DLMT,True,False,False,True,False,17,1,1,35,0.24053408828657125,0.0006170679491575875,0.24032965714285714,5,4,True,1,32
64,2048,2048,1,0.2714660262473367,1,False,64,16,DLMT,False,True,False,True,False,30,1,128,35,0.27157054518123475,0.00015774329443363552,0.2715182857142857,15,17,True,1,32
65,2048,1,512,0.2085602435283983,1,False,1,32,DLMT,True,True,False,False,True,30,1,32,35,0.2087006707573159,0.000211937233681125,0.2086304571428571,4,2,True,1,32
66,512,1,1,0.2418470375314842,1,False,512,1,DLMT,True,True,True,True,True,4,1,512,35,0.24243496246851573,0.0008873149867517662,0.24214099999999997,25,14,True,1,32
67,2048,128,2048,0.24239188321956778,1,False,128,1,DLMT,True,False,True,False,False,1,1,64,35,0.24258714535186077,0.00029469581134534387,0.24248951428571427,1,16,True,28,32
68,2048,1024,256,0.30406316617169965,1,False,128,512,DLMT,False,True,False,True,True,2,1,1,35,0.30449969097115753,0.0006588170908406046,0.3042814285714286,29,1,True,29,32
69,256,2048,256,0.27032513379360806,1,False,512,128,DLMT,False,False,False,False,False,27,1,128,35,0.2710003519206777,0.0010190606414833296,0.27066274285714287,12,8,True,1,32
70,2048,64,2048,0.2619076935804661,1,False,16,16,DLMT,False,True,False,True,False,21,1,1,35,0.26213493499096246,0.0003429599536329519,0.2620213142857143,30,29,True,1,32
71,1,1,128,0.2751575290816866,1,False,64,256,DLMT,False,True,True,False,False,5,1,1,35,0.2752968137754564,0.0002102128833504946,0.2752271714285715,17,29,True,1,32
72,1,512,1,0.3125025777641135,1,False,1,32,DLMT,True,False,False,False,False,7,1,256,35,0.31271833652160075,0.00032562996903647316,0.3126104571428571,30,1,True,11,32
73,64,2048,2048,0.27901103116874637,1,False,512,64,DLMT,True,False,True,False,False,4,1,1,35,0.279205540259825,0.0002935592976290955,0.2791082857142857,12,1,True,10,32
74,1024,2048,64,0.2571502111428938,1,False,128,64,DLMT,True,False,True,False,True,2,1,1,35,0.257256531714249,0.00016046238290182092,0.2572033714285714,29,7,True,1,32
75,512,1,512,0.24632452488675566,1,False,32,512,DLMT,True,True,False,True,False,4,1,512,35,0.24655147511324432,0.0003425204894809719,0.246438,1,16,True,16,32
76,1,2048,512,0.2466414765364567,1,False,64,1,DLMT,True,False,False,True,False,19,1,128,35,0.2468746948921147,0.00035198054909153033,0.2467580857142857,1,19,True,15,32
77,1,256,512,0.2881016374476122,1,False,256,64,DLMT,True,True,True,True,True,9,1,512,35,0.28856013398095914,0.0006919775294216523,0.28833088571428567,19,1,True,30,32
78,2048,128,1,0.23549341001812046,1,False,16,512,DLMT,False,False,True,True,False,6,1,64,35,0.23568053283902235,0.00028241170409925415,0.2355869714285714,1,1,True,1,32
79,64,64,1024,0.21460587616717172,1,False,32,1,DLMT,False,False,True,False,True,1,1,512,35,0.21475063811854259,0.00021847933447316544,0.21467825714285715,2,1,True,4,32
