id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
56,64,1024,64,0.21756341634898094,2,False,32,1,SIMA,False,False,True,True,True,4,8,2,35,8,5,1,18,5.350681818083488e-05,True,0.21758114285714286,0.2175988693653048
57,64,2048,64,0.20565556291887993,1,False,64,1,SIMA,True,False,True,False,True,4,8,2,35,8,3,1,18,0.00018837780969018894,True,0.20571797142857143,0.20578037993826293
58,256,2048,64,0.23477799834630442,1,False,64,1,SIMA,False,True,True,True,True,2,2,2,35,8,3,1,19,4.416080079132008e-05,True,0.2347926285714286,0.2348072587965528
59,64,2048,64,0.09403159205624716,1,False,16,1,SIMA,True,False,False,True,True,2,2,1,35,8,4,1,20,4.38520682033844e-05,True,0.09404612000000001,0.09406064794375286
60,256,2048,32,0.12542886941461556,2,False,32,2,SIMA,False,False,True,False,True,4,4,1,35,8,3,1,19,4.049661109530213e-05,True,0.12544228571428573,0.1254557020139559
61,128,2048,64,0.3969612159884504,1,False,32,2,SIMA,True,False,True,False,True,2,8,2,35,8,4,1,18,7.308479838586231e-05,True,0.39698542857142854,0.3970096411544067
62,64,2048,32,0.2216644652561967,2,False,32,1,SIMA,True,False,True,False,False,4,2,1,35,32,3,1,20,0.00022135824874107117,True,0.22173779999999998,0.22181113474380326
63,128,2048,16,0.08966207373848742,1,False,64,1,SIMA,True,False,True,False,True,3,8,1,35,8,4,1,19,2.9979306604552537e-05,True,0.0896720057142857,0.08968193769008398
64,128,2048,32,0.4143227049146839,1,False,32,2,SIMA,False,False,True,False,True,3,2,2,35,16,3,1,20,0.000252544319812168,True,0.4144063714285714,0.41449003794245887
65,128,2048,64,0.08541153404110673,1,False,64,1,SIMA,True,True,True,False,False,2,4,1,35,16,4,1,20,3.324695793970998e-05,True,0.08542254857142856,0.08543356310175039
66,128,2048,16,0.11140835762883002,1,False,32,1,SIMA,False,True,False,True,True,2,4,1,35,16,4,1,18,6.075589162663154e-05,True,0.1114284857142857,0.11144861379974137
67,64,2048,16,0.14378415042399836,1,False,64,2,SIMA,True,True,False,True,True,3,4,1,35,16,4,1,18,0.0002941479899642344,True,0.14388159999999997,0.14397904957600158
68,128,2048,64,0.09028786434224724,1,False,32,1,SIMA,True,False,True,True,False,4,8,1,35,8,5,1,18,4.286632339765877e-05,True,0.09030206571428571,0.09031626708632419
