id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
84,32,4,512,1024,2.3636132080920165,32,False,512,DLMT,2048,False,False,False,True,1,1,False,4,1,2,10,16,1,2.424022,0.0974657568379787,True,True,1,16,1024,2.4844307919079833,30
85,32,4,512,1024,2.419604710746865,32,False,2048,DLMT,2048,True,False,False,True,1,1,True,4,1,16,10,16,1,2.4904479999999998,0.11430115693202762,True,True,8,8,2048,2.5612912892531345,30
86,32,4,512,1024,2.4587959679603575,32,False,2048,DLMT,2048,False,False,False,True,1,1,False,4,2,8,10,16,1,2.540922,0.13250514728115284,True,True,4,32,1,2.6230480320396428,30
87,32,4,512,1024,2.382044285257041,32,False,32,DLMT,2048,False,False,False,True,1,1,False,4,25,1,10,16,1,2.447337,0.10534565677330983,True,True,2,32,2048,2.512629714742959,30
88,32,4,512,1024,2.3915128697417707,32,False,2048,DLMT,2048,True,False,False,True,1,1,False,4,12,1,10,16,1,2.475779,0.13595806011046208,True,True,32,2,2048,2.5600451302582297,30
89,32,4,512,1024,2.49091598384924,32,False,16,DLMT,2048,False,False,False,True,1,1,True,4,8,8,10,16,1,2.5491280000000005,0.09392139839248566,True,True,32,1,2048,2.607340016150761,30
90,32,4,512,1024,2.3986995340028576,32,False,1,DLMT,2048,False,False,False,True,1,1,True,4,6,1,10,16,1,2.480127,0.13137805524896465,True,True,32,2,1,2.5615544659971423,30
91,32,4,512,1024,2.4473370698064647,32,False,256,DLMT,2048,False,False,False,True,1,1,False,4,20,8,10,16,1,2.496858,0.0798988820697762,True,True,1,2,2048,2.5463789301935353,30
92,32,4,512,1024,2.394324159663538,32,False,4,DLMT,2048,False,False,False,True,1,1,True,4,30,2,10,16,1,2.4388949999999996,0.07191222583817025,True,True,16,2,2048,2.483465840336461,30
93,32,4,512,1024,2.3765562189218477,32,False,16,DLMT,2048,True,False,False,True,1,1,False,4,1,2,10,16,1,2.427127,0.08159274992914507,True,True,32,2,1024,2.4776977810781524,30
94,32,4,512,1024,2.434961925297469,32,False,1,DLMT,2048,True,False,False,True,1,1,True,4,2,32,10,16,1,2.487232,0.08433445248532766,True,True,1,1,2048,2.5395020747025314,30
95,32,4,512,1024,2.175996826653462,32,False,4,DLMT,2048,True,False,False,True,1,1,False,4,14,32,10,16,1,2.369246,0.3117952924339943,True,True,1,16,1,2.5624951733465378,30
