id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
49,2048,256,64,0.12899263548254297,1,False,32,256,DLMT,False,False,True,False,True,29,1,1,35,0.12901679308888558,3.6459426708580286e-05,0.12900471428571428,5,20,True,1,1
50,128,2048,64,0.10571694719083286,1,False,16,16,DLMT,True,True,True,False,False,12,8,64,35,0.10578808138059573,0.00010735797832580652,0.10575251428571429,1,11,True,1,8
51,1,256,1024,0.10720117775966433,1,False,256,512,DLMT,False,True,True,False,False,30,1,256,35,0.10726899366890709,0.00010234992398031051,0.10723508571428571,1,29,True,30,8
52,1,512,2048,inf,1,False,1,16,DLMT,False,False,False,True,False,27,32,64,1,inf,inf,inf,10,1,False,28,1
53,1024,512,1,0.2762423288908314,1,False,128,32,DLMT,True,False,True,False,True,17,1,512,35,0.2764320711091686,0.00028636498189747847,0.2763372,11,1,True,27,32
54,1,128,2048,0.17512455401683094,1,False,16,512,DLMT,True,True,True,False,False,21,32,1,35,0.17514853169745484,3.618787709965302e-05,0.1751365428571429,17,1,True,7,1
55,128,1,128,0.23639747882978898,1,False,512,128,DLMT,True,False,False,True,False,10,1,64,35,0.23661206402735394,0.0003238587951309591,0.23650477142857146,2,28,True,1,32
56,64,512,1,0.283933547693044,1,False,512,32,DLMT,False,True,False,False,True,29,1,32,35,0.2840605094498131,0.0001916147154674536,0.28399702857142856,29,20,True,1,32
57,1024,256,1,0.22586357596025297,32,False,64,32,DLMT,False,True,False,True,False,29,1,1,35,0.22604825261117556,0.0002787198666791319,0.22595591428571427,1,30,True,28,1
58,1,2048,2048,0.28047181722916664,1,False,64,1,DLMT,False,False,True,False,False,11,1,512,35,0.2805880113422619,0.0001753638456676442,0.2805299142857143,29,30,True,1,1
59,512,256,2048,inf,32,False,1,1,DLMT,False,True,True,True,True,8,1,512,1,inf,inf,inf,30,1,False,19,1
60,64,2048,1,inf,1,False,512,16,DLMT,False,True,True,True,False,21,32,1,1,inf,inf,inf,1,7,False,23,1
61,1024,1,2048,0.16229409814987705,1,False,16,64,DLMT,False,True,False,False,True,26,1,1,35,0.16242253042155153,0.00019383406326451788,0.1623583142857143,2,26,True,1,1
62,2048,256,2048,0.20622525666183864,1,False,32,512,DLMT,True,True,False,True,True,23,1,32,35,0.20633251476673278,0.00016187733829372593,0.2062788857142857,1,6,True,27,32
63,2048,2048,256,inf,32,False,256,64,DLMT,False,False,True,False,True,3,1,16,1,inf,inf,inf,21,1,False,30,1
64,64,1,1,0.09551195019924408,8,False,128,32,DLMT,False,False,True,True,False,30,1,64,35,0.09553528980075593,3.5224867839150965e-05,0.09552362,29,1,True,29,8
65,1,256,128,0.17655877771512887,1,False,1,512,DLMT,False,False,True,True,True,29,1,128,35,0.17668710799915674,0.00019368014026918955,0.1766229428571428,3,30,True,1,32
66,1,1,1,0.09142765075868897,8,False,512,512,DLMT,True,False,True,True,False,1,1,32,35,0.09151639495559677,0.00013393556038145344,0.09147202285714287,1,5,True,2,8
67,2048,1024,1024,0.2517121671367866,1,False,512,1,DLMT,True,False,False,False,False,9,1,1,35,0.2524277185774993,0.0010799329593704833,0.25206994285714296,7,29,True,1,32
68,2048,256,1,0.10310918526608413,1,False,64,256,DLMT,True,False,True,False,False,1,32,256,35,0.10333938616248729,0.000347426503753246,0.10322428571428571,1,10,True,30,1
69,128,512,1,0.2590430037773847,1,False,128,16,DLMT,True,True,False,False,True,6,1,512,35,0.2591174533654725,0.0001123616827708714,0.2590802285714286,28,1,True,23,32
70,1,1,1,0.14152653279163604,1,False,32,512,DLMT,False,True,False,False,False,27,32,256,35,0.14157386720836398,7.143860500957707e-05,0.14155020000000001,15,3,True,1,1
71,1,2048,2048,inf,1,False,16,128,DLMT,True,True,True,True,False,30,32,512,1,inf,inf,inf,25,25,False,1,1
72,1024,2048,256,0.2181508165651229,1,False,512,512,DLMT,True,True,False,False,True,20,1,32,35,0.21818415486344858,5.031521861713201e-05,0.21816748571428574,28,1,True,1,1
73,2048,128,1,inf,1,False,16,128,DLMT,False,True,False,True,True,10,32,1,1,inf,inf,inf,30,7,False,1,1
74,2048,1024,2048,inf,1,False,512,128,DLMT,False,False,False,True,True,27,32,512,1,inf,inf,inf,1,7,False,14,1
75,2048,2048,512,0.21232321324707842,1,False,32,64,DLMT,True,False,False,True,True,29,1,512,35,0.21247381532435017,0.00022729343795802005,0.2123985142857143,1,2,True,5,32
76,2048,1,256,0.2400028538820465,1,False,1,512,DLMT,True,False,True,True,True,14,8,256,35,0.24037097468938207,0.0005555796135017708,0.2401869142857143,29,29,True,1,1
77,1,1,1,inf,32,False,1,256,DLMT,True,False,False,True,True,30,1,256,1,inf,inf,inf,1,29,False,27,1
78,128,2048,256,0.13697770937973797,8,False,512,16,DLMT,False,True,False,True,False,23,1,256,35,0.13708851919169057,0.00016723768738425196,0.13703311428571427,1,30,True,26,8
79,2048,2048,256,0.10538711649295335,32,False,32,512,DLMT,False,False,True,True,False,1,1,32,35,0.10540865493561807,3.250650170444738e-05,0.10539788571428571,1,4,True,1,1
80,256,2048,1024,0.20219212745888612,1,False,32,32,DLMT,True,False,False,True,True,29,8,32,35,0.20223792968397106,6.912617272135175e-05,0.2022150285714286,1,3,True,21,1
81,2048,512,1,0.08608541052791054,8,False,1,256,DLMT,True,True,True,False,False,28,1,1,35,0.08611361232923233,4.256305420988243e-05,0.08609951142857143,1,14,True,29,1
82,1024,256,2048,0.15139092801417287,32,False,16,64,DLMT,False,False,False,False,False,17,1,512,35,0.15141678627154148,3.90261032476227e-05,0.15140385714285717,30,15,True,1,1
83,64,2048,2048,0.2500970112595615,1,False,16,1,DLMT,True,True,True,True,False,13,1,512,35,0.2502473887404385,0.00022695446994622538,0.2501722,20,27,True,1,32
84,2048,1,512,0.1748927087953858,1,False,512,1,DLMT,False,True,True,True,False,24,1,512,35,0.17494517691889996,7.918655833162748e-05,0.17491894285714288,3,8,True,1,1
85,256,64,2048,0.3397948180443636,1,False,32,16,DLMT,True,False,True,False,True,1,32,1,35,0.33981781052706495,3.470098510629191e-05,0.3398063142857143,1,10,True,22,1
86,1,2048,1,0.08709199339470958,8,False,128,1,DLMT,False,True,True,False,True,4,8,512,35,0.08715320660529044,9.238492146603618e-05,0.08712260000000001,11,9,True,1,1
87,256,1,256,inf,32,False,512,128,DLMT,True,True,True,False,True,30,1,1,1,inf,inf,inf,24,5,False,1,1
88,1,2048,2048,0.11780528694698285,1,False,512,512,DLMT,False,False,False,False,False,12,1,128,35,0.11789717019587433,0.00013867311732772064,0.11785122857142859,21,1,True,29,8
89,1,512,2048,inf,32,False,512,128,DLMT,True,True,False,True,True,15,1,512,1,inf,inf,inf,1,9,False,28,1
90,128,512,1,0.16910635808773966,1,False,1,128,DLMT,False,True,True,False,False,7,1,512,35,0.16913009905511744,3.583062195089213e-05,0.16911822857142855,3,1,True,30,1
91,64,512,1024,0.23634918724543053,1,False,256,1,DLMT,True,False,True,True,True,15,1,512,35,0.2367575556117123,0.0006163225076771009,0.2365533714285714,13,1,True,29,32
92,64,512,512,0.19304598225269112,1,False,512,32,DLMT,False,False,True,True,False,28,1,1,35,0.19319818917588036,0.00022971552238473225,0.19312208571428574,12,15,True,1,1
93,2048,256,1024,0.16748749525360704,1,False,1,128,DLMT,True,True,True,False,False,15,8,512,35,0.16753484760353574,7.146567036568266e-05,0.1675111714285714,13,1,True,24,1
94,1,128,2048,0.09287385197694631,1,False,16,512,DLMT,False,True,True,True,False,7,1,16,35,0.09289749088019655,3.567658352820291e-05,0.09288567142857143,27,1,True,16,8
