id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
64,True,35,0.14369085603388865,1,16,256,128,5,1,6,DLMT,15,1,1,128,0.14365514396611134,5.3897786861536976e-05,1,0.143673,32
65,True,35,0.2203399118205526,1,16,512,512,24,21,1,DLMT,26,2048,2048,1024,0.22031123103659025,4.328595002293546e-05,1,0.22032557142857143,8
66,True,35,0.1485653557353633,32,1,1,32,1,29,14,DLMT,1,1,512,1,0.14846007283606524,0.00015889629527796203,1,0.14851271428571428,1
67,True,35,0.19067361357349788,32,1,1,256,3,1,3,DLMT,20,1024,64,2048,0.19065438642650218,2.901822087684123e-05,1,0.19066400000000003,1
68,True,35,0.149484053462018,1,512,256,32,1,1,24,DLMT,2,2048,2048,1,0.14930966082369632,0.00026319890825404703,1,0.14939685714285716,8
69,False,1,inf,32,16,1,1,1,8,4,DLMT,28,1,2048,2048,inf,inf,1,inf,1
70,True,35,0.14894967035444154,1,1,256,16,1,24,19,DLMT,9,1,1,1024,0.14889284393127275,8.576424258467425e-05,1,0.14892125714285714,1
71,True,35,0.20436660349158278,8,32,64,512,20,27,1,DLMT,2,1,2048,64,0.20417139650841723,0.00029461257853080776,1,0.204269,1
72,True,35,0.13114278964176365,1,256,32,16,1,4,4,DLMT,2,128,2048,1024,0.13112086750109345,3.308559092007778e-05,1,0.13113182857142855,8
73,True,35,0.2324008080918069,1,1,1,512,1,23,1,DLMT,26,1,2048,1024,0.23228399190819304,0.00017630269425054394,1,0.23234239999999998,8
74,True,35,0.26856425023904573,1,512,512,128,1,22,29,DLMT,13,1024,2048,2048,0.26718254976095435,0.002085306242668993,1,0.26787340000000004,1
75,True,35,0.19805422476406825,1,1,512,32,1,5,28,DLMT,4,1,512,2048,0.1979084038073603,0.0002200776189605531,1,0.19798131428571428,32
76,True,35,0.13971578613977165,1,16,512,16,1,23,3,DLMT,27,64,512,512,0.1396886138602284,4.1009267245343016e-05,1,0.13970220000000003,1
77,True,35,0.13793681283931036,1,512,1,1,1,16,4,DLMT,12,64,1024,1,0.13789501573211826,6.308152159980797e-05,1,0.13791591428571431,32
78,True,35,0.20525449312857805,1,1,1,256,1,12,29,DLMT,7,1,1,2048,0.20522916401427907,3.822750372201145e-05,1,0.20524182857142856,1
79,True,35,0.18912598754159085,1,512,1,16,1,27,10,DLMT,24,1024,1,512,0.18910424102983772,3.282052618066184e-05,1,0.1891151142857143,1
80,True,35,0.16051977169704,1,1,1,1,1,19,23,DLMT,24,1,1024,64,0.16043399973153147,0.00012944977435914076,1,0.16047688571428573,32
81,True,35,0.1745864701627093,1,256,512,1,1,2,28,DLMT,21,1,1,1,0.1743913584087193,0.00029446885563464206,1,0.1744889142857143,32
82,True,35,0.13146271373419138,1,512,512,1,1,19,8,DLMT,29,256,1,1024,0.13141482912295144,7.226897604061506e-05,1,0.1314387714285714,32
83,True,35,0.1894213574625544,1,1,32,256,1,28,28,DLMT,2,1024,1,1,0.18926629968030273,0.00023401812942154256,1,0.18934382857142856,32
84,True,35,0.15269293962730462,1,1,64,1,1,26,2,DLMT,1,2048,1024,256,0.1526560889441239,5.5616221389381183e-05,1,0.15267451428571427,32
85,True,35,0.12124144379217555,1,1,128,1,1,3,11,DLMT,9,1024,1024,1,0.12121587049353877,3.859603447960615e-05,1,0.12122865714285716,1
86,True,35,0.14402954585405456,1,1,1,512,1,18,22,DLMT,30,1024,512,1,0.14400319700308825,3.976652268593073e-05,1,0.1440163714285714,1
87,True,35,0.2109228325164987,1,64,1,512,1,1,1,DLMT,27,1024,1024,2048,0.2109076246263584,2.2952230783939197e-05,1,0.21091522857142855,32
88,True,35,0.25827148451041393,1,64,1,16,1,3,29,DLMT,16,2048,1,2048,0.25802051548958593,0.00037877041670573015,1,0.25814599999999993,8
89,True,35,0.13473810715315873,1,256,512,512,1,13,8,DLMT,10,1,2048,1,0.1344477214182698,0.0004382593733935932,1,0.13459291428571427,32
90,True,35,0.20592487733724948,1,512,128,512,1,1,28,DLMT,30,1,2048,1024,0.20558900837703628,0.0005069041015451213,1,0.20575694285714288,8
91,True,35,0.13701086707125465,1,1,256,512,1,10,3,DLMT,25,2048,1,64,0.13698359007160255,4.11673141594388e-05,1,0.1369972285714286,32
92,True,35,0.13135316012224552,1,16,1,128,1,1,7,DLMT,5,1,1,128,0.13132912559204024,3.6273676293375085e-05,1,0.13134114285714288,1
93,True,35,0.23057179183398574,1,1,128,16,1,10,1,DLMT,7,128,512,1,0.23054655102315713,3.809423332008223e-05,1,0.23055917142857144,1
94,True,35,0.21313720144572101,1,16,128,1,1,29,1,DLMT,29,128,1,1,0.2131130271257075,3.6484651511539174e-05,1,0.21312511428571426,32
95,True,35,0.21887534518693766,1,16,16,64,1,26,1,DLMT,27,2048,2048,1,0.21743191195591946,0.002178475273943607,1,0.21815362857142856,1
96,True,35,0.21046955538036594,1,1,512,32,1,8,1,DLMT,9,2048,2048,1,0.21044107319106264,4.29862246563256e-05,1,0.2104553142857143,32
97,True,35,0.23636834549311897,1,1,512,32,1,7,1,DLMT,4,2048,1,1,0.2362461687925953,0.0001843929566143447,1,0.23630725714285714,1
98,True,35,0.2186599501108142,1,1,16,512,1,26,1,DLMT,10,512,1,1,0.2186367927463286,3.494982993155674e-05,1,0.2186483714285714,32
99,True,35,0.21695538646947626,1,512,32,1,1,24,1,DLMT,27,2048,2048,1,0.21679044210195225,0.0002489392779005209,1,0.21687291428571426,1
100,True,35,0.20818385915595083,1,512,512,32,1,19,1,DLMT,3,1024,2048,1,0.20816128370119208,3.407159329100611e-05,1,0.20817257142857146,32
101,True,35,0.22051418371883122,1,1,512,64,1,30,1,DLMT,2,1,1024,1,0.22048530199545455,4.358921416860978e-05,1,0.22049974285714288,1
102,True,35,0.3169407087393054,1,32,16,512,1,2,1,DLMT,26,1024,2048,1,0.3168980341178376,6.440589401346646e-05,1,0.3169193714285715,1
103,True,35,0.1685132747562705,1,512,1,1,1,3,1,DLMT,29,1,256,1,0.16835141095801517,0.0002442899849250759,1,0.16843234285714284,8
104,True,35,0.21031084835043373,1,32,1,512,1,10,1,DLMT,27,1,2048,1,0.21016023736385198,0.00022730688417167734,1,0.21023554285714285,32
105,True,35,0.21114624287807585,1,512,512,256,1,5,1,DLMT,17,1,512,1,0.211128899979067,2.6174453973604982e-05,1,0.21113757142857142,32
106,False,1,inf,1,128,1,1,1,29,1,DLMT,23,2048,1,1,inf,inf,1,inf,32
107,True,35,0.21301905814435612,1,512,1,512,1,23,1,DLMT,3,1,2048,1,0.2129908847127867,4.252023767860193e-05,1,0.21300497142857142,1
108,True,35,0.2291862723525139,1,256,512,512,1,9,1,DLMT,30,2048,1,1,0.22916647050462893,2.9885577710697076e-05,1,0.22917637142857142,1
109,True,35,0.21239610052009367,1,16,1,256,1,1,1,DLMT,1,1024,1024,1,0.2123722423370492,3.600752755766933e-05,1,0.21238417142857144,32
110,True,35,0.31879266838133963,1,512,1,1,1,2,1,DLMT,1,256,64,1,0.3187672744758033,3.832528871518139e-05,1,0.31877997142857145,1
111,True,35,0.20123502849163585,1,256,1,512,1,28,1,DLMT,3,1024,1,1,0.2007828572226499,0.0006824312395653443,1,0.20100894285714288,8
112,True,35,0.21046808531922448,1,256,1,32,1,30,1,DLMT,25,1,512,1,0.21044191468077553,3.949755869490179e-05,1,0.210455,32
113,True,35,0.22059791279449137,1,1,32,64,1,1,1,DLMT,6,2048,64,1,0.22057385863408002,3.6303302823821494e-05,1,0.2205858857142857,32
114,True,35,0.1696812434705741,1,512,1,1,1,16,1,DLMT,20,1,2048,1,0.16964624224371164,5.2824963177403335e-05,1,0.16966374285714286,32
