id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
67,8,8,256,1,256,1,64,1,1,0.1813046024740609,64,128,512,RS,1,True,False,False,1024,2048,False,1,17,16,512,1,35,1,12,22,0.1813463142857143,1,False,0.00012590558172775448,True,0.18138802609736768
68,8,8,512,1,16,32,64,1,8,0.14067269191563608,64,256,128,RS,1,True,False,True,2048,256,True,1,11,20,64,32,35,256,15,1,0.14396548571428572,1,True,0.009939177952128722,True,0.14725827951293535
69,8,8,2048,1,64,16,128,256,22,0.09970026265685399,256,128,512,RS,1,True,False,True,256,1024,False,2,1,17,1,8,35,128,1,1,0.10034606571428571,1,True,0.0019493329683975575,True,0.10099186877171744
70,1,1,512,32,256,512,16,512,3,0.21420061677494207,1,1,16,RS,8,True,False,False,2048,512,False,5,1,25,512,8,35,256,1,14,0.21428997142857145,1,False,0.0002697137621060307,True,0.21437932608220084
71,1,1,2048,1,32,64,64,64,26,0.08177757628204388,16,256,512,RS,32,False,False,True,1,512,True,1,30,7,1024,1,35,512,1,15,0.08454549142857141,1,False,0.00835485088954303,True,0.08731340657509895
72,1,1,2048,1,512,64,1,128,8,0.18853055556199502,512,16,1,RS,8,False,True,True,1,512,False,23,22,1,1,8,35,128,1,15,0.18993474285714287,1,True,0.004238488122249366,True,0.19133893015229073
73,1,1,256,8,64,16,16,128,14,0.14292424143805862,32,1,64,RS,1,True,True,True,1,2048,False,6,1,15,256,8,35,256,1,19,0.14364365714285715,1,True,0.0021715300589065516,True,0.14436307284765568
74,8,1,1,8,512,64,512,1024,5,0.09870767654005311,128,16,1,RS,1,True,True,False,512,128,True,1,23,7,512,8,35,2048,10,1,0.09970194571428571,8,False,0.0030011652290728545,True,0.10069621488851832
75,8,1,2048,8,32,1,16,64,13,0.1268802252804665,1,16,1,RS,1,False,False,False,256,1,False,8,1,2,2048,8,35,1024,4,1,0.12692014285714284,8,False,0.00012048974890768349,True,0.1269600604338192
76,1,8,1,8,128,32,512,128,1,0.20369893261656177,16,512,64,RS,8,True,True,False,256,2048,False,28,1,15,1024,8,35,512,27,29,0.2037659142857143,1,False,0.00020218172468331253,True,0.20383289595486684
77,8,1,512,8,256,1,512,64,1,0.19378180691825275,256,32,32,RS,1,False,True,False,2048,1,True,19,1,18,1024,1,35,2048,20,10,0.1950712,1,False,0.003891985977070614,True,0.19636059308174725
78,8,8,512,1,64,16,1,1024,1,0.24830759838576447,128,1,1,RS,8,True,False,False,2048,2048,True,1,28,27,1,8,35,64,10,30,0.25035977142857135,1,False,0.006194409461468185,True,0.2524119444713782
79,1,1,64,8,128,1,1,256,2,0.1577462131525442,256,16,256,RS,8,False,False,True,512,512,True,28,26,1,256,8,35,2048,1,17,0.15958265714285713,1,True,0.005543239186833722,True,0.16141910113317007
80,8,1,1,1,64,1,64,256,21,0.18760974513461653,1,512,128,RS,8,False,True,True,512,256,False,1,28,30,1024,8,35,64,1,23,0.20224902857142857,1,True,0.04418814297749096,True,0.2168883120082406
81,1,8,512,1,32,1,32,1,9,0.10015711118876519,1,32,16,RS,8,True,True,False,1,1024,False,16,1,29,512,1,35,512,21,1,0.10021949428571429,8,False,0.0001883011022543526,True,0.10028187738266339
82,8,8,512,1,64,1,32,128,1,0.11242683982750387,64,64,128,RS,1,False,False,False,1024,1,False,29,1,15,256,1,35,256,1,6,0.11405822857142857,1,True,0.004924287406522981,True,0.11568961731535327
83,1,1,1024,1,128,64,1,1,1,0.09265134044900307,1,32,32,RS,1,False,False,False,1,1024,True,23,2,1,256,8,35,128,17,22,0.09909926571428572,1,True,0.0194628271773207,True,0.10554719097956837
84,8,1,128,1,1,1,256,64,13,0.12434043452147266,32,1,1,RS,1,False,True,False,128,256,True,1,9,30,512,1,35,1,27,1,0.12717614285714288,8,True,0.008559482157710432,True,0.13001185119281308
85,1,1,512,32,64,256,32,1,1,0.14564665619444392,512,16,64,RS,8,True,False,False,1024,256,False,25,1,30,512,1,35,2048,4,1,0.14568914285714285,1,False,0.00012824444134033398,True,0.14573162951984178
86,8,8,256,1,1,256,64,2048,1,0.15785692481877017,128,32,1,RS,8,False,False,False,256,64,True,14,1,17,128,1,35,1024,27,13,0.15965279999999998,1,True,0.0054207837166647,True,0.1614486751812298
87,8,1,64,1,128,64,16,128,1,0.07843839694225216,32,1,64,RS,8,False,True,True,2048,512,False,1,1,13,256,1,35,2048,24,22,0.07844849142857141,1,False,3.0469838683324814e-05,True,0.07845858591489066
88,32,1,2048,1,64,64,512,128,3,0.15685280791575526,32,512,16,RS,1,True,True,False,256,2048,True,13,3,1,128,8,35,512,1,26,0.1594892,1,True,0.007957853324322368,True,0.16212559208424474
89,1,32,128,1,128,16,32,64,4,0.08541291153035555,64,1,1,RS,1,False,False,False,1024,64,False,20,1,16,512,8,35,256,14,1,0.08542222571428572,8,False,2.8114524389229876e-05,True,0.08543153989821589
90,1,8,2048,1,1,16,64,2048,1,0.14893508294373803,128,16,16,RS,1,False,False,False,512,512,False,5,1,6,128,32,35,2048,16,15,0.14953937142857143,1,True,0.0018240227455617259,True,0.15014365991340484
91,1,1,1,1,32,512,16,1,29,0.07557369455155122,16,16,32,RS,1,True,True,True,64,128,False,6,1,21,1024,1,35,128,30,1,0.07558861428571428,32,False,4.503467326314736e-05,True,0.07560353401987735
92,8,8,1,1,512,1,1,1,1,0.10793497292447485,256,128,512,RS,1,True,False,False,1,512,False,1,3,20,512,8,35,1024,23,20,0.10796794285714287,1,False,9.951853893540019e-05,True,0.10800091278981089
93,1,8,512,8,32,32,32,1024,17,0.18937694000791835,256,64,32,RS,8,True,True,False,256,128,False,11,4,1,1,1,35,2048,20,1,0.19036417142857143,8,True,0.0029799220266473352,True,0.1913514028492245
94,1,1,256,8,1,16,16,1,1,0.18388530951978255,64,64,32,RS,1,False,True,False,256,512,True,26,22,1,1,1,35,2048,7,17,0.18484371428571428,8,True,0.002892909821037126,True,0.185802119051646
95,1,1,1024,1,64,32,32,2048,1,0.1220255803486973,256,16,16,RS,1,False,True,False,512,1,False,27,12,1,256,1,35,64,9,4,0.12281462857142857,32,True,0.0023817132739235593,True,0.12360367679415983
96,1,1,1,32,1,64,128,1,1,0.08727574002102761,16,1,512,RS,1,True,True,False,256,512,False,1,25,2,1024,8,35,2048,30,14,0.09242371428571429,1,True,0.015538972507383635,True,0.09757168855040096
97,1,1,1024,32,128,1,32,64,1,0.17963535035235884,32,64,16,RS,1,False,False,False,128,1,True,1,26,1,128,1,35,1,1,5,0.1823997428571429,1,True,0.008344217923954825,True,0.18516413536192694
98,8,1,1024,1,128,256,256,2048,16,0.18638633306817587,1,256,32,RS,1,True,True,True,64,1024,True,1,4,16,256,8,35,256,1,13,0.19250748571428572,8,True,0.01847647594780444,True,0.19862863836039557
99,1,8,128,8,64,16,64,1,1,0.16608680684563656,16,64,32,RS,1,False,True,False,1024,128,False,10,30,1,2048,1,35,1,26,4,0.166172,32,False,0.00025715242839330214,True,0.1662571931543634
100,1,32,128,1,64,64,256,1024,25,0.08311244910798982,32,32,16,RS,1,True,False,False,64,64,True,24,1,19,256,8,35,1024,21,1,0.08523239142857142,8,False,0.006398968554043755,True,0.08735233374915302
101,1,1,1,32,256,64,1,2048,7,0.24950138569952446,128,256,1,RS,1,True,False,True,256,512,False,25,1,26,2048,1,35,1024,1,10,0.2511426285714286,8,True,0.004954031732326508,True,0.25278387144333275
102,1,1,2048,1,1,1,128,128,12,0.16102669929978927,128,512,1,RS,8,True,False,True,256,256,True,1,17,29,128,1,35,128,1,19,0.1646201714285714,8,False,0.010846764522159763,True,0.16821364355735355
103,32,1,1,1,64,256,1,1024,25,0.1287350559481172,16,64,1,RS,32,False,False,False,1,64,False,3,1,9,1,1,35,2048,1,12,0.1299194,1,True,0.003574899312867827,True,0.13110374405188277
104,1,1,1,32,64,64,1,256,10,0.28373729300316186,64,512,1,RS,1,False,True,False,64,1024,False,28,7,1,256,8,35,2048,29,1,0.28430202857142856,1,True,0.0017046337098913526,True,0.28486676413969525
105,1,8,1,8,256,128,1,128,16,0.1872905059897195,256,64,64,RS,1,True,True,False,2048,256,True,5,23,1,2048,1,35,256,1,2,0.18964680000000003,1,False,0.007112387506717719,True,0.19200309401028057
106,1,1,512,32,64,64,1,256,12,0.20444999112621368,64,64,512,RS,8,False,False,True,64,1,True,28,1,26,256,1,35,2048,1,3,0.2056833142857143,1,False,0.0037227409623358234,True,0.2069166374452149
107,1,1,128,1,16,16,1,256,1,0.1035000121328448,256,32,16,RS,1,False,False,True,256,256,True,1,25,6,128,1,35,128,9,21,0.10497737142857141,8,True,0.004459355136504537,True,0.10645473072429804
108,1,1,64,32,32,1,1,256,5,0.19782907295973362,128,1,1,RS,1,True,True,True,256,256,True,13,30,1,512,1,35,1,11,1,0.2000706857142857,1,False,0.006766226320151449,True,0.2023122984688378
