id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
30,True,35,0.11965023352436358,1,512,16,256,20,1,29,RS,3,1,128,512,0.11962382361849361,3.9858668685591325e-05,8,0.11963702857142859,8
31,True,35,0.12036164854677123,1,16,64,32,8,17,1,RS,21,128,1,2048,0.12031869431037162,6.482789774881369e-05,8,0.12034017142857142,1
32,True,35,0.1381692334598794,1,512,32,16,15,22,1,RS,13,1,1024,1024,0.13811168082583494,8.686026310184976e-05,8,0.13814045714285716,1
33,True,35,0.1166434559153655,1,1,128,32,17,12,1,RS,7,2048,1,256,0.11661574408463453,4.182357503336473e-05,8,0.11662960000000001,1
34,True,35,0.13175706465595124,8,64,512,16,11,1,6,RS,27,256,512,1024,0.1316029924869059,0.00023253061066870058,8,0.13168002857142858,1
35,True,35,0.30685798412296555,1,32,64,1,15,9,1,RS,15,256,128,256,0.3063353873056058,0.0007887197138012817,32,0.30659668571428567,1
36,True,35,0.11706620751594372,1,256,256,64,8,1,6,RS,22,128,1,256,0.11702802105548486,5.763221888025063e-05,8,0.1170471142857143,8
37,True,35,0.13593659738893077,1,32,64,16,13,1,4,RS,14,1,2048,512,0.1359057454682121,4.6562698568265035e-05,1,0.13592117142857144,8
38,True,35,0.15962341961720353,1,16,1,512,1,7,13,RS,18,1,64,2048,0.1595660660970822,8.655975404544613e-05,1,0.15959474285714287,32
39,True,35,0.12348770497386831,1,32,64,32,13,1,15,RS,6,512,256,512,0.12345463788327456,4.990590329483634e-05,8,0.12347117142857143,8
40,True,35,0.11519921075238782,1,256,64,1,8,1,6,RS,17,2048,1,512,0.11515553210475502,6.592120218836424e-05,8,0.11517737142857142,8
41,True,35,0.22819815500972887,8,128,32,128,19,7,1,RS,2,128,1,256,0.22814618784741394,7.843049177976854e-05,1,0.2281721714285714,8
42,True,35,0.3094684190608769,1,1,64,1,13,22,1,RS,11,256,2048,1024,0.3090462666534088,0.0006371258204000293,32,0.30925734285714285,1
43,True,35,0.12323479663825296,1,64,1,256,1,8,14,RS,23,2048,1,128,0.1231834890760328,7.743500236867518e-05,8,0.12320914285714288,8
44,True,35,0.14448181225848014,1,256,128,32,1,30,21,RS,15,128,1024,1,0.14430624488437696,0.00026497185680362183,1,0.14439402857142855,8
45,True,35,0.11273543926186595,8,64,16,1,12,28,1,RS,21,1024,1024,1024,0.11269838930956262,5.5916964677774644e-05,8,0.11271691428571429,1
46,True,35,0.3398331461336356,1,64,256,16,25,14,1,RS,2,2048,1024,64,0.3390567395806502,0.001171777427497147,32,0.3394449428571429,1
47,True,35,0.1474814577407729,8,256,128,1,13,1,4,RS,20,2048,1024,1,0.1473650565449414,0.00017567638150989113,1,0.14742325714285714,1
48,True,35,0.14517610143894863,8,1,512,256,1,1,24,RS,30,2048,1,1024,0.14509464141819425,0.0001229420503940876,1,0.14513537142857144,1
49,True,35,0.1282259107832364,8,512,16,64,6,1,30,RS,9,1,128,512,0.1281915749310493,5.18207585858039e-05,8,0.12820874285714284,1
50,True,35,0.21845084494351086,1,16,1,16,27,1,20,RS,4,1024,1,256,0.218420297913632,4.610254762981463e-05,1,0.21843557142857142,8
51,True,35,0.322955338793286,1,512,64,1,13,8,1,RS,5,128,512,1024,0.3224150040638568,0.0008154903340309793,32,0.3226851714285714,1
52,True,35,0.2508297684972584,8,128,64,16,20,14,1,RS,3,128,128,128,0.2508106886455986,2.8795918078073435e-05,1,0.2508202285714285,1
53,True,35,0.20072733760775965,32,1,64,256,13,25,1,RS,28,2048,128,1,0.20071009096366896,2.602918299422425e-05,1,0.2007187142857143,1
54,True,35,0.14277846185017298,32,512,256,512,1,16,24,RS,3,512,1024,1024,0.14271982386411267,8.849831083364447e-05,1,0.14274914285714282,1
55,True,35,0.12157566811072132,1,1,64,64,1,21,6,RS,25,128,2048,512,0.1215306176035644,6.799165615075455e-05,8,0.12155314285714286,8
56,True,35,0.1223106705451384,1,128,64,128,1,10,28,RS,10,1,256,128,0.1222850437405759,3.8676787321997454e-05,8,0.12229785714285715,8
57,True,35,0.1394615888012588,8,16,128,128,1,19,6,RS,20,256,2048,1024,0.13942315405588407,5.800693836050434e-05,1,0.13944237142857144,1
58,True,35,0.13757957546330996,8,32,512,128,1,16,12,RS,17,512,2048,1024,0.13754665310811853,4.9687464028993467e-05,1,0.13756311428571424,1
59,True,35,0.20905225526206472,8,16,16,256,30,27,1,RS,29,512,64,128,0.2090216304522211,4.621993562284145e-05,1,0.20903694285714292,1
60,True,35,0.13177045941336923,1,32,1,16,1,29,13,RS,26,128,128,64,0.13174674058663077,3.579720659492744e-05,8,0.1317586,1
61,True,35,0.13483163078910387,1,64,64,128,28,1,25,RS,1,512,512,1,0.1348066549251818,3.76943670343786e-05,8,0.13481914285714283,1
62,True,35,0.12994247870856532,1,32,1,1,22,1,3,RS,11,1,128,1024,0.12991900700572037,3.5424239366482105e-05,8,0.12993074285714284,1
63,True,35,0.22219459754623,32,64,64,64,22,10,1,RS,27,256,512,1,0.22215888816805573,5.389372762716348e-05,1,0.22217674285714287,1
64,True,35,0.18059287476746386,1,64,32,32,28,1,19,RS,3,256,1024,1,0.18054249666110758,7.603223806050864e-05,1,0.18056768571428572,1
65,True,35,0.14030204984412378,1,16,128,16,29,1,2,RS,26,1024,1024,2048,0.1402581787273048,6.621168279673339e-05,1,0.1402801142857143,32
66,True,35,0.2177294735093474,8,64,32,64,4,17,1,RS,13,256,64,256,0.21769995506208117,4.455017808434465e-05,1,0.2177147142857143,1
67,True,35,0.13326753423005894,8,16,64,16,1,11,3,RS,9,256,256,1,0.13324606576994102,3.240088182221439e-05,1,0.13325679999999998,1
68,True,35,0.16372791343370147,8,16,32,128,15,1,9,RS,19,1,128,64,0.1636398008520128,0.00013298230663344237,1,0.16368385714285713,8
69,True,35,0.23725062197932045,1,512,64,16,1,3,16,RS,30,1024,64,1024,0.23711920659210817,0.00019833627597428335,32,0.2371849142857143,1
70,True,35,0.15567877379121828,8,64,32,128,25,1,22,RS,2,1024,64,64,0.15563374049449605,6.796568161617644e-05,1,0.15565625714285716,8
71,True,35,0.2493894467548944,32,64,64,64,21,1,2,RS,17,2048,1024,2048,0.24936506753081975,3.679389922810713e-05,1,0.24937725714285708,1
