id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
66,True,35,False,1,64,16,16,1,22,16,DLMT,2,256,2048,2048,0.13677843345793936,0.13684276654206065,9.709353369670959e-05,1,0.1368106,1
67,True,35,False,1,512,32,1,1,4,16,DLMT,2,256,1024,1,0.12864038394370983,0.12867767319914733,5.627812856787433e-05,1,0.12865902857142858,1
68,True,35,False,32,512,256,128,1,9,16,DLMT,8,2048,1,2048,0.13027673872567963,0.13029566127432035,2.855851136576595e-05,1,0.1302862,1
69,True,35,False,32,256,1,64,1,8,16,DLMT,20,64,512,2048,0.13365970191034993,0.1337158409467929,8.472681670751097e-05,1,0.1336877714285714,1
70,True,35,False,32,1,64,128,1,30,16,DLMT,9,1024,128,2048,0.15100358336879285,0.15104950234549283,6.930237796668023e-05,1,0.15102654285714284,1
71,True,35,False,1,128,256,16,1,30,16,DLMT,21,512,1,256,0.1329859776090404,0.1330159652481025,4.5258297243572766e-05,1,0.13300097142857145,8
72,True,35,False,32,512,1,1,1,30,16,DLMT,20,2048,2048,1024,0.14860063043362848,0.14865068385208585,7.554220877180185e-05,1,0.14862565714285716,1
73,True,35,False,1,512,512,256,1,21,16,DLMT,29,1024,1024,1,0.14879685516330077,0.14918337340812776,0.0005833456104441739,1,0.14899011428571426,32
74,True,35,False,1,16,16,16,1,30,16,DLMT,30,1024,1,1,0.1424083284271802,0.14262898585853406,0.0003330232032119563,1,0.14251865714285714,8
75,True,35,False,1,16,128,1,1,2,16,DLMT,1,1,1024,2048,0.13977820639275265,0.13982362217867592,6.854294646573097e-05,1,0.13980091428571428,32
76,True,35,False,8,512,64,128,1,5,16,DLMT,30,1024,256,512,0.11011938560654412,0.11022821439345591,0.0001642478614777064,1,0.11017380000000002,1
77,True,35,False,8,256,512,32,1,3,16,DLMT,16,1,2048,256,0.1127918062690645,0.11282025087379265,4.292950082188734e-05,1,0.11280602857142857,1
78,True,35,False,32,128,128,512,1,21,16,DLMT,4,512,128,1024,0.14034449719892939,0.14037407422964204,4.463859408216912e-05,1,0.14035928571428571,1
79,True,35,False,1,128,512,128,1,6,16,DLMT,10,2048,1,2048,0.12923829530194467,0.12926581898376963,4.153961472903523e-05,1,0.12925205714285715,1
80,True,35,False,1,512,128,512,1,4,16,DLMT,23,1024,2048,2048,0.14813039148566468,0.14820137994290675,0.00010713803417716174,1,0.1481658857142857,32
81,True,35,False,1,1,512,64,1,2,16,DLMT,27,512,1,1024,0.14765103618123346,0.1476942781044808,6.526208387599e-05,1,0.14767265714285713,32
82,True,35,False,1,128,512,16,1,20,16,DLMT,30,2048,512,512,0.14899768562888335,0.1490478572282595,7.572057116767488e-05,1,0.14902277142857143,32
83,True,35,False,1,32,128,32,1,21,16,DLMT,16,2048,512,128,0.14883267430896358,0.14887858283389355,6.928660382344978e-05,1,0.14885562857142856,32
