id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
56,False,10,512,1,0.08137014000000001,1,10,DLMT,0.07118595910630057,0.016431530365501566,True,1,512,True,True,True,False,True,0.09155432089369944,False
57,True,10,64,1,0.06360549,1,18,DLMT,0.0550989411026693,0.01372477747312866,True,1,1,True,True,False,False,False,0.0721120388973307,False
58,True,10,64,1024,0.02940868,2,11,DLMT,0.02493797265602583,0.007213202931541576,True,1,1,True,True,True,True,True,0.033879387343974166,False
59,True,10,128,8,0.01979329,1,23,DLMT,0.016783478277206845,0.004856140443078226,True,1,1,True,False,False,True,True,0.022803101722793158,False
60,False,10,16,128,0.06885404,1,21,DLMT,0.059167987637570585,0.015627831553302586,True,1,1,True,True,True,True,False,0.07854009236242943,False
61,False,10,2048,4,0.04093036,1,10,DLMT,0.0381721384957114,0.004450215572126815,True,1,1,True,False,True,True,True,0.0436885815042886,False
62,False,10,128,512,0.06793176,30,1,DLMT,0.06207053515231849,0.009456714788254956,True,1,1,True,True,False,True,True,0.0737929848476815,False
63,True,10,128,2048,0.05916283,20,1,DLMT,0.05759329807087706,0.0025323402856053923,True,1,1,True,True,False,True,False,0.06073236192912294,False
64,False,10,1,16,0.06451335,1,29,DLMT,0.059458583546287185,0.008155545285540381,True,1,1,True,False,False,True,False,0.06956811645371282,False
65,True,10,2,2048,0.06582265000000001,3,14,DLMT,0.0597911471681886,0.009731447522876541,True,1,1,True,False,False,True,True,0.07185415283181142,False
66,True,10,2,8,0.0698147,30,1,DLMT,0.06231391181719713,0.012102046308620702,True,1,1,True,False,True,True,False,0.07731548818280286,False
67,True,10,1,1,0.06728692,2,2,DLMT,0.05826734861901852,0.014552506733466919,True,1,1,True,False,True,True,True,0.07630649138098147,False
68,True,10,2048,128,0.038878550000000005,1,29,DLMT,0.034993333526336864,0.006268550522608874,True,1,1,True,False,False,True,True,0.042763766473663145,False
69,False,10,1,2,0.06829303,21,1,DLMT,0.06163932311042778,0.010735334332758343,True,1,1,True,False,True,True,True,0.07494673688957224,False
70,True,10,512,16,0.03519683999999999,10,5,DLMT,0.03166440674016349,0.005699357167646189,True,1,1,True,False,True,True,False,0.038729273259836494,False
71,True,10,1,128,0.06481569000000001,1,10,DLMT,0.05719863237089947,0.012289639690686624,True,1,1,True,True,True,True,False,0.07243274762910054,False
72,True,10,8,4,0.06997230000000002,1,30,DLMT,0.060448596657090035,0.015365891700516441,True,1,1,True,True,True,True,True,0.07949600334291,False
73,False,10,8,1,0.059649589999999995,6,5,DLMT,0.05558083269321171,0.0065646820234418046,True,1,1,True,False,False,True,False,0.06371834730678828,False
74,True,10,8,128,0.07463138999999999,23,1,DLMT,0.06768896165465876,0.011201168101537448,True,1,1,True,False,False,True,True,0.08157381834534122,False
75,True,10,2048,2,0.0888264,29,1,DLMT,0.07878776313472621,0.01619670430069031,True,1,1,True,True,True,True,False,0.09886503686527379,False
76,True,10,2,32,0.06994392,1,1,DLMT,0.05859511080217583,0.018310584316280024,True,1,1,True,True,False,True,True,0.08129272919782418,False
77,False,10,16,2048,0.06345049,4,1,DLMT,0.056205948383506066,0.011688608715621374,True,1,1,True,False,True,True,False,0.07069503161649393,False
78,False,10,2048,4,0.09421309,9,2,DLMT,0.08664517332396555,0.012210353877627792,True,1,1,True,True,True,True,True,0.10178100667603444,False
79,True,10,1024,256,0.09722802,26,1,DLMT,0.09083671376232388,0.010311967512730053,True,1,1,True,False,True,True,False,0.10361932623767611,False
80,False,10,128,256,0.017353050000000002,1,18,DLMT,0.014865846138696199,0.00401294578314983,True,1,1,True,False,True,True,True,0.019840253861303805,False
81,False,10,1,8,0.06355761000000001,5,7,DLMT,0.05489221830039737,0.013981060266621414,True,1,1,True,False,True,True,False,0.07222300169960266,False
82,False,10,2048,8,0.07297758,2,2,DLMT,0.07038423469149024,0.004184198280626765,True,1,1,True,False,False,True,True,0.07557092530850976,False
83,True,10,4,2048,0.05910369,5,1,DLMT,0.05723158800970249,0.0030205179014367732,True,1,1,True,False,True,True,False,0.06097579199029751,False
84,False,10,8,2,0.06738326,17,1,DLMT,0.059638387590195414,0.012495860738036418,True,1,1,True,False,True,True,True,0.07512813240980458,False
85,True,10,256,32,0.07171907,8,1,DLMT,0.06049705670068384,0.01810600717077346,True,1,1,True,False,False,True,True,0.08294108329931615,False
86,False,10,2048,1,0.06501387,2,21,DLMT,0.054132203141542184,0.017556879760712036,True,1,1,True,False,False,True,False,0.07589553685845782,False
87,False,10,1,256,0.06532844,8,1,DLMT,0.05826770845384065,0.01139204281761616,True,1,1,True,False,False,True,True,0.07238917154615936,False
88,False,10,1,1,0.06313131,1,30,DLMT,0.05670351299485242,0.010370843053141824,True,1,1,True,False,True,True,True,0.06955910700514757,False
89,False,10,256,1,0.07013089,1,1,DLMT,0.05811224074948142,0.019391328784663008,True,1,1,True,False,True,True,False,0.08214953925051859,False
90,True,10,64,1,0.07786707000000001,19,2,DLMT,0.0633288204150431,0.023456544223821634,True,1,1,True,False,False,True,False,0.09240531958495692,False
91,True,10,1,2048,0.06388759,24,1,DLMT,0.05632132382546459,0.012207690898073232,True,1,1,True,False,True,True,True,0.0714538561745354,False
92,True,10,1,16,0.06324663999999999,1,21,DLMT,0.05770341933466165,0.008943635196182813,True,1,1,True,False,False,True,False,0.06878986066533833,False
93,True,10,2048,128,0.052446990000000006,4,7,DLMT,0.040569806330578356,0.019163083036111386,True,1,1,True,False,True,True,False,0.06432417366942166,False
94,False,10,128,2048,0.02963147,4,10,DLMT,0.025387145204544045,0.006847949038369079,True,1,1,True,False,False,True,True,0.03387579479545595,False
95,True,10,8,256,0.025595879999999998,1,7,DLMT,0.022279008415071525,0.005351562068181588,True,1,1,True,False,False,True,True,0.02891275158492847,False
96,True,10,1,2,0.05589212000000001,30,1,DLMT,0.05194714948937578,0.006364959873840526,True,1,1,True,False,True,True,True,0.05983709051062424,False
97,False,10,4,128,0.06916105000000002,1,29,DLMT,0.0616540760078933,0.012112026719855765,True,1,1,True,False,False,True,False,0.07666802399210673,False
98,False,10,128,32,0.06448453,30,1,DLMT,0.05709859061761778,0.0119167450486322,True,1,1,True,False,False,True,False,0.07187046938238222,False
99,False,10,256,512,0.01748133,1,28,DLMT,0.014637695600223516,0.004588023865249613,True,1,1,True,False,True,True,True,0.020324964399776484,False
