id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
54,True,35,False,8,32,256,16,1,29,21,RSL,20,128,1,512,0.15881373559220305,0.1588631215506541,7.453485693257312e-05,1,0.15883842857142857,8
55,True,35,False,32,32,64,128,10,26,1,RSL,22,256,512,2048,0.20429237932814118,0.20431642067185882,3.628395946263082e-05,1,0.2043044,1
56,True,35,False,1,1,256,16,1,14,24,RSL,5,512,256,2048,0.14620924161921026,0.14625035838078973,6.205472239425782e-05,1,0.1462298,1
57,True,35,False,1,128,256,16,18,1,2,RSL,22,128,1,512,0.14144038803479977,0.1414635548223431,3.4964051509501335e-05,1,0.14145197142857144,32
58,True,35,False,1,128,64,256,21,7,1,RSL,4,1,1,128,0.19638036564175823,0.19639934864395606,2.8649749794111754e-05,1,0.19638985714285714,32
59,True,35,False,1,1,32,128,1,29,1,RSL,24,128,1024,64,0.2345792736714728,0.23460684061424153,4.160490551924621e-05,1,0.23459305714285716,8
60,True,35,False,1,256,16,1,11,1,8,RSL,12,1,64,2048,0.11652424289802477,0.11657861424483237,8.20589633701748e-05,8,0.11655142857142857,8
61,True,35,False,1,64,128,32,4,1,17,RSL,9,512,1,2048,0.13726903085530162,0.13730022628755556,4.708113708681739e-05,1,0.1372846285714286,8
62,True,35,False,1,256,256,64,30,1,3,RSL,22,2048,1024,1024,0.13570194638337668,0.135724339330909,3.379614758869211e-05,8,0.13571314285714284,1
63,True,35,False,8,1,16,512,1,5,28,RSL,22,1024,512,64,0.1119892633927677,0.11202102232151802,4.793158389510846e-05,8,0.11200514285714286,1
64,True,35,False,8,1,512,16,1,26,24,RSL,30,512,1,256,0.13314508873380704,0.1331931398376215,7.252025192162426e-05,1,0.13316911428571426,8
65,True,35,False,1,128,1,1,11,1,27,RSL,23,64,1024,1024,0.11868338829672197,0.11871489741756373,4.755456586589597e-05,8,0.11869914285714285,8
66,True,35,False,1,256,128,16,1,1,8,RSL,23,1,1,2048,0.2617119836944339,0.26197133059128025,0.00039141457326377963,32,0.26184165714285706,1
67,True,35,False,32,1,256,32,1,13,5,RSL,25,128,2048,2048,0.13615911070809916,0.1361798035776151,3.123033585395689e-05,1,0.13616945714285714,1
68,True,35,False,1,1,1,128,29,1,14,RSL,25,1,2048,512,0.11952283501473089,0.11954505069955483,3.352861707952402e-05,8,0.11953394285714286,8
69,True,35,False,1,1,64,128,14,14,1,RSL,15,1024,2048,1,0.11766541249335039,0.11769333036379245,4.2134536708897994e-05,8,0.11767937142857142,1
