id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
118,1,1,4,128,1,32,inf,2048,False,32,DLMT,2048,True,False,False,False,1,32,1,True,2,25,128,32,1,2,1,inf,1,inf,4,False,6,1,2048,inf,5,1
119,2,64,32,1,8,256,3.6717855395411356,512,False,1,DLMT,2048,True,False,False,False,32,32,1,True,2,21,256,32,10,27,4,3.6719790000000003,1,0.0003121361882255462,16,True,1,1,1,3.672172460458865,1,20
120,256,1,16,256,8,1024,5.630899944584299,8,False,1,DLMT,256,False,False,False,False,16,1024,22,False,1,30,32,32,10,1,1,5.632524999999999,32,0.0026219239119395143,4,True,27,1,512,5.6341500554157,1,26
121,16,64,1,1,16,16,3.3926902011957116,4,False,64,DLMT,32,True,False,True,False,16,8,1,False,2,24,32,16,10,18,8,3.3931130000000005,2,0.0006821590723577569,4,True,21,1,1,3.3935357988042893,8,1
122,1,4,128,2,2,2048,3.5031011270004133,4,False,1024,DLMT,512,True,True,True,False,2,1024,1,False,16,6,16,8,10,17,1,3.5044450000000005,4,0.002168253905796073,8,True,1,1,1,3.5057888729995876,7,1
123,4,1,64,4,4,512,2.3012572692668374,4,False,512,DLMT,128,False,True,False,True,16,128,11,False,2,30,1024,1,10,1,1,2.301339,4,0.00013186735759848384,1,True,1,6,32,2.3014207307331627,6,1
124,2,1,256,64,32,512,4.35345180576657,4,False,32,DLMT,1,False,True,False,True,8,1,24,True,16,20,128,8,10,1,8,4.353619,4,0.0002697572983256208,1,True,16,1,16,4.353786194233431,28,1
125,8,2,256,32,8,2048,inf,32,False,32,DLMT,1,False,True,True,False,1,8,1,True,8,8,2048,1,1,9,16,inf,16,inf,8,False,10,1,256,inf,1,18
126,64,8,4,512,256,512,3.286361187158316,128,False,16,DLMT,4,True,False,True,True,2,64,1,True,32,30,256,1,10,20,1,3.286632,16,0.00043693935505975174,4,True,29,1,1024,3.286902812841684,5,1
127,64,64,64,64,4,64,2.680829872928716,1,False,64,DLMT,128,True,False,True,False,1,2,3,False,1,27,2048,1,10,1,32,2.680904,8,0.00011959933110172826,1,True,1,1,64,2.680978127071284,1,26
128,16,512,4,256,8,512,2.187752112030558,2,False,512,DLMT,4,True,True,False,True,4,256,18,True,16,26,64,2,10,1,4,2.187854,1,0.00016438978070435032,2,True,9,1,16,2.1879558879694425,1,27
129,16,8,64,128,4,256,4.51225012920473,1,False,16,DLMT,2048,False,False,True,False,4,1,13,True,32,6,64,4,10,1,4,4.51327,2,0.0016454968854422334,2,True,1,26,2048,4.51428987079527,1,5
130,512,256,4,1,32,128,2.4060086481253427,256,False,256,DLMT,32,True,True,False,True,32,8,1,True,2,8,1024,4,10,26,1,2.4060940000000004,4,0.00013770983988081335,4,True,24,1,512,2.406179351874658,22,1
