id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
69,2048,1,1024,16,1.6114924269455864,2048,False,8,DLMT,2048,False,False,False,True,30,17,True,1,13,16,10,1,8,1.852647,0.3890876184627314,True,True,1,4,256,2.0938015730544133,16
70,16,8,2,2,2.64959762868258,1,False,2048,DLMT,2048,True,False,True,False,12,1,True,1,23,4,10,27,16,2.7156779999999996,0.10661649073196881,True,True,32,1,32,2.781758371317419,15
71,64,256,16,4,2.485515807360919,256,False,256,DLMT,16,True,False,True,False,1,8,True,15,9,16,10,1,4,2.5171490000000003,0.05103815130860443,True,True,16,8,64,2.5487821926390817,25
72,16,256,8,1,2.5150768746737033,32,False,1,DLMT,1024,True,True,False,False,11,28,False,1,23,1,10,1,1,2.561945,0.075618749559881,True,True,1,16,32,2.608813125326297,3
73,32,2,32,2048,2.452657171430498,512,False,1024,DLMT,32,False,False,False,False,1,19,True,1,20,16,10,1,2,2.511225,0.09449547917757761,True,True,4,16,2048,2.569792828569502,30
74,1,1,1,1,6.408467361532431,1,True,1,DLMT,1,False,False,False,False,1,1,False,1,1,1,10,1,1,6.408639000000001,0.00027692778842149655,True,False,1,1,1,6.408810638467571,1
75,1,32,16,16,inf,1,False,1,DLMT,512,True,False,True,True,1,10,True,12,21,32,1,1,4,inf,inf,False,True,8,16,512,inf,13
76,1,2048,4,16,inf,1,False,1,DLMT,512,False,False,True,False,1,1,False,16,10,32,1,23,4,inf,inf,False,True,4,16,16,inf,7
77,1,32,1,256,2.6033488815311645,1,False,128,DLMT,512,True,True,False,False,1,1,False,1,6,32,10,30,4,2.642181,0.06265316184359733,True,True,8,16,2048,2.6810131184688353,29
78,1,8,128,16,inf,1,False,128,DLMT,512,True,True,True,False,2,1,True,1,2,32,1,9,4,inf,inf,False,True,4,16,256,inf,1
79,1,1024,2,1,inf,1,False,1024,DLMT,512,True,False,True,False,18,30,False,1,27,32,1,1,4,inf,inf,False,True,2,16,1,inf,21
80,1,32,128,2048,4.354819926874933,1,False,64,DLMT,512,True,True,True,False,9,1,True,1,8,32,10,20,4,4.437156,0.1328440352593974,True,True,1,16,2048,4.5194920731250665,17
81,1,16,64,16,inf,1,False,2048,DLMT,512,True,True,True,False,1,29,False,26,24,32,1,1,4,inf,inf,False,True,8,16,256,inf,25
82,1,8,1,1,inf,1,False,32,DLMT,512,True,True,True,False,1,1,True,2,3,32,1,18,4,inf,inf,False,True,2,16,512,inf,12
83,1,64,256,1,4.526656003900811,1,False,1,DLMT,512,False,True,False,True,1,9,True,2,16,32,10,1,4,4.619610000000001,0.1499753809796795,True,True,1,16,8,4.71256399609919,21
84,1,1,8,16,inf,1,False,1024,DLMT,512,True,True,True,True,1,12,True,30,8,32,1,1,4,inf,inf,False,True,2,16,2048,inf,9
85,1,512,1,32,4.712636797336577,1,False,1,DLMT,512,False,False,True,False,12,23,True,1,20,32,10,1,4,4.764764,0.08410393750592188,True,True,1,16,32,4.816891202663424,30
86,1,8,32,2,inf,1,False,32,DLMT,512,False,True,False,True,1,30,True,19,4,32,1,1,4,inf,inf,False,True,8,16,32,inf,7
87,1,128,8,1,4.394891640459263,1,False,1024,DLMT,512,False,False,False,False,6,1,True,1,8,32,10,22,4,4.446915,0.08393639320938205,True,True,1,16,1024,4.498938359540737,2
88,1,1,512,16,2.5887863291346926,1,False,256,DLMT,512,False,True,False,True,25,24,False,1,1,32,10,1,4,2.639115,0.08120212044645143,True,True,8,16,16,2.689443670865307,26
89,1,1,8,64,inf,1,False,128,DLMT,512,False,False,False,True,1,1,False,23,20,32,1,22,4,inf,inf,False,True,2,16,1,inf,29
90,1,512,512,64,inf,1,False,2048,DLMT,512,True,False,False,False,1,13,False,7,2,32,1,1,4,inf,inf,False,True,8,16,512,inf,29
91,1,128,1,1,inf,1,False,2048,DLMT,512,True,True,True,True,24,1,False,1,30,32,1,17,4,inf,inf,False,True,8,16,8,inf,2
92,1,2048,512,1,inf,1,False,2048,DLMT,512,True,True,False,True,1,10,False,22,22,32,1,1,4,inf,inf,False,True,2,16,1,inf,29
93,1,2,32,256,4.6975881420087715,1,False,2048,DLMT,512,False,True,False,False,1,1,True,10,27,32,10,13,4,4.747609000000001,0.08070548388430618,True,True,1,16,1,4.79762985799123,10
94,1,1,4,16,4.356228007334147,1,False,4,DLMT,512,True,True,False,False,1,1,False,29,16,32,10,30,4,4.421825,0.1058365899157755,True,True,1,16,512,4.487421992665853,17
95,1,1,128,256,inf,1,False,2048,DLMT,512,False,False,True,False,29,1,False,1,26,32,1,22,4,inf,inf,False,True,2,16,2048,inf,18
96,1,32,1,16,2.507069724847637,1,False,1,DLMT,512,False,True,True,True,1,1,True,14,17,32,10,5,4,2.54328,0.05842298383341952,True,True,2,16,2048,2.5794902751523634,14
97,1,256,4,1,inf,1,False,256,DLMT,512,False,False,False,False,29,15,False,1,25,32,1,1,4,inf,inf,False,True,4,16,512,inf,22
98,1,8,4,1,4.744085535221034,1,False,512,DLMT,512,False,False,False,True,3,25,False,1,29,32,10,1,4,4.804032000000001,0.09671982131910706,True,True,1,16,1024,4.863978464778969,16
99,1,8,1,32,4.451378333799547,1,False,128,DLMT,512,True,True,True,True,5,8,False,1,24,32,10,1,4,4.543422,0.1485066213877348,True,True,1,16,32,4.635465666200452,1
100,1,4,64,8,2.5621665986956588,1,False,16,DLMT,512,True,True,False,False,1,19,True,19,24,32,10,1,4,2.5972980000000003,0.056682289262167194,True,True,4,16,8,2.632429401304342,19
101,1,1,64,16,inf,1,False,256,DLMT,512,True,True,True,False,1,1,False,17,30,32,1,30,4,inf,inf,False,True,8,16,1,inf,23
102,1,4,4,1,inf,1,False,16,DLMT,512,False,False,False,False,12,1,False,1,24,32,1,8,4,inf,inf,False,True,8,16,4,inf,22
103,1,2,16,128,4.444729394642516,1,False,64,DLMT,512,False,False,False,False,19,9,True,1,30,32,10,1,4,4.497729,0.08551150395707,True,True,1,16,1024,4.550728605357484,7
104,1,1,512,64,2.5326709304670083,1,False,4,DLMT,512,True,True,False,True,1,25,False,11,12,32,10,1,4,2.580771,0.07760641345275528,True,True,2,16,128,2.6288710695329915,22
105,1,1,1,4,inf,1,False,1,DLMT,512,True,False,True,False,23,2,True,1,5,32,1,1,4,inf,inf,False,True,4,16,1024,inf,7
106,1,64,32,2048,4.4297564253262,1,False,64,DLMT,512,False,True,True,False,1,1,False,1,26,32,10,1,4,4.480846,0.08242979051289659,True,True,1,16,1,4.531935574673799,5
107,1,16,128,4,4.387509202471925,1,False,16,DLMT,512,True,False,True,True,29,1,True,1,7,32,10,17,4,4.449016,0.09923731931083178,True,True,1,16,4,4.5105227975280755,14
108,1,128,512,1,4.4358126504978985,1,False,1024,DLMT,512,True,True,True,False,30,1,True,1,5,32,10,2,4,4.51316,0.12479504589525976,True,True,1,16,16,4.590507349502102,29
109,1,256,512,128,2.582795534123825,1,False,256,DLMT,512,False,False,False,False,1,3,True,9,16,32,10,1,4,2.6248829999999996,0.06790545855084111,True,True,8,16,512,2.666970465876174,17
110,1,2,512,2048,2.5042965976189384,1,False,64,DLMT,512,True,False,False,False,29,19,True,1,23,32,10,1,4,2.5795690000000002,0.12144725023235392,True,True,8,16,1,2.654841402381062,6
111,1,8,128,1,inf,1,False,8,DLMT,512,False,True,True,True,12,16,True,1,5,32,1,1,4,inf,inf,False,True,8,16,1,inf,20
