id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
59,128,8,2,2,6.967830426576175,512,False,128,DLMT,64,False,False,0.007945487083873576,13,False,8,10,1,32,False,6.972754999999999,1,True,8,True,1,6.977679573423824,26,1
60,2048,4,2048,1,6.996370133341207,2048,False,256,DLMT,2048,True,False,0.0009420318465954492,17,False,1,10,1,8,False,6.996954,8,False,8,True,1,6.997537866658792,1,30
61,4,2048,1,512,7.018063133390158,2048,False,1,DLMT,16,True,False,0.0015954735973997347,21,False,1,10,1,1,False,7.019051999999999,1,False,1,True,1,7.020040866609841,10,1
62,32,512,4,1,6.968562541907062,64,False,2048,DLMT,1024,False,True,0.0013318243127379472,1,False,1,10,20,32,False,6.9693879999999995,32,False,1,True,2048,6.970213458092937,1,13
63,16,1,64,16,7.036185396171591,64,False,256,DLMT,512,True,True,0.004402429329358915,1,True,1,10,22,8,False,7.038914,8,True,32,True,64,7.041642603828409,29,1
64,2048,8,2,2,7.1302311350379375,1,False,2048,DLMT,1,False,True,0.001084011531303856,30,False,32,10,1,1,False,7.130903000000001,1,False,8,True,2,7.131574864962064,29,1
65,8,8,2048,512,6.991919910004333,128,False,1,DLMT,2048,True,False,0.0011569792565125005,1,False,32,10,13,1,False,6.992636999999999,1,False,32,True,1,6.993354089995665,1,23
66,1,1,1,1,7.018498214195558,1,True,1,DLMT,1,False,False,0.001100018181667866,1,False,1,10,1,1,False,7.01918,1,False,1,True,1,7.0198617858044425,1,1
67,2,32,128,128,7.024303167910999,32,False,128,DLMT,2048,False,False,0.0014098726892880417,10,True,1,10,1,8,False,7.025177000000001,1,False,8,True,2048,7.026050832089004,1,30
68,128,4,256,2048,6.9786650010115645,2048,False,512,DLMT,2048,True,False,0.0012988148443868507,7,True,8,10,1,8,False,6.979469999999999,32,False,1,True,1,6.980274998988434,1,30
69,1,1024,16,1,6.983688520551552,1,False,2048,DLMT,2048,False,False,0.008626205712826391,7,True,8,10,1,8,False,6.989034999999999,32,True,8,True,1024,6.994381479448447,1,30
