id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
269,128,2048,RS,1,1,True,8,256,True,16,128,8,True,0.10527860851268396,16,128,1,512,False,True,False,512,False,256,True,1,False,16,4,64,True,12,1,1,4,8,8,1,2.2138451174554128e-05,35,0.10529327720160177,4,0.10528594285714286,4,1,1,True,512,256,8,512,False,8,1,8,1
270,32,512,RS,1,1,False,32,16,False,256,128,8,False,0.12660326574952807,512,512,512,512,True,False,False,64,False,1,True,512,True,12,12,1,False,8,1,8,1,8,16,1,4.274996121253866e-05,35,0.12663159139332902,8,0.12661742857142855,8,8,1,True,1,1024,16,1024,True,16,8,1,1
271,32,1,RS,8,1,False,32,64,False,128,32,1,True,0.11642591475355865,128,32,256,2048,True,True,False,64,False,1,True,128,True,16,16,256,False,1,16,1,16,16,12,1,3.2166784744768994e-05,35,0.11644722810358421,8,0.11643657142857143,12,1,32,True,128,128,12,1024,False,16,8,1,1
272,256,64,RS,8,1,False,32,256,True,64,64,1,False,0.12588241318702342,32,32,1024,1024,False,True,False,16,False,16,False,1024,True,1,8,64,False,1,4,1,4,4,1,16,2.8592477960442895e-05,35,0.12590135824154797,12,0.1258918857142857,1,8,8,True,256,1024,16,64,False,1,32,1,12
273,512,1,RS,8,32,True,1,16,True,256,128,1,False,0.14620315480892782,64,128,1,1,False,True,True,128,True,128,False,128,False,8,4,256,True,1,8,8,1,16,1,12,7.059597028448535e-05,35,0.14624993090535793,12,0.14622654285714287,12,1,32,True,256,1,8,1024,True,16,8,1,1
274,128,1,RS,1,8,False,1,16,True,256,512,1,True,0.17777088710852532,128,32,256,2048,True,True,False,16,True,64,False,128,False,12,1,2048,False,16,1,4,1,16,1,8,6.398721811137423e-05,35,0.1778132843200462,16,0.17779208571428576,4,32,1,True,128,128,8,1,False,12,8,1,1
275,512,64,RS,8,32,False,1,16,False,64,128,8,True,0.1549389733351899,1,32,2048,64,True,False,True,32,True,512,False,1,False,16,16,64,True,16,1,12,1,12,1,16,3.9148028855426646e-05,35,0.15496491237909582,16,0.15495194285714287,1,1,1,True,1,512,4,1,True,8,32,1,1
276,256,2048,RS,1,8,True,1,32,True,64,1,32,False,0.08535625523775443,16,16,2048,64,True,False,False,512,False,32,False,2048,False,8,16,2048,True,1,12,16,1,16,1,8,6.128055988980708e-05,35,0.08539685904795984,16,0.08537655714285713,1,8,8,True,2048,64,1,64,True,1,1,8,12
277,32,1024,RS,8,8,False,1,256,False,128,64,8,True,0.12537935124540373,128,64,1024,128,False,True,False,128,False,256,False,1024,False,4,1,256,False,1,8,16,1,8,4,1,3.360898810783255e-05,35,0.1254016201831677,12,0.1253904857142857,8,8,1,True,2048,2048,1,64,False,1,1,1,4
278,64,1,RS,32,32,True,1,64,False,512,1,1,True,0.11200237118164319,256,16,128,512,True,True,True,64,True,16,False,1,True,16,12,1024,True,8,1,12,1,16,4,1,6.1577401102439e-05,35,0.11204317167549965,1,0.11202277142857142,16,32,1,True,128,1024,12,128,True,1,8,1,4
279,16,64,RS,8,1,False,8,512,True,16,512,8,True,0.10666382810364734,64,64,512,2048,True,False,False,128,False,512,True,2048,True,12,8,64,True,1,12,1,4,12,8,1,7.399688906863916e-05,35,0.10671285761063838,16,0.10668834285714286,16,1,1,True,128,2048,1,1024,False,8,8,8,1
280,16,512,RS,1,8,True,8,512,False,16,256,8,False,0.11633037406825635,64,128,128,64,False,False,False,128,True,256,False,512,True,12,1,128,False,1,16,1,4,16,1,8,0.00021300931473357048,35,0.11647151164602938,12,0.11640094285714286,12,8,8,True,1024,1024,8,2048,False,1,32,1,1
