id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
31,1,1,1024,0.12070478418402016,1,False,512,1,DLMT,True,False,False,True,False,11,8,512,35,0.12081710153026555,0.00016951290601639423,0.12076094285714285,1,20,True,17,8
32,2048,1,2048,0.23540578815756366,8,False,1,32,DLMT,False,False,False,True,True,17,8,512,35,0.23551952612815066,0.00017165695739004364,0.23546265714285716,7,1,True,1,1
33,64,512,512,0.23903476185473232,1,False,256,1,DLMT,False,False,False,False,False,22,1,128,35,0.23913912385955338,0.00015750645208682565,0.23908694285714285,4,2,True,1,32
34,256,1,64,0.18041670934524776,1,False,1,1,DLMT,True,False,False,False,False,2,1,64,35,0.1805764335118951,0.0002410607849502223,0.18049657142857142,21,14,True,1,1
35,512,1,2048,inf,1,False,1,512,DLMT,False,False,True,True,True,16,32,128,1,inf,inf,inf,1,17,False,4,1
36,256,128,256,inf,32,False,1,1,DLMT,False,True,False,True,True,6,1,1,1,inf,inf,inf,11,1,False,11,1
37,128,256,256,0.14366042102126553,8,False,64,64,DLMT,True,True,True,True,True,30,8,1,35,0.1437051218358773,6.746388905577971e-05,0.14368277142857142,1,23,True,11,1
38,64,1,1,0.10794752702811282,8,False,128,1,DLMT,True,True,False,False,True,30,1,512,35,0.10799624440045862,7.352580554902374e-05,0.10797188571428572,1,29,True,27,8
39,2048,128,2048,0.13033151961020048,32,False,128,1,DLMT,True,True,True,False,False,3,1,128,35,0.1305036803897995,0.0002598305161886446,0.1304176,13,17,True,1,1
40,1,128,1,0.1874842322794778,1,False,64,128,DLMT,False,False,True,False,False,7,32,1,35,0.18765136772052216,0.0002522461156433172,0.18756779999999998,10,1,True,5,1
41,256,1,512,inf,1,False,1,64,DLMT,True,True,False,False,False,3,32,256,1,inf,inf,inf,25,1,False,27,1
42,2048,1024,2048,0.15045997027941677,1,False,512,256,DLMT,True,True,False,False,True,8,32,256,35,0.15049368686344033,5.088613940626284e-05,0.15047682857142855,1,22,True,30,1
43,64,512,1024,0.19449585484726858,8,False,512,1,DLMT,True,True,True,False,True,10,8,32,35,0.19458443086701707,0.0001336817420714782,0.19454014285714283,27,1,True,26,1
44,512,1024,128,0.10771951768650154,1,False,16,512,DLMT,False,False,False,False,True,2,8,32,35,0.1079041394563556,0.0002786370384275462,0.10781182857142857,1,28,True,23,8
45,1,256,1,0.14257525519014339,32,False,1,16,DLMT,True,True,True,False,False,16,1,1,35,0.14264777338128512,0.00010944675716101133,0.14261151428571425,1,6,True,30,1
46,2048,256,1,0.28694113982648145,1,False,16,128,DLMT,False,False,False,False,True,20,1,64,35,0.28741857445923286,0.000720559510493941,0.28717985714285715,25,1,True,10,32
47,1,1024,1024,0.0945510916576162,8,False,512,64,DLMT,False,False,True,True,False,3,1,512,35,0.09459684548524096,6.905312973740337e-05,0.09457396857142858,29,1,True,23,8
48,128,2048,256,0.14934003493966627,32,False,256,128,DLMT,False,True,False,False,False,30,1,128,35,0.14942316506033373,0.0001254626182232321,0.1493816,1,7,True,8,1
49,256,64,2048,0.2383918939068753,1,False,16,256,DLMT,True,True,True,True,False,15,1,512,35,0.23848662037883908,0.0001429641998857738,0.23843925714285719,1,6,True,6,32
50,1,1,1,0.17780764188642736,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,0.1780249866850012,0.0003280236726151301,0.17791631428571428,1,1,True,1,1
51,256,2048,1024,0.09365125611337201,8,False,64,128,DLMT,True,False,True,False,True,10,1,256,35,0.09367547531519942,3.655238857043365e-05,0.09366336571428571,5,10,True,1,8
52,256,1,512,0.12433316034265969,1,False,128,32,DLMT,False,True,False,False,False,18,1,128,35,0.12442518251448313,0.00013888278422865145,0.12437917142857141,5,10,True,1,8
53,256,2048,1,0.08942604830725163,8,False,512,128,DLMT,True,True,True,False,False,10,1,512,35,0.08953436883560552,0.00016348078152042859,0.08948020857142858,5,10,True,1,8
54,256,1024,1,0.09880984516458093,1,False,512,256,DLMT,False,False,True,False,True,20,1,512,35,0.09883390912113334,3.63180874709981e-05,0.09882187714285713,5,10,True,1,8
55,256,128,128,0.08853441974022128,1,False,32,1,DLMT,True,True,True,False,False,1,1,32,35,0.08858307168835014,7.34270652430288e-05,0.08855874571428571,5,10,True,1,8
56,256,64,256,0.09953293155197039,1,False,1,32,DLMT,False,True,True,False,True,3,1,1,35,0.09958591416231534,7.996303819610164e-05,0.09955942285714287,5,10,True,1,8
57,256,1,1,0.12409451618616203,1,False,512,256,DLMT,False,True,False,False,False,28,8,1,35,0.12413782667098082,6.536555917706645e-05,0.12411617142857143,5,10,True,1,8
58,256,1,1,0.09248339015835876,1,False,512,64,DLMT,True,False,False,False,True,6,1,1,35,0.09256269555592696,0.00011969022465327298,0.09252304285714286,5,10,True,1,8
59,256,256,512,0.09242909832730775,8,False,1,32,DLMT,False,False,True,False,True,18,1,1,35,0.09252262738697795,0.00014115702722391728,0.09247586285714285,5,10,True,1,8
60,256,1,512,0.1067962939323633,8,False,32,256,DLMT,True,True,False,False,True,10,1,256,35,0.10682953463906529,5.016793023924522e-05,0.1068129142857143,5,10,True,1,8
61,256,1,1,0.10209104707843478,1,False,128,1,DLMT,False,False,True,False,False,2,8,1,35,0.10211461006442235,3.5562006784356296e-05,0.10210282857142856,5,10,True,1,8
62,256,1,2048,0.09035820789795138,8,False,512,32,DLMT,True,False,True,False,False,1,1,128,35,0.09037694067347718,2.82720997538172e-05,0.09036757428571428,5,10,True,1,8
63,256,1,512,0.12406215449241756,1,False,1,1,DLMT,False,False,False,False,False,30,1,512,35,0.12414064550758247,0.00011846113286643854,0.12410140000000001,5,10,True,1,8
64,256,1,1,0.10068320726431829,1,False,1,16,DLMT,False,True,True,False,True,23,8,512,35,0.1007118784499674,4.327146394376772e-05,0.10069754285714284,5,10,True,1,8
65,256,2048,512,0.10167783946841899,1,False,128,256,DLMT,False,True,True,False,True,30,8,512,35,0.10170141767443816,3.5584977339388724e-05,0.10168962857142858,5,10,True,1,8
66,256,1,512,0.10699490531620262,8,False,512,1,DLMT,True,False,False,False,True,15,1,128,35,0.10702840896951166,5.0564777609457205e-05,0.10701165714285714,5,10,True,1,8
67,256,2048,1,0.09812441984548664,1,False,1,32,DLMT,True,False,False,False,True,12,1,64,35,0.0982260715830848,0.00015341603071919455,0.09817524571428572,5,10,True,1,8
68,256,512,128,0.10948163958040681,8,False,64,256,DLMT,False,False,False,False,True,1,1,1,35,0.10968961756245028,0.00031388697562878803,0.10958562857142855,5,10,True,1,8
69,256,256,1,0.09559133632653816,1,False,32,128,DLMT,True,False,False,False,True,28,8,32,35,0.09582145224489044,0.0003472982521800919,0.0957063942857143,5,10,True,1,8
70,256,2048,1,0.09462328265395478,1,False,128,1,DLMT,True,True,False,False,True,1,1,1,35,0.09467516306033094,7.829955696176279e-05,0.09464922285714286,5,10,True,1,8
71,256,512,64,0.09983245825008392,1,False,512,16,DLMT,True,True,True,False,True,30,1,64,35,0.09985867889277321,3.9573026682531085e-05,0.09984556857142857,5,10,True,1,8
72,256,2048,256,0.12390338293431231,1,False,512,128,DLMT,False,False,False,False,False,2,8,256,35,0.12395478849425913,7.758290365006578e-05,0.12392908571428572,5,10,True,1,8
73,256,256,1,0.11277735744041625,8,False,32,64,DLMT,False,True,False,False,False,30,1,512,35,0.11280795684529807,4.618159364765192e-05,0.11279265714285716,5,10,True,1,8
74,256,2048,2048,0.09373845913402902,1,False,16,64,DLMT,False,True,False,False,True,1,1,32,35,0.09377431229454243,5.411072849976679e-05,0.09375638571428573,5,10,True,1,8
