id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
28,1,1,8,1,1.5478981887068692,False,DLMT,30,1,2048,35,2048,5,1,32,1,5.979966555089623e-05,1.547918,True,128,64,64,1.5479378112931306,128
29,1,64,1,8,1.5581000427333296,False,DLMT,23,1,2048,35,64,1,29,8,1,7.921348060906988e-05,1.558126285714286,True,1,1,32,1.5581525286952422,512
30,256,1,8,1,1.4907842432351213,False,DLMT,1,19,1024,35,512,18,1,8,1,0.00036234384391693145,1.4909042857142856,True,512,512,512,1.4910243281934499,1
31,64,1,32,1,1.6036114064964249,False,DLMT,1,17,1,35,2048,30,1,1,32,6.302315738954818e-05,1.603632285714286,True,64,64,32,1.603653164932147,128
32,32,512,8,1,1.4960460398923803,False,DLMT,20,1,512,35,1,27,1,1,32,0.00014821550774022336,1.4960951428571427,True,512,16,1,1.4961442458219052,2048
33,512,512,32,1,1.5026684708369182,False,DLMT,28,1,1024,35,512,1,19,32,1,9.775688294570847e-05,1.502700857142857,True,64,1,512,1.5027332434487959,1024
34,1,1,1,8,1.4811756291860632,False,DLMT,15,1,2048,35,128,1,3,1,1,7.356241276241928e-05,1.4812,True,64,512,1,1.481224370813937,512
35,256,1,8,1,1.50508879175361,False,DLMT,12,1,1,35,1,1,19,8,8,7.609017207045902e-05,1.505114,True,32,256,256,1.5051392082463901,512
36,32,2048,8,1,1.470121546883519,False,DLMT,2,1,1,35,256,8,1,1,32,7.036116739759489e-05,1.470144857142857,True,32,16,512,1.4701681674021951,512
37,1,1024,1,8,1.4926037061869855,False,DLMT,4,1,512,35,1,29,1,8,8,5.263195273766055e-05,1.4926211428571428,True,64,512,512,1.4926385795273,2048
38,64,256,1,1,1.4580769898952344,False,DLMT,3,1,2048,35,1,12,1,8,1,6.0830980291832706e-05,1.4580971428571428,True,128,128,1,1.4581172958190511,128
39,1,128,1,32,1.7151321569124092,False,DLMT,1,1,1,35,256,1,15,1,1,0.0002108188118469987,1.7152019999999997,True,512,16,64,1.7152718430875902,1
40,1,64,1,32,1.563947736021103,False,DLMT,1,19,1,35,1,3,1,8,8,0.00020260265727451495,1.5640148571428574,True,128,1,1,1.5640819782646118,2048
41,256,64,1,1,1.4735516482021467,False,DLMT,1,3,256,35,1,9,1,1,32,6.22935774853182e-05,1.4735722857142857,True,1,512,1,1.4735929232264247,1
42,512,256,8,8,1.468697086133714,False,DLMT,1,8,2048,35,512,30,1,32,1,5.6228397212274524e-05,1.4687157142857141,True,512,256,1,1.4687343424377142,256
