id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
24,32,1,1,False,1,512,64,32,256,25,0.1697703321840222,1,512,32,DLMT,1,False,False,True,2048,64,True,30,1,14,1,8,35,1,1,1,0.17104325714285712,1,True,0.0038422775488567936,True,0.17231618210169203
25,1,8,256,False,1,64,16,32,256,27,0.10891145620280775,128,256,32,DLMT,1,True,True,True,1,1,True,7,1,6,128,8,35,1024,1,27,0.10982614285714284,1,True,0.002760948296125363,True,0.11074082951147794
26,32,1,1,False,1,1,16,32,1024,1,inf,256,256,1,DLMT,1,True,False,False,256,256,True,30,20,1,64,32,1,2048,9,13,inf,1,False,inf,False,inf
27,1,1,1,False,8,512,1,1,256,27,0.15022920872465603,512,128,32,DLMT,1,True,False,False,512,1,False,26,1,22,2048,1,35,1,23,1,0.15027977142857143,1,False,0.0001526216771187188,True,0.15033033413248684
28,8,8,1024,False,1,64,16,16,1024,12,0.1205247366631853,512,512,512,DLMT,8,False,False,False,2048,2048,True,1,6,22,2048,1,35,64,1,4,0.12130854285714288,1,False,0.002365890401312033,True,0.12209234905110045
29,1,1,256,False,32,16,64,1,256,1,0.16507044700251902,32,32,16,DLMT,32,False,False,True,1024,1,False,1,14,15,64,1,35,128,30,10,0.16615291428571427,1,True,0.0032673880032958484,True,0.16723538156890952
30,8,1,2048,False,1,32,16,64,1,26,0.15507310705342706,64,128,32,DLMT,8,True,True,True,128,256,False,1,23,2,256,8,35,128,28,1,0.15517460000000002,1,False,0.00030635275652190976,True,0.155276092946573
31,1,1,512,False,32,16,64,256,2048,7,0.2976093646772865,256,128,32,DLMT,1,True,True,False,2048,512,True,29,1,26,64,1,35,1,11,1,0.29882882857142856,32,False,0.0036809072754705797,True,0.30004829246557063
32,8,1,1,False,8,256,512,1,1,16,0.13469064286515986,1,32,128,DLMT,1,True,True,False,1024,2048,True,12,10,1,256,8,35,256,2,1,0.13619491428571426,8,False,0.004540588403477673,True,0.13769918570626866
33,1,1,1,False,32,1,512,32,2048,20,0.2250999377939245,1,32,32,DLMT,8,True,True,False,2048,512,False,3,1,8,1024,8,35,128,1,30,0.22597,1,True,0.002626251027061742,True,0.2268400622060755
34,1,1,1024,False,1,256,64,64,2048,20,0.21222647275267906,1,512,1,DLMT,8,False,True,True,1,256,False,28,21,1,1024,1,35,2048,1,29,0.21226645714285716,8,False,0.00012069142302515615,True,0.21230644153303527
35,8,1,512,False,8,512,256,16,512,29,0.20650175675537097,16,32,512,DLMT,8,True,False,False,128,1,True,20,1,7,1024,8,35,2048,1,3,0.20704545714285716,1,False,0.0016411397841196872,True,0.20758915753034335
36,8,8,2048,False,1,128,64,512,128,27,0.13546550441372893,1,16,256,DLMT,1,False,False,False,512,1,True,29,12,1,256,1,35,1024,1,21,0.14538251428571428,32,True,0.029934132502041813,True,0.15529952415769963
37,1,8,128,False,8,128,32,128,256,26,0.2252725616146431,16,128,1,DLMT,32,False,True,False,1,1024,False,23,22,1,2048,1,35,2048,10,1,0.22622042857142857,1,True,0.0028611018285739816,True,0.22716829552821405
38,32,1,256,False,1,32,64,256,256,15,0.17562290091245442,512,64,512,DLMT,1,True,False,False,1,512,False,15,5,1,1024,1,35,512,26,1,0.1774211142857143,1,True,0.005427841464004577,True,0.1792193276589742
39,1,8,1,False,8,1,512,32,2048,1,0.2230683967604657,128,512,16,DLMT,32,True,False,True,1,512,True,28,1,30,64,1,35,128,26,3,0.2289488857142857,1,True,0.017750041372622094,True,0.23482937466810572
40,1,32,1,False,1,512,512,128,512,1,0.1638348839863684,64,128,128,DLMT,1,False,True,True,1024,256,True,19,1,5,1024,1,35,1,24,13,0.16496011428571428,32,True,0.0033964666074481295,True,0.16608534458506016
41,1,32,512,False,1,128,256,1,2048,4,0.13446003704266454,32,256,16,DLMT,1,True,True,True,1,64,True,1,12,28,1,8,35,128,1,22,0.13625788571428568,1,True,0.0054267406254132145,True,0.13805573438590682
42,8,1,256,False,8,16,1,32,256,25,0.10955106864163539,128,1,1,DLMT,1,True,True,True,256,128,True,1,20,20,64,1,35,64,1,3,0.11120674285714287,32,False,0.00499759221650276,True,0.11286241707265035
