id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
36,512,256,8,8,1.4759311582312002,False,DLMT,1,30,512,35,512,1,28,1,1,7.843364542525404e-05,1.4759571428571427,True,64,64,1,1.4759831274830852,64
37,1,512,1,32,1.5989622202229603,False,DLMT,29,1,128,35,256,1,15,8,1,0.00010541269721762703,1.5989971428571428,True,1,128,1,1.5990320654913253,256
38,256,512,32,1,1.475212113054521,False,DLMT,1,18,2048,35,512,1,2,1,32,4.709174718632478e-05,1.4752277142857144,True,64,1,64,1.4752433155169078,128
39,1,1024,8,1,1.4800301250125805,False,DLMT,1,30,2048,35,2048,15,1,1,32,6.947852406408849e-05,1.4800531428571426,True,512,128,512,1.4800761607017048,128
40,32,128,1,32,1.551656132985451,False,DLMT,1,15,2048,35,2048,28,1,1,32,8.411556676043598e-05,1.5516840000000003,True,1,64,1,1.5517118670145496,2048
41,128,1,1,8,1.473589559247897,False,DLMT,1,4,2048,35,1,28,1,1,1,5.048822857349582e-05,1.473606285714286,True,512,16,1,1.473623012180675,512
42,32,1,8,8,1.4730317314095904,False,DLMT,13,1,1,35,2048,1,18,32,1,5.686790996401624e-05,1.4730505714285713,True,512,1,512,1.4730694114475522,1
43,1,1,1,1,1.1043177188582245,True,DLMT,1,1,1,35,1,1,1,1,1,5.863063209967975e-05,1.1043371428571427,True,1,1,1,1.1043565668560609,1
44,16,2048,8,1,1.5056418384371568,False,DLMT,7,1,1,35,128,1,11,1,1,0.00011518928521598062,1.5056800000000001,True,1,1,512,1.5057181615628434,1
45,64,2048,32,1,1.5237749406950172,False,DLMT,3,1,512,35,2048,16,1,1,32,0.00011186216007724491,1.523812,True,512,1,1,1.5238490593049827,1
46,1,512,1,1,1.5668696465852001,False,DLMT,1,14,1,35,1,1,26,1,8,9.075825705954856e-05,1.5668997142857144,True,64,1,1,1.5669297819862287,1
47,256,1,1,8,1.4963916705652351,False,DLMT,10,1,512,35,1,1,30,1,32,8.292411086809939e-05,1.496419142857143,True,128,1,256,1.4964466151490508,1
48,512,2048,8,8,1.4651672758407752,False,DLMT,1,2,512,35,1,1,7,1,8,6.255511855268507e-05,1.4651880000000002,True,128,1,256,1.465208724159225,2048
49,512,512,1,8,1.4925504218524608,False,DLMT,1,28,2048,35,512,1,17,1,32,0.0001237772851799942,1.4925914285714286,True,1,1,32,1.4926324352903964,1
50,1,1,1,32,1.584025155331213,False,DLMT,16,1,256,35,512,1,22,1,32,0.00012501297891802615,1.5840665714285718,True,32,1,256,1.5841079875259305,2048
51,256,128,8,8,1.4818471244846267,False,DLMT,1,20,1,35,2048,1,2,1,32,5.266296378959626e-05,1.4818645714285712,True,128,1,1,1.4818820183725157,1
52,64,512,1,32,1.5590018593078403,False,DLMT,15,1,1,35,256,1,30,1,8,0.00013668674151549897,1.5590471428571426,True,512,1,256,1.559092426406445,2048
53,128,1,8,1,1.6019477004683225,False,DLMT,29,1,1,35,1,12,1,1,32,9.145803096816433e-05,1.601978,True,16,1,128,1.6020082995316773,256
54,512,128,32,1,1.4976864968433674,False,DLMT,1,6,256,35,2048,15,1,1,32,7.00810026952874e-05,1.4977097142857143,True,1,1,32,1.4977329317280612,512
55,64,2048,8,1,1.5483501998842737,False,DLMT,1,18,128,35,128,7,1,1,1,0.001056721305911519,1.5487002857142855,True,16,1,128,1.5490503715442974,1
56,32,1024,8,8,1.508347804523565,False,DLMT,1,12,128,35,2048,1,25,1,1,0.00017652334065477288,1.5084062857142857,True,1,1,512,1.5084647669050064,2048
57,64,1,1,8,1.471005705585069,False,DLMT,1,28,1,35,2048,16,1,1,8,3.452298849596651e-05,1.471017142857143,True,1,1,64,1.4710285801292171,256
58,512,1024,1,1,1.5145580922566468,False,DLMT,10,1,1,35,512,1,17,1,1,0.00019807770068890862,1.5146237142857142,True,1,1,128,1.5146893363147815,128
59,1,64,8,1,1.6556377449103037,False,DLMT,1,1,2048,35,512,1,28,1,1,0.0001999885711020435,1.655704,True,16,1,32,1.6557702550896964,2048
60,32,128,1,32,1.5489438881964894,False,DLMT,1,30,128,35,512,30,1,1,1,0.00010813974330296397,1.5489797142857145,True,32,1,64,1.5490155403749395,128
61,16,2048,8,8,1.4734164298343233,False,DLMT,15,1,128,35,128,1,30,1,1,4.613555890978655e-05,1.4734317142857143,True,64,1,1,1.4734469987371053,256
62,1,1,1,32,1.5277847046221267,False,DLMT,12,1,2048,35,1,8,1,1,8,0.00011688682822389952,1.5278234285714285,True,32,1,1,1.5278621525207303,1
63,1,2048,1,1,1.4713368278077603,False,DLMT,19,1,2048,35,2048,4,1,1,1,6.649474430668145e-05,1.4713588571428573,True,256,1,16,1.4713808864779543,512
64,256,1,32,1,1.457520601387416,False,DLMT,1,28,512,35,512,1,30,1,8,5.8554004376902285e-05,1.4575400000000003,True,32,1,512,1.4575593986125845,256
65,512,1,1,32,1.5747135020620364,False,DLMT,30,1,512,35,2048,1,28,1,1,0.00010758043976675911,1.574749142857143,True,256,1,256,1.5747847836522495,1
66,1,2048,32,1,1.5067040561883809,False,DLMT,1,26,1,35,1,29,1,1,32,6.019966777316757e-05,1.5067239999999997,True,256,1,32,1.5067439438116186,2048
67,512,1,8,8,1.4571920244179795,False,DLMT,1,13,1024,35,512,30,1,1,8,5.080896594508931e-05,1.4572088571428572,True,1,1,64,1.457225689867735,512
68,128,1,1,8,1.5291107732700464,False,DLMT,30,1,256,35,256,1,4,1,32,0.00024690475731274853,1.5291925714285715,True,16,1,16,1.5292743695870965,2048
69,256,2048,1,32,1.546591040334435,False,DLMT,1,4,1,35,2048,3,1,1,32,0.00010207480250345911,1.5466248571428571,True,32,1,128,1.5466586739512793,256
70,32,512,8,1,1.1148348174522107,False,DLMT,21,1,2048,35,2048,29,1,1,32,8.118711066896719e-05,1.1148617142857142,True,1,1,1,1.1148886111192178,256
71,512,64,8,8,1.4737056768490209,False,DLMT,27,1,1,35,512,20,1,1,1,0.00010619043348279107,1.4737408571428572,True,1,1,1,1.4737760374366935,1
72,128,128,32,1,1.483042004032068,False,DLMT,1,2,1,35,1,1,17,1,1,7.329337191960989e-05,1.4830662857142858,True,128,1,64,1.4830905673965036,128
73,1,1,8,1,1.4872015009798298,False,DLMT,1,27,512,35,1024,1,12,1,32,8.602325267043965e-05,1.48723,True,512,1,128,1.4872584990201703,128
74,1,1024,1,8,1.4989238559822595,False,DLMT,30,1,2048,35,256,17,1,1,32,9.616312671070076e-05,1.4989557142857144,True,512,1,512,1.4989875725891693,1024
75,512,512,32,1,1.4771362748103294,False,DLMT,1,20,2048,35,1,1,1,1,32,0.00011387210871348556,1.4771739999999998,True,512,1,512,1.4772117251896701,64
76,128,512,8,1,1.5552283090215338,False,DLMT,7,1,128,35,2048,19,1,1,8,5.6849245682723525e-05,1.555247142857143,True,32,1,128,1.5552659766927523,1
