id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
88,4,1,256,False,2,2,1,4,16,15,5.118008794578816,2,4,32,RS,1,True,True,True,256,128,True,26,29,1,16,2,10,64,13,1,5.120533,2,False,0.00407264545473837,True,5.123057205421184
89,2,4,64,False,1,1024,256,4,1,30,5.718432527716599,32,8,4,RS,1,False,False,False,256,64,False,17,1,19,2048,1,10,1024,1,14,5.721705,32,True,0.005279926609338324,True,5.724977472283401
90,2,16,64,False,1,32,64,4,2048,22,3.1062171278046367,1,2,64,RS,2,False,False,False,1,1,True,1,7,17,2048,1,10,1,24,1,3.3085430000000002,8,False,0.32643997071590364,True,3.510868872195364
91,2,1,4,False,2,32,16,256,256,1,5.422085426302867,64,1,4,RS,1,False,False,False,512,8,True,30,2,1,2048,1,10,2048,6,25,5.424176,1,False,0.0033730081529696524,True,5.426266573697133
92,4,4,1,False,4,128,1,256,8,25,5.247114274649594,512,256,128,RS,2,False,False,True,512,1,False,29,29,1,1024,2,10,1,1,12,5.247398,1,False,0.0004577728694451907,True,5.247681725350406
93,1,8,1,False,4,2,1,16,8,6,4.773961608633988,1,256,32,RS,32,False,False,True,1024,1024,True,1,9,11,1,2,10,1024,6,1,4.777283,1,True,0.005358854448480524,True,4.780604391366011
94,1,4,2048,False,16,16,8,32,64,2,14.486866853185019,1024,256,1,RS,8,True,False,True,1,256,True,1,26,28,1,2,10,64,1,19,14.49137,2,False,0.007265541961891206,True,14.495873146814981
95,2,8,64,False,8,8,512,1,512,1,18.31781203744799,8,16,8,RS,2,True,True,False,2048,128,True,12,17,1,128,16,10,512,20,18,20.60964,1,True,3.6977191540732246,True,22.901467962552008
96,1,4,2048,False,16,64,2,32,1024,15,2.100776642399564,1,4,2048,RS,2,False,False,False,2,2048,True,23,1,3,512,1,10,1,18,1,2.1724449999999997,32,True,0.11563235241488432,True,2.2441133576004355
97,2,8,256,False,4,4,2,16,512,1,7.073690526761775,64,32,64,RS,4,False,False,True,64,1024,True,21,1,24,1024,8,10,1024,1,30,7.099563000000001,2,False,0.041743595688440736,True,7.125435473238227
98,1,4,2048,False,16,512,512,256,512,12,13.816320816640424,32,2,2,RS,4,False,False,True,128,32,True,14,17,1,1024,8,10,1024,1,4,13.831890000000001,2,True,0.02511989052523928,True,13.847459183359579
99,8,4,2,False,4,4,128,64,1,13,3.5060763918389766,32,2,1024,RS,2,False,False,False,512,2048,False,13,23,1,2048,4,10,256,1,9,3.5063829999999996,1,False,0.0004946928339889816,True,3.5066896081610226
100,4,1,16,False,1,2,4,1,2048,21,2.255746421564443,4,2,64,RS,1,False,False,False,16,1,True,26,9,1,2,2,10,2048,1,22,2.28618,2,True,0.04910264982666412,True,2.3166135784355566
101,4,4,512,False,4,256,64,32,1,1,5.857774279597322,512,256,1,RS,8,False,False,False,1024,1024,True,30,3,1,1024,8,10,256,2,11,5.879894999999999,1,True,0.03569038028657026,True,5.902015720402677
102,16,2,64,False,4,4,256,16,512,23,7.9601250736070055,2048,8,8,RS,4,True,False,False,1,32,False,1,23,6,1,8,10,512,6,1,7.971202,8,True,0.017871918643503334,True,7.982278926392994
103,2,1,8,False,32,16,1,1,1024,5,2.3024507260017444,1,1,2,RS,1,False,True,True,4,128,True,1,26,3,2048,4,10,1024,25,1,2.361223,16,False,0.09482533891845579,True,2.4199952739982553
104,8,2,4,False,1,16,64,128,512,1,11.461611700420065,64,1,8,RS,16,True,False,True,512,2048,True,28,19,1,512,2,10,2048,17,17,13.00816,2,True,2.4952576561148945,True,14.554708299579936
105,4,8,32,False,8,1,128,8,128,27,18.757417182269403,512,32,128,RS,1,False,False,False,1024,2048,True,4,10,1,64,1,10,8,14,1,20.17746,32,False,2.2911490794795526,True,21.597502817730597
106,2,8,128,False,2,256,256,4,2048,1,6.403439946861809,2,32,4,RS,4,True,False,False,16,1,False,11,1,3,256,1,10,128,15,19,7.095466,8,True,1.1165401738782177,True,7.787492053138191
107,1,1,1,False,1,1,32,16,256,1,14.682431685007971,1024,512,16,RS,8,True,True,False,1,16,False,28,8,1,2048,1,10,2048,24,8,16.5132,1,True,2.95382863619405,True,18.343968314992033
108,4,8,4,False,2,2,128,256,2048,9,17.938123516792896,16,1,8,RS,16,False,True,True,512,128,True,1,13,24,4,4,10,1,1,5,17.942860000000003,2,False,0.0076420154409686525,True,17.94759648320711
109,4,4,2048,False,8,8,2048,4,2048,7,8.566690904999554,1,128,128,RS,1,False,True,True,64,1,True,25,1,8,32,8,10,256,26,1,8.711678,8,False,0.23392748802994473,True,8.856665095000444
110,16,2,2,False,2,2,2,32,2048,4,3.6582552354970135,8,2,1,RS,4,True,False,True,8,8,False,3,1,29,128,4,10,128,1,14,3.6611070000000003,16,True,0.00460114127146737,True,3.663958764502987
111,2,2,512,False,32,1,8,1,256,8,3.4153886534219886,4,1,32,RS,1,False,True,False,128,256,True,1,19,21,64,4,10,2048,1,17,3.4187600000000002,2,False,0.0054394540167189715,True,3.422131346578012
112,1,8,1024,False,8,8,8,128,1,28,5.35089309291043,2,32,4,RS,4,True,False,True,4,64,False,13,10,1,128,16,10,256,1,19,5.3510159999999996,1,False,0.0001983027987701243,True,5.351138907089569
113,1,32,2048,False,2,1,128,4,1,22,10.533564699653965,2,256,128,RS,1,False,False,False,1024,128,True,1,6,30,32,2,10,256,1,17,10.53744,16,False,0.006252551479196136,True,10.541315300346035
114,2,1,16,False,2,512,32,512,512,21,5.070898039283721,256,8,16,RS,8,True,True,True,256,64,True,26,17,1,512,2,10,1024,1,3,5.07418,8,True,0.005295235594380967,True,5.077461960716279
115,1,1,256,False,2,4,256,2048,1024,24,8.004665503346192,4,32,4,RS,2,True,True,False,256,1,False,7,1,11,2048,4,10,2048,1,16,8.008046,8,True,0.005454217084055036,True,8.011426496653808
116,2,2,2048,False,2,2,32,4,32,1,2.7829217500328642,4,4,4,RS,1,False,False,False,4,4,True,2,1,4,32,4,10,1,13,4,2.8243329999999998,1,False,0.06681442704236867,True,2.8657442499671353
117,16,2,64,False,4,64,2,4,2048,12,3.4190159393438497,2048,8,1,RS,8,True,True,True,2048,1,True,4,27,1,256,8,10,8,9,1,3.5174250000000002,4,True,0.15877678188261665,True,3.6158340606561508
118,8,8,2048,False,4,32,2,8,128,1,16.634936858916188,2048,256,512,RS,1,True,False,True,1,1,True,2,1,15,2048,2,10,256,8,20,16.64041,32,True,0.008830566233259845,True,16.64588314108381
119,1,4,1,False,8,4,256,4,1,19,4.241783393847117,4,2048,2,RS,8,False,True,False,512,32,False,6,29,1,64,4,10,8,12,1,4.248062,1,True,0.010130133069214764,True,4.2543406061528835
120,4,1,1024,False,8,1024,1,1024,1024,4,18.788468200533107,32,32,4,RS,1,False,False,False,256,4,True,28,1,30,1024,2,10,1,1,27,20.111159999999998,1,True,2.134079381934983,True,21.43385179946689
121,1,16,1,False,4,64,2,1,512,28,6.598921084981061,8,2048,256,RS,8,True,True,True,64,1,True,11,1,13,128,2,10,256,1,23,6.6024519999999995,8,False,0.005696907582188758,True,6.605982915018938
122,1,2,2048,False,1,4,64,128,64,27,14.42090824368824,1,256,4,RS,1,True,False,True,32,64,False,29,6,1,16,2,10,2048,1,28,15.523549999999997,4,True,1.7790425847910443,True,16.62619175631175
123,8,8,4,False,2,128,1,2,256,19,3.478413966620121,16,2,2,RS,4,False,True,False,64,2,False,27,1,10,256,8,10,32,5,1,3.4788410000000005,1,False,0.0006889912916721673,True,3.47926803337988
124,4,8,16,False,2,128,2,512,4,1,5.124857864877087,16,1,2,RS,1,False,False,False,1,512,False,18,1,1,1024,1,10,512,9,8,5.129216,8,True,0.007031574788054165,True,5.133574135122914
125,2,16,128,False,1,4,2,1,64,11,1.7399186490562049,32,2,32,RS,4,True,False,True,64,128,True,20,1,24,32,8,10,8,1,10,1.7938850000000002,1,True,0.08707128668510646,True,1.8478513509437955
126,4,2,256,False,2,1,8,2048,512,3,2.975551334672587,64,2,64,RS,16,False,True,False,128,1024,True,1,7,27,32,1,10,2048,1,19,2.9807189999999997,2,False,0.008337700462357742,True,2.9858866653274125
127,1,8,1024,False,1,32,2,1,64,1,5.598113515142633,8,1,1,RS,4,False,True,True,128,256,True,8,23,1,1,1,10,256,16,28,5.60381,16,False,0.009190917255638977,True,5.609506484857367
128,1,16,2048,False,2,32,64,2,1024,19,12.36500893568756,1,1024,64,RS,4,True,True,True,64,2048,False,11,10,1,256,16,10,1,15,1,12.36563,4,False,0.0010020479030465818,True,12.366251064312438
129,32,1,2048,False,1,2,4,512,16,1,7.539063426970108,128,8,32,RS,2,True,False,True,128,1,False,1,18,21,128,4,10,1024,14,13,7.547895,8,True,0.014249183309930406,True,7.556726573029891
