id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
48,1,8,512,False,8,128,1,32,1024,25,0.35072423089096133,512,128,256,DLMT,1,False,False,False,1024,2048,True,1,19,13,512,8,35,1,1,30,0.35231922857142856,8,True,0.004814442309110689,True,0.3539142262518958
49,8,1,512,False,1,512,16,128,1,27,0.15147546198769818,32,16,16,DLMT,32,True,True,False,256,1,True,1,30,25,2048,1,35,512,29,1,0.1525355142857143,1,False,0.0031997291882856806,True,0.15359556658373041
50,1,32,1024,False,1,512,64,1,64,17,0.17923445071681135,256,32,128,DLMT,1,True,True,True,256,1,False,24,4,1,1,1,35,1024,1,20,0.17929134285714288,1,False,0.00017172685002761947,True,0.1793482349974744
51,1,1,1,False,32,16,256,128,512,1,0.25085508079523433,64,64,256,DLMT,8,False,True,False,1,512,False,20,5,1,64,1,35,256,3,5,0.25158808571428565,8,True,0.002212548606361047,True,0.25232109063333696
52,1,1,2048,False,1,128,512,64,2048,22,0.13524548224324978,16,64,512,DLMT,8,False,True,False,512,1024,False,6,1,18,1,8,35,64,12,1,0.13768871428571428,1,True,0.007374806785154939,True,0.14013194632817877
53,1,1,1,False,32,256,1,32,128,5,0.15835122191025502,256,32,16,DLMT,1,True,False,False,1024,1024,True,1,3,1,256,8,35,2048,1,23,0.15969091428571427,8,False,0.004043812560100244,True,0.16103060666117353
54,8,1,2048,False,1,1,1,256,1024,1,0.1545756385077902,1,256,128,DLMT,8,True,True,False,1024,128,True,30,1,20,1024,1,35,256,12,29,0.15594377142857144,1,True,0.004129659308574733,True,0.1573119043493527
55,1,1,256,False,8,1,256,256,1,1,0.22583987073072206,16,256,128,DLMT,1,True,False,True,512,1024,True,15,1,29,2048,32,35,256,3,29,0.22634137142857141,1,False,0.0015137615604978285,True,0.22684287212642076
56,8,1,1,False,1,512,64,128,64,19,0.1338063639734352,64,128,64,DLMT,1,False,True,False,2048,1024,False,22,1,19,2048,8,35,1024,1,21,0.13499385714285714,1,True,0.003584404809272342,True,0.13618135031227907
57,32,1,128,False,1,16,64,32,64,30,0.10418482346598214,16,128,512,DLMT,1,True,False,True,256,1024,True,1,18,23,512,32,35,512,27,1,0.105202,1,False,0.0030703102588686853,True,0.10621917653401787
58,8,1,1,False,8,512,1,16,1024,1,0.10555496513421059,1,16,32,DLMT,1,False,False,False,1,1024,True,29,11,1,2048,1,35,512,21,14,0.1074775142857143,1,False,0.00580314447456317,True,0.109400063437218
59,32,1,256,False,1,32,512,1,2048,30,0.07342681569344223,64,16,512,DLMT,1,True,False,True,64,512,True,27,1,21,64,1,35,256,1,20,0.07482532285714287,32,True,0.004221342852700901,True,0.07622383002084351
60,32,1,2048,False,1,256,16,16,128,1,0.14632981211967933,16,16,512,DLMT,1,False,False,False,64,512,True,16,10,1,1,32,35,2048,23,30,0.14859105714285714,1,True,0.00682548560676552,True,0.15085230216603496
61,1,8,1,False,8,1,16,64,1,19,0.16297668486771114,512,16,32,DLMT,1,True,False,False,2048,128,True,29,30,1,256,1,35,1024,1,11,0.16713508571428573,32,True,0.012551981246848023,True,0.17129348656086033
62,1,1,1,False,1,512,32,16,1024,14,0.12224848804283218,512,512,256,DLMT,1,True,True,True,2048,2048,True,1,12,22,1,1,35,64,25,1,0.12283691428571426,8,True,0.0017761431469246352,True,0.12342534052859634
63,1,32,1024,False,1,512,128,512,2048,4,0.31595064317531635,32,512,1,DLMT,1,True,True,False,512,1024,True,10,29,1,512,32,35,1,1,7,0.3175180857142857,1,False,0.004731268119777668,True,0.31908552825325504
64,8,8,1024,False,1,256,512,64,512,30,0.12201457975865744,128,128,1,DLMT,1,True,False,True,2048,256,False,27,4,1,1,8,35,64,12,1,0.12379534285714287,8,True,0.00537516844622623,True,0.12557610595562832
65,8,8,2048,False,1,128,1,256,1,25,0.1129871664793065,256,512,32,DLMT,8,False,False,False,256,2048,False,8,1,5,512,1,35,512,7,1,0.11300522857142858,1,False,5.4519766121646514e-05,True,0.11302329066355067
