id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
49,1024,2048,1,32,6.982468651528164,1024,False,2048,RS,256,True,True,0.0008702045736491614,17,False,32,10,1,1,False,6.983008,1,False,8,True,512,6.983547348471836,25,1
50,2048,512,512,16,6.990731899936771,1,False,512,RS,512,False,True,0.005046991182873195,1,False,1,10,23,8,False,6.993860000000001,1,True,32,True,16,6.996988100063231,1,24
51,1024,128,1,2,6.974275540840468,1,False,1024,RS,256,False,False,0.002872658002617074,16,True,8,10,1,32,False,6.976056,1,True,32,True,256,6.977836459159532,12,1
52,256,1,16,512,6.986980562495911,256,False,512,RS,32,False,True,0.0011268846436083065,29,False,1,10,1,8,False,6.987679,8,False,1,True,1,6.988377437504089,23,1
53,2,4,1024,4,6.999911293720039,64,False,2048,RS,1,False,False,0.006061207470463175,1,True,1,10,12,32,False,7.003667999999999,1,True,32,True,1,7.007424706279959,7,1
54,2,32,256,32,6.994311520259495,256,False,2048,RS,512,False,True,0.0011188856063063764,1,False,8,10,13,1,False,6.995005000000001,32,False,1,True,64,6.995698479740507,21,1
55,256,32,32,4,6.988740251827428,512,False,1,RS,32,True,True,0.0005804308744371264,1,False,8,10,22,8,False,6.9891000000000005,1,False,8,True,128,6.989459748172573,7,1
56,4,2,128,32,6.949587613362923,1,False,128,RS,256,True,True,0.0034501513010301937,19,True,1,10,1,32,False,6.951726000000001,8,True,1,True,256,6.953864386637078,1,12
57,32,8,2,512,6.962957955828545,512,False,16,RS,1,True,True,0.0010649394348975414,27,False,8,10,1,32,False,6.963617999999999,32,False,1,True,1,6.964278044171454,3,1
58,4,1,4,64,6.945150203734821,8,False,32,RS,1024,False,False,0.0007015162150657187,18,True,1,10,1,1,False,6.9455849999999995,8,False,1,True,256,6.946019796265178,1,1
59,128,2,128,128,6.965916668088372,2048,False,64,RS,128,True,False,0.005186120804609063,13,False,8,10,1,8,False,6.969131,8,True,1,True,1024,6.972345331911628,14,1
60,1,32,8,8,6.98578240144353,1,False,128,RS,512,False,False,0.0007092644076787404,26,False,1,10,1,32,False,6.986222,32,False,1,True,1,6.986661598556469,15,1
61,16,512,16,1,7.052684131496929,2048,False,1024,RS,128,False,True,0.001180823441501699,1,True,8,10,11,1,False,7.053416,1,False,8,True,2,7.054147868503072,1,22
62,8,8,16,1024,6.953803314430509,256,False,8,RS,64,False,False,0.001151486430662602,1,False,1,10,3,8,False,6.954517,8,False,1,True,2048,6.955230685569491,30,1
63,1,1,128,128,7.003069772825293,1024,False,4,RS,256,True,False,0.005061717198737934,8,False,8,10,1,1,False,7.006207000000001,32,True,8,True,2048,7.009344227174709,1,11
64,8,8,256,32,6.974245376990208,256,False,1,RS,256,True,True,0.004596072671313961,19,False,32,10,1,1,False,6.977093999999999,8,True,1,True,32,6.979942623009791,1,3
65,2,2,1,64,6.991867324646636,1024,False,32,RS,2048,True,False,0.0012305283418109856,1,True,8,10,18,8,False,6.99263,1,False,32,True,256,6.993392675353364,25,1
66,8,8,1,128,7.001172269498598,128,False,512,RS,2,False,False,0.004783404749757203,1,False,1,10,29,1,False,7.004137,32,True,1,True,2048,7.007101730501402,12,1
67,2,1,8,4,6.991428071142462,1,False,16,RS,1,False,True,0.0013632391573013697,1,True,1,10,27,8,False,6.992273,32,False,32,True,1024,6.993117928857538,1,23
68,128,1,8,8,6.9783999797938465,1024,False,128,RS,1,False,True,0.0007615746844531924,2,True,32,10,1,32,False,6.978872,8,False,8,True,512,6.979344020206153,1,15
69,256,8,16,256,6.975579867460168,1024,False,64,RS,256,True,False,0.0004164804917400324,1,True,8,10,4,1,False,6.975838,32,False,8,True,512,6.9760961325398325,1,23
70,8,64,4,2,6.998692741204131,1,False,128,RS,512,True,False,0.0008152030421926363,1,False,32,10,4,32,False,6.999198000000002,8,False,32,True,2048,6.999703258795872,1,9
71,1024,4,128,4,6.969229488709148,1024,False,1,RS,1024,False,True,0.0006542667651654258,24,False,1,10,1,1,False,6.969634999999999,1,False,1,True,1,6.970040511290851,5,1
72,16,2048,128,128,6.993194172655951,512,False,2048,RS,1,False,True,0.0009226071753459955,1,True,8,10,20,32,False,6.993765999999999,32,False,32,True,512,6.994337827344047,3,1
73,16,8,512,1,7.021208016079386,2048,False,64,RS,2048,False,False,0.006937751508954594,17,False,32,10,1,32,False,7.025508,32,True,32,True,32,7.029807983920614,2,1
74,1,16,16,32,6.982486037780288,128,False,256,RS,1,False,False,0.0035107771219489436,24,False,32,10,1,1,False,6.984662,1,True,32,True,128,6.986837962219712,1,5
75,16,2,128,4,6.990685902967628,64,False,1,RS,1024,True,False,0.0031753998173457477,24,False,32,10,1,1,False,6.992654,8,True,1,True,1,6.994622097032372,16,1
76,32,1,512,4,7.049470114358164,1,False,1,RS,512,False,True,0.005662978015143673,1,True,8,10,11,32,False,7.05298,8,True,1,True,32,7.056489885641835,1,23
77,2,8,256,8,7.001909310866659,1024,False,1,RS,512,False,True,0.001327356771934377,8,False,32,10,1,1,False,7.002732,32,False,1,True,64,7.003554689133341,1,5
78,64,2,32,1,7.009649685876701,64,False,32,RS,2048,False,False,0.004085728331644307,1,False,8,10,12,8,False,7.012182,1,True,1,True,4,7.0147143141232995,1,25
79,4,32,2,8,6.9868394438200445,16,False,2048,RS,16,False,True,0.0011190089365149482,1,False,8,10,7,1,False,6.987533000000001,32,False,8,True,2048,6.988226556179957,27,1
80,4,512,2,512,6.991864673120832,128,False,512,RS,1,False,False,0.0007523888622248293,27,False,1,10,1,8,False,6.992331,32,False,32,True,2048,6.9927973268791686,11,1
81,256,2,32,1,7.003696230252476,2048,False,1,RS,32,False,False,0.002306842864175976,1,False,32,10,19,1,False,7.005126,1,True,1,True,2,7.006555769747523,30,1
82,256,4,1024,8,7.008148365651902,512,False,1,RS,1,False,False,0.0007028684087365799,14,False,32,10,1,8,False,7.008584000000001,8,False,32,True,512,7.0090196343481,1,29
83,32,128,8,128,6.982637809781402,128,False,1,RS,1,True,True,0.0008989911011796494,1,True,8,10,24,32,False,6.983194999999999,1,False,8,True,1024,6.983752190218596,28,1
84,16,8,1,16,6.984018296678617,1024,False,1024,RS,512,False,True,0.0005803585098884444,23,False,1,10,1,32,False,6.984378000000001,32,False,8,True,32,6.984737703321386,25,1
85,4,16,2,4,7.0360776437961166,8,False,256,RS,256,False,False,0.0013090718085728111,12,True,1,10,1,8,False,7.0368889999999995,8,False,32,True,2048,7.0377003562038825,18,1
86,256,2,1,1024,6.9922564540901675,1,False,2,RS,1,True,True,0.009379787844082698,26,True,32,10,1,8,False,6.99807,32,True,8,True,2048,7.003883545909833,1,12
87,4,256,128,32,7.001585979789355,4,False,2048,RS,1024,True,True,0.003359207644668544,12,True,32,10,1,8,False,7.003668,32,True,32,True,1,7.0057500202106455,29,1
88,128,64,8,512,6.986225336301755,256,False,64,RS,128,True,True,0.003689386940942949,1,True,1,10,3,8,False,6.988512,8,True,8,True,1024,6.9907986636982455,17,1
89,32,128,128,32,6.954037597553439,32,False,128,RS,1,False,False,0.007048140463980432,12,False,32,10,1,8,False,6.958405999999999,8,True,8,True,1,6.962774402446559,1,23
90,16,32,2,2,6.99290144218065,1024,False,2048,RS,4,True,False,0.001152893750525238,1,True,32,10,11,8,False,6.993616,8,False,1,True,32,6.99433055781935,1,11
91,32,2,4,4,6.977021841041921,64,False,512,RS,128,False,False,0.009198458620877622,15,True,32,10,1,8,False,6.982723,1,True,8,True,64,6.988424158958079,1,11
92,2,4,128,32,7.012955292651251,4,False,32,RS,1,False,False,0.0047769136479529845,27,False,1,10,1,1,False,7.015916,8,True,1,True,256,7.018876707348749,21,1
93,64,1024,4,1,7.002861940761256,1,False,2048,RS,64,True,True,0.0015360872371060744,8,False,1,10,1,1,False,7.003814,8,False,1,True,64,7.004766059238745,6,1
94,256,256,512,8,6.973120723324396,1,False,1024,RS,1024,False,False,0.0007910303407582871,16,True,32,10,1,1,False,6.973611,32,False,32,True,256,6.974101276675604,1,8
95,8,32,256,32,7.015481697693738,128,False,128,RS,512,True,False,0.0012363802004237677,28,True,32,10,1,32,False,7.016248,1,False,8,True,2048,7.017014302306262,24,1
96,8,2,128,8,7.0096430376814,1024,False,32,RS,1024,True,True,0.0006517675966169898,1,False,8,10,10,1,False,7.010047,8,False,8,True,128,7.0104509623186,22,1
97,4,256,4,4,7.016700802421921,1,False,2048,RS,32,True,False,0.0022510628600729307,1,True,1,10,25,1,False,7.018096,32,True,32,True,128,7.019491197578079,1,6
98,2048,64,128,32,6.993336347878184,1,False,512,RS,512,True,False,0.004252457642352187,1,True,32,10,14,1,False,6.995972,32,True,8,True,32,6.998607652121816,20,1
99,16,64,32,128,6.9912550395265844,256,False,512,RS,2048,True,True,0.0009002338585057073,18,True,8,10,1,1,False,6.991812999999999,8,False,1,True,256,6.992370960473413,1,30
100,16,256,1,512,6.977960670077271,64,False,2048,RS,64,False,True,0.000794343124852313,1,True,8,10,23,8,False,6.978453,8,False,32,True,512,6.978945329922729,1,28
101,1,64,16,256,7.061989458254445,512,False,1,RS,2048,False,False,0.00601092546950976,1,False,32,10,26,32,False,7.065715,32,True,8,True,1024,7.069440541745555,1,2
102,16,2048,8,2,7.036906505458367,32,False,1,RS,64,False,False,0.004071498495640193,1,True,1,10,12,8,False,7.03943,8,True,8,True,1024,7.041953494541634,29,1
103,2,1,64,32,7.0183661899476,1,False,1,RS,1024,True,True,0.0010452004592421,13,True,1,10,1,8,False,7.019014000000001,32,False,1,True,32,7.019661810052402,1,15
