id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
58,64,1,2048,inf,64,False,32,16,DLMT,False,True,True,True,True,15,1,256,1,1,30,30,1,inf,False,inf,inf
59,512,1,64,0.27307146960969875,1,False,2048,256,DLMT,True,True,True,True,True,3,1,64,35,64,4,15,1,0.00013622443665824952,True,0.2731166,0.2731617303903012
60,2048,512,1,inf,1,False,64,2048,DLMT,True,False,False,True,True,23,64,128,1,1,1,25,27,inf,False,inf,inf
61,2048,2048,1,0.08710797290871163,4,False,2048,1024,DLMT,True,True,True,True,False,12,4,1,35,16,25,1,22,0.00032216045557251937,True,0.08721470285714283,0.08732143280557404
62,2048,2048,32,0.3044560982294707,1,False,1,1,DLMT,False,False,False,False,False,22,2,32,35,1,10,7,1,0.00013035984733006947,True,0.3044992857142857,0.3045424731991007
63,4,512,1,0.10863079596719284,1,False,1,1,DLMT,True,True,True,False,False,2,8,1,35,1,1,12,12,3.0369291686685663e-05,True,0.10864085714285716,0.10865091831852149
64,16,1,128,0.22741410102377232,1,False,1,8,DLMT,True,False,True,True,True,24,8,128,35,2,30,1,18,6.549756811189031e-05,True,0.22743579999999997,0.2274574989762276
65,1,64,2048,0.10369411738087898,1,False,16,2048,DLMT,True,True,False,True,True,28,8,256,35,8,11,4,1,3.879947401284586e-05,True,0.10370697142857142,0.10371982547626386
66,2048,1,512,inf,64,False,64,2,DLMT,True,True,False,False,True,19,1,2,1,1,19,23,1,inf,False,inf,inf
67,1,1,32,0.3544978893133848,8,False,16,2,DLMT,True,True,False,True,False,29,1,1,35,1,3,1,10,5.9064779380484e-05,True,0.35451745714285715,0.35453702497232953
68,32,8,64,0.1528196699504794,1,False,8,16,DLMT,True,True,False,True,False,24,4,1,35,4,15,15,1,0.00027110560635279735,True,0.15290948571428575,0.1529993014780921
69,1,512,8,0.24671367807684086,1,False,512,8,DLMT,True,False,False,False,False,2,1,8,35,64,29,29,1,6.66017343648649e-05,True,0.24673574285714284,0.24675780763744481
70,1,2,256,0.3062461945246989,64,False,1,2048,DLMT,False,False,False,True,False,26,1,4,35,1,1,14,1,0.0002084629933389555,True,0.3063152571428571,0.3063843197610153
71,1024,16,2048,0.08756104087289027,1,False,1,64,DLMT,True,False,True,False,False,25,64,1,35,1,10,1,13,3.555486544965159e-05,True,0.08757282000000001,0.08758459912710975
72,1024,2048,32,0.24609869093375977,2,False,2048,128,DLMT,True,True,True,True,True,12,2,1,35,1,3,3,1,0.00021912469658406944,True,0.2461712857142857,0.24624388049481163
73,1,128,1,inf,1,False,1,256,DLMT,True,False,False,False,True,26,2,1,1,32,1,2,2,inf,False,inf,inf
74,128,256,32,inf,32,False,64,16,DLMT,False,False,False,True,True,11,2,32,1,1,8,1,13,inf,False,inf,inf
75,4,512,1,0.3107084876014227,4,False,128,4,DLMT,False,False,False,True,True,18,1,8,35,1,17,22,1,6.941896464987938e-05,True,0.31073148571428566,0.3107544838271486
76,2048,32,1,0.23144935417572093,1,False,8,8,DLMT,False,True,False,False,True,21,1,2048,35,1,1,28,18,0.00027421480631067193,True,0.23154020000000003,0.23163104582427912
77,32,256,1,inf,32,False,8,2,DLMT,True,True,True,True,True,30,1,128,1,2,24,1,30,inf,False,inf,inf
78,4,2048,2048,0.1472078972812345,1,False,1,1,DLMT,False,False,False,True,True,2,2,2048,35,8,11,1,3,5.619474882867973e-05,True,0.14722651428571426,0.147245131290194
79,2048,32,2048,inf,16,False,32,4,DLMT,True,False,True,False,True,27,4,32,1,1,1,13,18,inf,False,inf,inf
80,256,2048,1024,0.481244929341395,1,False,8,128,DLMT,False,True,False,False,True,26,1,4,35,64,1,20,30,0.00014932537818947172,True,0.48129439999999996,0.4813438706586049
81,64,2048,1,0.09645777326771668,2,False,16,8,DLMT,True,True,True,False,False,16,1,64,35,8,3,1,2,4.27100194716108e-05,True,0.09647192285714286,0.09648607244656904
82,1,128,256,0.11150195225379192,2,False,1,2048,DLMT,True,True,True,False,False,11,1,16,35,2,19,1,30,2.6792840956693358e-05,True,0.11151082857142858,0.11151970488906524
83,1,1024,64,0.13728443573099688,16,False,2,2048,DLMT,False,True,True,False,True,30,1,64,35,4,1,5,4,2.628214261448192e-05,True,0.13729314285714284,0.1373018499832888
84,512,1,2048,0.265418896737478,16,False,4,128,DLMT,True,True,False,True,False,1,1,64,35,1,30,7,1,4.2656425216427186e-05,True,0.2654330285714286,0.2654471604053792
85,2048,2,2,0.3729564149788437,1,False,1,2048,DLMT,False,False,False,True,True,12,1,2,35,64,5,1,17,4.031595622741177e-05,True,0.3729697714285714,0.3729831278782991
86,2048,1,1,0.10887991532825812,1,False,256,16,DLMT,False,True,True,False,False,4,2,64,35,4,12,1,16,3.2510017294516756e-05,True,0.10889068571428571,0.1089014561003133
87,1024,1,1,0.12755955951972367,4,False,2048,1,DLMT,False,False,False,True,False,28,16,8,35,4,20,29,1,7.523880891765202e-05,True,0.12758448571428574,0.1276094119088478
88,2048,128,256,0.1687574516773669,4,False,16,2048,DLMT,True,False,True,False,False,14,4,2,35,4,10,27,1,2.6406492708099046e-05,True,0.1687662,0.16877494832263312
89,1,2048,2,0.26262583211541896,4,False,16,8,DLMT,False,True,True,True,True,12,16,1,35,4,5,23,1,3.8453151989914055e-05,True,0.2626385714285715,0.26265131074172404
90,1,2048,2048,0.25448174878835117,64,False,1024,32,DLMT,False,False,False,False,False,30,1,1024,35,1,15,9,1,4.396542240610103e-05,True,0.25449631428571434,0.2545108797830775
91,64,32,2048,inf,16,False,1,2,DLMT,False,False,True,False,True,20,1,2048,1,4,29,17,1,inf,False,inf,inf
92,8,2048,2048,inf,1,False,1,4,DLMT,True,True,True,True,False,1,64,1,1,1,17,14,1,inf,False,inf,inf
93,32,1024,2048,0.11419012524897056,4,False,1024,1,DLMT,True,True,False,False,False,15,4,64,35,1,1,4,9,3.084147750503847e-05,True,0.11420034285714287,0.11421056046531518
94,2048,256,1024,0.270470458223209,1,False,128,1,DLMT,False,True,True,True,True,27,1,2,35,4,13,1,23,4.8464638908072256e-05,True,0.27048651428571424,0.2705025703482195
95,2048,2048,2048,0.17900963595221456,4,False,1,8,DLMT,False,False,False,True,True,15,2,32,35,4,1,1,29,0.00041316225601562256,True,0.17914651428571426,0.17928339261921397
96,2048,512,1,0.3429427218367063,1,False,512,1,DLMT,True,False,False,True,False,15,1,2048,35,64,1,15,15,0.0004329973596563697,True,0.3430861714285715,0.3432296210204367
97,16,1,2048,0.26064516261429327,1,False,128,2,DLMT,False,False,False,False,False,10,32,1,35,1,30,1,29,0.0010366532193278807,True,0.2609886,0.26133203738570676
98,256,512,128,0.12978682589559964,1,False,512,256,DLMT,False,False,False,False,True,5,1,1,35,4,1,30,19,4.61474478034877e-05,True,0.12980211428571428,0.12981740267582892
99,2048,512,1,0.26988080645701423,1,False,64,64,DLMT,False,False,False,False,True,1,1,64,35,1,30,8,1,2.930272676591992e-05,True,0.26989051428571426,0.2699002221144143
100,1024,1,512,0.13635271952746433,4,False,4,512,DLMT,True,True,True,False,True,29,16,256,35,1,14,1,22,0.00021972832204839892,True,0.1364255142857143,0.1364983090439643
101,256,64,64,0.1249619561096019,2,False,32,16,DLMT,False,False,True,False,True,17,16,16,35,4,7,1,11,3.695773647985222e-05,True,0.1249742,0.12498644389039809
102,16,32,2048,inf,8,False,16,2,DLMT,True,False,False,False,True,29,1,1,1,4,16,1,30,inf,False,inf,inf
103,32,32,64,0.20731404050538627,8,False,1,1,DLMT,True,True,False,True,False,13,8,2,35,4,17,28,1,7.51668402791493e-05,True,0.20733894285714285,0.20736384520889944
104,1024,1,512,inf,1,False,8,1024,DLMT,False,True,True,True,False,14,16,512,1,4,27,1,24,inf,False,inf,inf
105,1,32,1,0.16280360378655992,1,False,8,16,DLMT,False,False,False,False,False,4,16,2048,35,4,19,1,28,0.0003390913861531534,True,0.16291594285714286,0.1630282819277258
106,2,1,512,inf,16,False,2048,1,DLMT,False,True,True,True,True,25,1,256,1,4,22,1,20,inf,False,inf,inf
107,1024,2048,64,0.09555934667965825,2,False,2048,256,DLMT,False,False,True,False,False,18,4,8,35,4,15,1,12,3.0794038118983905e-05,True,0.09556954857142858,0.0955797504631989
