id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
81,True,True,64,RS,0.4121565470781357,4,8,512,12,1,3,1,256,10,0.4192836,True,True,False,0.011499048153651674,0.42641065292186425,False
82,False,True,1,RS,1.3487702168227444,1,32,8,1,8,14,256,512,10,1.3490600000000001,False,False,True,0.0004675467891024396,1.3493497831772558,False
83,False,True,512,RS,0.23081819928038114,2,2,16,1,9,12,16,256,10,0.2375407,True,True,True,0.01084632881716205,0.24426320071961885,False
84,False,True,16,RS,0.3816742379504356,4,8,4,1,16,7,128,128,10,0.39094720000000005,True,True,False,0.014961336516501451,0.4002201620495645,False
85,False,True,16,RS,2.032329575042301,16,8,128,11,6,1,1,16,10,2.0326630000000003,False,True,False,0.000537960035690287,2.0329964249576995,False
86,False,True,128,RS,0.8683146101097554,4,2,1024,1,5,3,128,256,10,0.8706583999999999,True,False,True,0.003781556430889279,0.8730021898902445,False
87,True,True,32,RS,0.8551131855109729,16,1,512,2,1,28,2,1,10,0.8746263000000001,True,False,True,0.03148317342343367,0.8941394144890272,False
88,True,True,1024,RS,0.1318086520913544,32,1024,1,4,1,17,512,2048,10,0.1336418,True,False,False,0.0029576679597277298,0.13547494790864562,False
89,False,True,128,RS,0.12690053671202078,32,128,128,1,29,3,1,128,10,0.1440912,True,True,True,0.027736045615047583,0.16128186328797922,False
90,True,True,16,RS,1.1829634322674403,8,4,1024,18,1,3,128,256,10,1.190712,True,False,True,0.012501822907080379,1.1984605677325597,False
91,True,True,256,RS,1.5501090524925243,1,128,2,1,17,4,16,64,10,1.550785,False,True,False,0.001090598459562473,1.5514609475074759,False
92,False,True,512,RS,0.29965370733069197,128,256,256,3,1,9,4,32,10,0.30854109999999996,True,False,False,0.014339244760098076,0.31742849266930795,False
93,False,True,16,RS,4.730793689604493,2,2,512,15,7,1,2,16,10,4.736745999999999,False,True,False,0.0096036755463728,4.742698310395506,False
94,False,True,1024,RS,0.47216327713432904,512,8,512,1,1,29,64,128,10,0.4825094,True,False,False,0.016692813472869092,0.4928555228656709,False
95,True,True,16,RS,2.7328133314022582,128,8,2048,23,3,1,1,64,10,2.7342649999999997,True,True,True,0.002342175270982076,2.735716668597741,False
96,True,True,16,RS,2.595586151341706,16,4,256,3,1,27,1024,1024,10,2.595814,False,True,True,0.0003676193683689629,2.596041848658294,False
97,True,True,512,RS,1.7932161098536674,4,128,512,1,3,23,2,128,10,1.7934279999999998,False,True,True,0.00034187132082120645,1.7936398901463322,False
98,True,True,512,RS,1.0523391199838565,64,64,2048,4,1,9,256,1024,10,1.053404,False,True,False,0.0017181164104914486,1.0544688800161435,False
99,True,True,2048,RS,4.250341619699245,512,4,1024,17,1,1,1,4,10,4.252663,False,True,False,0.003745399978640448,4.254984380300755,False
100,False,True,128,RS,0.9960972935927656,512,1,1024,2,23,1,1024,1024,10,0.9975037,True,False,False,0.0022691475954639984,0.9989101064072344,False
101,False,True,1,RS,0.0838024304091062,1,256,32,1,7,7,32,2048,10,0.09524201,True,True,False,0.018457036592175357,0.1066815895908938,False
102,False,True,8,RS,0.6890052009792088,4,2,512,6,1,17,128,1024,10,0.6951732999999999,True,False,True,0.0099518368158848,0.701341399020791,False
103,True,True,8,RS,0.3538657350733169,4,1,256,6,1,13,2,2,10,0.3659863,True,False,False,0.019555763268407595,0.37810686492668305,False
104,True,True,32,RS,1.4866372515519792,8,8,8,9,1,6,512,512,10,1.488333,False,True,True,0.002735982638833801,1.4900287484480206,False
105,True,True,2048,RS,0.4043030496000975,4,8,1,8,1,15,16,32,10,0.40703940000000005,True,False,True,0.004414927931461614,0.4097757503999026,False
106,False,True,64,RS,3.6754154430840194,2,16,1024,1,1,4,4,1,10,3.675642,False,True,True,0.00036553522402096893,3.6758685569159804,False
107,True,True,512,RS,1.6515455656188427,4,32,2048,1,3,14,128,256,10,1.6554369999999998,True,True,True,0.006278582722239144,1.659328434381157,False
