id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
225,512,10,8,1,1,0.22892409999999996,30,1,RS,0.22889945202095432,True,False,False,3.976795192111436e-05,True,0.2289487479790456,False
226,64,1,512,4,1,inf,18,1,RS,inf,False,True,True,inf,True,inf,False
227,2048,1,64,1,4,inf,1,14,RS,inf,False,True,False,inf,True,inf,False
228,8,1,512,16,1,inf,1,22,RS,inf,False,True,False,inf,False,inf,False
229,4,1,2,1,16,inf,1,13,RS,inf,False,True,False,inf,False,inf,False
230,8,10,1024,4,32,0.9848700000000001,9,1,RS,0.9847297243493134,True,False,False,0.00022632587125648204,True,0.9850102756506869,False
231,16,10,2048,8,16,1.03426,14,1,RS,1.034114539506448,True,False,True,0.00023469128658731153,True,1.034405460493552,False
232,8,1,4,1,8,inf,1,28,RS,inf,False,True,True,inf,True,inf,False
233,128,10,8,32,4,0.4189274,1,10,RS,0.4188292517040793,True,False,False,0.0001583560545100797,True,0.4190255482959207,False
234,8,1,1,2,32,inf,19,1,RS,inf,False,True,False,inf,True,inf,False
235,32,1,1,8,8,inf,19,1,RS,inf,False,True,False,inf,False,inf,False
236,128,10,1,2,1,0.205349,20,1,RS,0.20494698926491917,True,False,True,0.0006486188403060759,True,0.20575101073508084,False
237,1024,1,2048,2,8,inf,17,1,RS,inf,False,True,False,inf,True,inf,False
238,2048,1,1024,2,16,inf,15,1,RS,inf,False,True,True,inf,True,inf,False
239,512,10,2,2,2,0.4415947,1,8,RS,0.44132154738478446,True,False,False,0.0004407144313498328,False,0.44186785261521555,False
240,16,1,2,4,2,inf,6,1,RS,inf,False,True,True,inf,False,inf,False
241,256,10,2048,32,1,1.019477,1,19,RS,1.019168032953472,True,False,False,0.0004984987462371466,False,1.019785967046528,False
242,2048,1,512,4,16,inf,1,28,RS,inf,False,True,False,inf,True,inf,False
243,2,10,32,8,16,0.8434765000000001,1,13,RS,0.8434377945569954,True,False,True,6.244877901129335e-05,False,0.8435152054430047,False
244,256,10,1,4,2,0.41321430000000003,5,1,RS,0.41307021823631984,True,False,False,0.00023246679332756913,False,0.4133583817636802,False
245,8,1,32,16,2,inf,1,24,RS,inf,False,True,True,inf,True,inf,False
246,4,1,512,2,2,inf,10,1,RS,inf,False,True,True,inf,False,inf,False
247,512,1,16,16,2,inf,1,21,RS,inf,False,True,True,inf,True,inf,False
248,64,10,1024,32,2,0.4458659,11,1,RS,0.4453351936895068,True,False,False,0.0008562609940900055,False,0.44639660631049316,False
249,32,1,4,8,1,inf,21,1,RS,inf,False,True,True,inf,True,inf,False
250,256,10,256,1,1,0.24966,29,1,RS,0.24963079719434378,True,False,True,4.7116875957563104e-05,True,0.2496892028056562,False
